time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	8.069067410373098,	1.4462005542542493,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	8.069067410373098,	1.4462005542542493,	0.015005312691379736,	0.051810669540754875,	0.20316644016120589,	0.2269236542905591,	400
31557600.0,	8.069067410373098,	1.4462005542542493,	0.015013530919246364,	0.05444272194751542,	0.21127599012821466,	0.26041692487649004,	400
47336400.0,	8.069067410373098,	1.4462005542542493,	0.01502582563666391,	0.058125127007158064,	0.22913913268535738,	0.29802700109258473,	400
63115200.0,	8.069067410373098,	1.4462005542542493,	0.015044933466659952,	0.06295678600466836,	0.2563541182189302,	0.3388547959641005,	400
78894000.0,	8.069067410373098,	1.4462005542542493,	0.015078124573606603,	0.06878590650403445,	0.2857946253973801,	0.3837844071347605,	400
94672800.0,	8.069067410373098,	1.4462005542542493,	0.015141745797839631,	0.07554754836842086,	0.3158115223241296,	0.43209231383077273,	400
110451600.0,	8.069067410373098,	1.4462005542542493,	0.01527150883225809,	0.0829552901972035,	0.34460917594697776,	0.48192057514657444,	400
126230400.0,	8.069067410373098,	1.4462005542542493,	0.01553208603908204,	0.09051721135839642,	0.37073808078653286,	0.5305665265517803,	400
142009200.0,	8.069067410373098,	1.4462005542542493,	0.016006302361722402,	0.09794134639723462,	0.3951109662997362,	0.576464242521541,	400
157788000.0,	8.069067410373098,	1.4462005542542493,	0.0167169092837625,	0.10473351681911837,	0.4166029766184469,	0.6178474846912663,	400
173566800.0,	8.069067410373098,	1.4462005542542493,	0.017592017817434195,	0.11083131135991647,	0.43607390499754717,	0.655122723950518,	400
189345600.0,	8.069067410373098,	1.4462005542542493,	0.01854586320411108,	0.11634702537965953,	0.4544048510979838,	0.6894836959231436,	400
205124400.0,	8.069067410373098,	1.4462005542542493,	0.019525270545508237,	0.12138183846627831,	0.47200277505701843,	0.7217568198633038,	400
220903200.0,	8.069067410373098,	1.4462005542542493,	0.02046671616440721,	0.12580821459355973,	0.48775088865980226,	0.7512451327409732,	400
236682000.0,	8.069067410373098,	1.4462005542542493,	0.021332993597129816,	0.1296110469491562,	0.5013344863053473,	0.7776089656772508,	400
252460800.0,	8.069067410373098,	1.4462005542542493,	0.02216393855353303,	0.13309095869598989,	0.5143376395349673,	0.8024622401953485,	400
268239600.0,	8.069067410373098,	1.4462005542542493,	0.02294134193997744,	0.13620788381718482,	0.5262881863055404,	0.825399531098981,	400
284018400.0,	8.069067410373098,	1.4462005542542493,	0.02363444067628039,	0.13887480664854548,	0.536503249812855,	0.8456392367342022,	400
299797200.0,	8.069067410373098,	1.4462005542542493,	0.02422878192135931,	0.1410815926533339,	0.5448406232879254,	0.8628719386976175,	400
315576000.0,	8.069067410373098,	1.4462005542542493,	0.02487583336356887,	0.14345047619105677,	0.5546890894843413,	0.8815313303745934,	400
331354800.0,	8.069067410373098,	1.4462005542542493,	0.025469941666986802,	0.14556446034481507,	0.5635774754285736,	0.8985393499771065,	400
347133600.0,	8.069067410373098,	1.4462005542542493,	0.02601044368414015,	0.14743974896382311,	0.571525424052554,	0.9139211932596938,	400
362912400.0,	8.069067410373098,	1.4462005542542493,	0.026445798400921903,	0.14890956004168618,	0.5775611702837651,	0.9262537872463734,	400
378691200.0,	8.069067410373098,	1.4462005542542493,	0.026846928423461917,	0.15024260867476222,	0.5831129182980017,	0.937582737757221,	400
394470000.0,	8.069067410373098,	1.4462005542542493,	0.027222343818417767,	0.1514731234292071,	0.5883242416707586,	0.9481555024233488,	400
410248800.0,	8.069067410373098,	1.4462005542542493,	0.027500200865978687,	0.1523666857411489,	0.5919767621860961,	0.9559622673308741,	400
426027600.0,	8.069067410373098,	1.4462005542542493,	0.027703153240320442,	0.15301068688041164,	0.5945417950731989,	0.9616571777584878,	400
441806400.0,	8.069067410373098,	1.4462005542542493,	0.027895802235722605,	0.1536182762890301,	0.5969921190751878,	0.9670578526208214,	400
457585200.0,	8.069067410373098,	1.4462005542542493,	0.028040916722192877,	0.15407203628853372,	0.5987963531953536,	0.9711227537465121,	400
473364000.0,	8.069067410373098,	1.4462005542542493,	0.02813478368892057,	0.1543633951108726,	0.5999310345085432,	0.9737509530820759,	400
489142800.0,	8.069067410373098,	1.4462005542542493,	0.028178808821231475,	0.1544992698223073,	0.6004473902302141,	0.9749834395977272,	400
504921600.0,	8.069067410373098,	1.4462005542542493,	0.02819691727064999,	0.15455500446501186,	0.6006564436521985,	0.9754903738785025,	400
