time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
583815600.0,	35.57903855029204,	2.9087806829748586,	0.015,	0.05,	0.2,	0.2,	400
599594400.0,	35.57903855029204,	2.9087806829748586,	0.015002410055390455,	0.050777640492650766,	0.20079627619393497,	0.21221410492506415,	400
615373200.0,	35.57903855029204,	2.9087806829748586,	0.0150054133634834,	0.0516923268710258,	0.20194735578453396,	0.2260074730074888,	400
631152000.0,	35.57903855029204,	2.9087806829748586,	0.015009665098873507,	0.05291599528403175,	0.20402468329798568,	0.24344109972110506,	400
646930800.0,	35.57903855029204,	2.9087806829748586,	0.015016757866807636,	0.054880892375531364,	0.2094525781189843,	0.2685405361205922,	400
662709600.0,	35.57903855029204,	2.9087806829748586,	0.01502646283866412,	0.05731404764385904,	0.21851312349271823,	0.29605751183601386,	400
678488400.0,	35.57903855029204,	2.9087806829748586,	0.015039395537034544,	0.06009206355980214,	0.2304446151944074,	0.32427949811845763,	400
694267200.0,	35.57903855029204,	2.9087806829748586,	0.01505770980476414,	0.06335165561444048,	0.24577913728546602,	0.35404860083572587,	400
710046000.0,	35.57903855029204,	2.9087806829748586,	0.015086340093976126,	0.06743618837439905,	0.26658976753301233,	0.3870821272788985,	400
725824800.0,	35.57903855029204,	2.9087806829748586,	0.015131409642062348,	0.07184226853265355,	0.28630758637870457,	0.42121106377524187,	400
741603600.0,	35.57903855029204,	2.9087806829748586,	0.015203454775925298,	0.07647702177458181,	0.30506530437761487,	0.4555249734259022,	400
757382400.0,	35.57903855029204,	2.9087806829748586,	0.015322759999390142,	0.08151523838794864,	0.32477671878451536,	0.49063852195096186,	400
773161200.0,	35.57903855029204,	2.9087806829748586,	0.015510926259957572,	0.08651485392496959,	0.34256839615519613,	0.5244415514337994,	400
788940000.0,	35.57903855029204,	2.9087806829748586,	0.015780070573189205,	0.09117388834039147,	0.35775475610832513,	0.5553504194641513,	400
804718800.0,	35.57903855029204,	2.9087806829748586,	0.016092936541696495,	0.0949329452813416,	0.36848988620013917,	0.580394408679662,	400
820497600.0,	35.57903855029204,	2.9087806829748586,	0.01653442269209346,	0.09931447679642774,	0.3832209060136458,	0.6081721844949103,	400
836276400.0,	35.57903855029204,	2.9087806829748586,	0.017051606797891777,	0.10342212955699191,	0.3969842049668083,	0.6340875281170217,	400
852055200.0,	35.57903855029204,	2.9087806829748586,	0.01757415857133245,	0.1069025750578565,	0.40807228669327095,	0.6563988503770052,	400
867834000.0,	35.57903855029204,	2.9087806829748586,	0.018078196014131083,	0.10989548752819528,	0.4174431389038564,	0.6759011740794175,	400
883612800.0,	35.57903855029204,	2.9087806829748586,	0.018574039327094005,	0.11262182662779101,	0.42615972958377024,	0.6939048051273302,	400
899391600.0,	35.57903855029204,	2.9087806829748586,	0.019114541103211147,	0.11544730282208232,	0.4359834689683596,	0.7126500504936777,	400
915170400.0,	35.57903855029204,	2.9087806829748586,	0.019659983663643393,	0.11814813305174321,	0.445727244605563,	0.730827304312971,	400
930949200.0,	35.57903855029204,	2.9087806829748586,	0.02011008375316639,	0.12024476640209744,	0.4528646759114,	0.7453756569040328,	400
946728000.0,	35.57903855029204,	2.9087806829748586,	0.020504402233620763,	0.12201345907564135,	0.45882088191196047,	0.7578975708674779,	400
962506800.0,	35.57903855029204,	2.9087806829748586,	0.021057367090935263,	0.12449229252535303,	0.4688626385112949,	0.7752243453377532,	400
978285600.0,	35.57903855029204,	2.9087806829748586,	0.02156011270518806,	0.12664765139044,	0.4774469896095561,	0.7906620392007113,	400
994064400.0,	35.57903855029204,	2.9087806829748586,	0.021960788173526796,	0.1282944837815262,	0.48364976837779344,	0.8027988895287888,	400
1009843200.0,	35.57903855029204,	2.9087806829748586,	0.022318708667689147,	0.12973025978411512,	0.48904604396959583,	0.8135555353183292,	400
1025622000.0,	35.57903855029204,	2.9087806829748586,	0.022720973712185778,	0.13132698272829021,	0.4954749844531361,	0.8255670094696825,	400
1041400800.0,	35.57903855029204,	2.9087806829748586,	0.023049918212037425,	0.13259763837879918,	0.5004383139117294,	0.8353183244524698,	400
1057179600.0,	35.57903855029204,	2.9087806829748586,	0.023338437482959617,	0.13369206540461856,	0.5046923989607385,	0.8438305024822141,	400
1072958400.0,	35.57903855029204,	2.9087806829748586,	0.023582221897537767,	0.1346019495947243,	0.5081919439688064,	0.8509964010720846,	400
