time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
599594400.0,	38.631974786944355,	12.554164502154402,	0.015,	0.05,	0.2,	0.2,	400
615373200.0,	38.631974786944355,	12.554164502154402,	0.015002832333478657,	0.05091961305872538,	0.20101960969109775,	0.21435412739389995,	400
631152000.0,	38.631974786944355,	12.554164502154402,	0.015006528491398004,	0.05204523094454248,	0.202637939426787,	0.23103790787242234,	400
646930800.0,	38.631974786944355,	12.554164502154402,	0.015012775216479025,	0.053872508180085536,	0.20693676879364678,	0.25560316216021506,	400
662709600.0,	38.631974786944355,	12.554164502154402,	0.015021896832833101,	0.05635209323721741,	0.21574275953385688,	0.28465965236803653,	400
678488400.0,	38.631974786944355,	12.554164502154402,	0.015034386943874357,	0.0593178179366921,	0.2287657159448112,	0.31512984747697553,	400
694267200.0,	38.631974786944355,	12.554164502154402,	0.015051990487319906,	0.06273752999099767,	0.2449165354637684,	0.34667054046493134,	400
710046000.0,	38.631974786944355,	12.554164502154402,	0.015080052427409217,	0.06712899973499334,	0.26788636987176584,	0.3818983837219605,	400
725824800.0,	38.631974786944355,	12.554164502154402,	0.015127127146231115,	0.07216155173931668,	0.2915981424466676,	0.4197476320999216,	400
741603600.0,	38.631974786944355,	12.554164502154402,	0.015206018215137389,	0.07732335109651553,	0.31206097901557556,	0.4575119011316765,	400
757382400.0,	38.631974786944355,	12.554164502154402,	0.015340337842846028,	0.08277843772115923,	0.332462533341097,	0.4952675450656451,	400
773161200.0,	38.631974786944355,	12.554164502154402,	0.015557222472177496,	0.08814148597967486,	0.3508207591805006,	0.531184998610572,	400
788940000.0,	38.631974786944355,	12.554164502154402,	0.015878005975280118,	0.09324645773537668,	0.36733135533707734,	0.5644695133124782,	400
804718800.0,	38.631974786944355,	12.554164502154402,	0.016277228057084515,	0.09763410390719157,	0.38034640896555816,	0.5929528418150304,	400
820497600.0,	38.631974786944355,	12.554164502154402,	0.0168468418734917,	0.10274934635193347,	0.3985449794293691,	0.6244537470864215,	400
836276400.0,	38.631974786944355,	12.554164502154402,	0.017509384833891285,	0.10745291601437214,	0.41493427286349577,	0.6536071720991387,	400
852055200.0,	38.631974786944355,	12.554164502154402,	0.0180876099432395,	0.1114907564936983,	0.4340000130343918,	0.6756418210785892,	400
867834000.0,	38.631974786944355,	12.554164502154402,	0.018645706819070743,	0.11485534992633532,	0.4480645334406718,	0.694988172286081,	400
883612800.0,	38.631974786944355,	12.554164502154402,	0.01904397214585186,	0.11792461638224044,	0.4686856784535973,	0.708092646330133,	400
899391600.0,	38.631974786944355,	12.554164502154402,	0.01944136474677813,	0.12059449217780815,	0.48439577084751795,	0.7203970540826067,	400
915170400.0,	38.631974786944355,	12.554164502154402,	0.019770052714626188,	0.12297184406727883,	0.5000598987533629,	0.7302148038342937,	400
930949200.0,	38.631974786944355,	12.554164502154402,	0.02006303178768366,	0.12460949037363715,	0.5076164655968856,	0.7386813731741168,	400
946728000.0,	38.631974786944355,	12.554164502154402,	0.02033807544696742,	0.12610742201920155,	0.514425983356888,	0.7465668917649444,	400
962506800.0,	38.631974786944355,	12.554164502154402,	0.020646649192349528,	0.12777685821326207,	0.5222799595723053,	0.7553575658582061,	400
978285600.0,	38.631974786944355,	12.554164502154402,	0.020897829823849294,	0.12908714716452194,	0.5281561854856499,	0.7624640051546326,	400
994064400.0,	38.631974786944355,	12.554164502154402,	0.021081249543189278,	0.13018759929138185,	0.5345331152844922,	0.7676339013972967,	400
1009843200.0,	38.631974786944355,	12.554164502154402,	0.02122647698196852,	0.1310283752714609,	0.5391906397289548,	0.7716932846019207,	400
1025622000.0,	38.631974786944355,	12.554164502154402,	0.021334732133036,	0.13171421919858786,	0.5435080460822973,	0.7747036132418167,	400
1041400800.0,	38.631974786944355,	12.554164502154402,	0.021377057406846124,	0.13197026348925653,	0.545017075981808,	0.7758737926757374,	400
1057179600.0,	38.631974786944355,	12.554164502154402,	0.021574959514254043,	0.1327777996555896,	0.5468269012171738,	0.7813312856491588,	400
1072958400.0,	38.631974786944355,	12.554164502154402,	0.021738947790899663,	0.1334437255415556,	0.548330249505545,	0.7858790315589569,	400
1088737200.0,	38.631974786944355,	12.554164502154402,	0.02188023501428983,	0.13401514127708347,	0.5496331521830551,	0.7898136994668279,	400
1104516000.0,	38.631974786944355,	12.554164502154402,	0.021971735243667242,	0.13438340797029732,	0.5504603175815452,	0.7923706766846512,	400
1120294800.0,	38.631974786944355,	12.554164502154402,	0.022103055870524156,	0.1349117704768758,	0.551703124835442,	0.7960470398620983,	400
1136073600.0,	38.631974786944355,	12.554164502154402,	0.02220159806132208,	0.135306552474132,	0.5526280313237215,	0.7988132696631404,	400
1151852400.0,	38.631974786944355,	12.554164502154402,	0.02234200992141792,	0.13586891754539784,	0.5540109152844032,	0.8027612286409562,	400
1167631200.0,	38.631974786944355,	12.554164502154402,	0.022516456871068513,	0.13656663445778064,	0.5558116562949371,	0.8076765481348644,	400
1183410000.0,	38.631974786944355,	12.554164502154402,	0.02283805695512843,	0.13786060602068748,	0.5596507531362372,	0.8167535431101393,	400
1199188800.0,	38.631974786944355,	12.554164502154402,	0.02306769049093289,	0.13877098296781973,	0.5622792906770194,	0.8232545840304974,	400
1214967600.0,	38.631974786944355,	12.554164502154402,	0.023232848307825228,	0.13941907318405863,	0.5641178767921303,	0.8279397152707565,	400
1230746400.0,	38.631974786944355,	12.554164502154402,	0.023309833268267598,	0.13971821648477048,	0.5649298228544575,	0.8301270108472488,	400
1246525200.0,	38.631974786944355,	12.554164502154402,	0.023386524966202003,	0.14001561815425914,	0.5657459376957135,	0.8323072431774405,	400
1262304000.0,	38.631974786944355,	12.554164502154402,	0.02344757325967802,	0.14025165960544475,	0.5663930837479013,	0.8340437991486505,	400
1278082800.0,	38.631974786944355,	12.554164502154402,	0.023454953554446604,	0.1402800624906106,	0.5664684849420613,	0.8342538732903798,	400
1293861600.0,	38.631974786944355,	12.554164502154402,	0.02351805119534597,	0.1405065707142552,	0.5668706820531282,	0.8360495219311408,	400
1309640400.0,	38.631974786944355,	12.554164502154402,	0.023580573846201908,	0.14073062083148005,	0.5672729832952271,	0.8378307061996734,	400
1325419200.0,	38.631974786944355,	12.554164502154402,	0.023652943093180844,	0.14098950046151876,	0.5677465576294829,	0.8398943960616332,	400
1341198000.0,	38.631974786944355,	12.554164502154402,	0.023718208949736946,	0.14122249416846203,	0.5681761789620572,	0.841757658811291,	400
