time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	0.1961793286950786,	0.5158931442106746,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	0.1961793286950786,	0.5158931442106746,	0.015005215181931526,	0.051773206135493854,	0.20304652084857017,	0.22642952705235642,	400
31557600.0,	0.1961793286950786,	0.5158931442106746,	0.015013323405476028,	0.05436697651449987,	0.210907072513366,	0.2596077247583115,	400
47336400.0,	0.1961793286950786,	0.5158931442106746,	0.015025464365631071,	0.058003714628108556,	0.22836614880244957,	0.2970140089114246,	400
63115200.0,	0.1961793286950786,	0.5158931442106746,	0.015044195489787152,	0.06274098848847794,	0.2548001783089979,	0.33745535394850856,	400
78894000.0,	0.1961793286950786,	0.5158931442106746,	0.01507670131743952,	0.06858697682850712,	0.28508444887949475,	0.38223248050507963,	400
94672800.0,	0.1961793286950786,	0.5158931442106746,	0.015139315566907,	0.07538937649962667,	0.31555813295001856,	0.43076301883455387,	400
110451600.0,	0.1961793286950786,	0.5158931442106746,	0.015268318410568258,	0.08291934752954042,	0.34517808493304075,	0.48119057418373545,	400
126230400.0,	0.1961793286950786,	0.5158931442106746,	0.015530889131314438,	0.09061633719620277,	0.3718507554023467,	0.5305644334090538,	400
142009200.0,	0.1961793286950786,	0.5158931442106746,	0.01601926094620754,	0.09828937852270574,	0.3974319257124589,	0.5776343497377188,	400
157788000.0,	0.1961793286950786,	0.5158931442106746,	0.01676650347458854,	0.10535925907068794,	0.4201784385996729,	0.6203712843180709,	400
173566800.0,	0.1961793286950786,	0.5158931442106746,	0.0177093806073114,	0.11184275406870951,	0.4416208358155078,	0.6596021248125952,	400
189345600.0,	0.1961793286950786,	0.5158931442106746,	0.018744016508026044,	0.11771461489418843,	0.46178127559872945,	0.6959545265064698,	400
205124400.0,	0.1961793286950786,	0.5158931442106746,	0.019818027108147587,	0.12313929457699144,	0.4815544949627469,	0.7305886057001095,	400
220903200.0,	0.1961793286950786,	0.5158931442106746,	0.020882393094953735,	0.12806707879437887,	0.5002497921139408,	0.7632912248652632,	400
236682000.0,	0.1961793286950786,	0.5158931442106746,	0.021922524014929258,	0.13257246531187483,	0.5180739047572832,	0.794340452517603,	400
252460800.0,	0.1961793286950786,	0.5158931442106746,	0.022922876818645316,	0.13666761931420826,	0.5348188809186251,	0.8236229037985028,	400
268239600.0,	0.1961793286950786,	0.5158931442106746,	0.02388367286446396,	0.14041809239823996,	0.5506939497429406,	0.8513482945664753,	400
284018400.0,	0.1961793286950786,	0.5158931442106746,	0.0247712812211949,	0.14372676910266471,	0.5648103815870686,	0.8766726216467321,	400
299797200.0,	0.1961793286950786,	0.5158931442106746,	0.025545524831987514,	0.1464903564767847,	0.5763726446380572,	0.8985853318890207,	400
315576000.0,	0.1961793286950786,	0.5158931442106746,	0.026385067834256645,	0.14944188211241557,	0.5901224039678754,	0.9222079443520192,	400
331354800.0,	0.1961793286950786,	0.5158931442106746,	0.027184956921786026,	0.1521652962414816,	0.6031002495105574,	0.9445147419377069,	400
347133600.0,	0.1961793286950786,	0.5158931442106746,	0.027951545574446884,	0.15470281278137377,	0.6154988938671208,	0.9657278503426363,	400
362912400.0,	0.1961793286950786,	0.5158931442106746,	0.028643401528124172,	0.15692385682092483,	0.6263001960413539,	0.9847426723911297,	400
378691200.0,	0.1961793286950786,	0.5158931442106746,	0.029289338494758475,	0.15894987412232323,	0.636287591857445,	1.0024032866720887,	400
394470000.0,	0.1961793286950786,	0.5158931442106746,	0.029893271458903223,	0.16080525135515947,	0.6455599274157199,	1.0188387801823788,	400
410248800.0,	0.1961793286950786,	0.5158931442106746,	0.030450352509471087,	0.16248360374975018,	0.6540171511497586,	1.0339357841190222,	400
426027600.0,	0.1961793286950786,	0.5158931442106746,	0.03094511441807563,	0.16394580084397178,	0.6613589402816684,	1.0472957961915932,	400
441806400.0,	0.1961793286950786,	0.5158931442106746,	0.03140517020205646,	0.16528599548281972,	0.6681620427122272,	1.0596817401296612,	400
457585200.0,	0.1961793286950786,	0.5158931442106746,	0.031820270292562014,	0.16647805778657065,	0.6742280121652954,	1.070827070091124,	400
473364000.0,	0.1961793286950786,	0.5158931442106746,	0.032210046829331915,	0.1675849624566821,	0.6799278547795776,	1.0812671926431094,	400
489142800.0,	0.1961793286950786,	0.5158931442106746,	0.03254031238199583,	0.16851024252187646,	0.6846434148960937,	1.0900943548714097,	400
504921600.0,	0.1961793286950786,	0.5158931442106746,	0.032840043575312325,	0.16934214681461637,	0.6888999901650489,	1.0980916905270348,	400
520700400.0,	0.1961793286950786,	0.5158931442106746,	0.03310650075588827,	0.1700751819206638,	0.6926523902058703,	1.1051904465552382,	400
536479200.0,	0.1961793286950786,	0.5158931442106746,	0.03335021362649533,	0.17074085616707227,	0.6960757379380842,	1.111674534666875,	400
552258000.0,	0.1961793286950786,	0.5158931442106746,	0.03352709307562742,	0.17121906923776906,	0.6984802021076525,	1.1163757349914516,	400
568036800.0,	0.1961793286950786,	0.5158931442106746,	0.0336664541140697,	0.17159348632167928,	0.7003453585436146,	1.120077362305182,	400
583815600.0,	0.1961793286950786,	0.5158931442106746,	0.033836001844221975,	0.17204889751819716,	0.7026772610480411,	1.124577387978444,	400
599594400.0,	0.1961793286950786,	0.5158931442106746,	0.03399082867674981,	0.172462944452205,	0.7048040085120014,	1.1286833983611158,	400
615373200.0,	0.1961793286950786,	0.5158931442106746,	0.03411407311420655,	0.17279075161370797,	0.7064750689353557,	1.131949718360549,	400
631152000.0,	0.1961793286950786,	0.5158931442106746,	0.034225231243410426,	0.17308545591019167,	0.7079798480330318,	1.1348941087870605,	400
646930800.0,	0.1961793286950786,	0.5158931442106746,	0.03432027979305881,	0.1733366180946135,	0.709260377981241,	1.1374106047001797,	400
662709600.0,	0.1961793286950786,	0.5158931442106746,	0.03439367044999559,	0.17352989090526594,	0.7102401150196452,	1.1393529997149934,	400
678488400.0,	0.1961793286950786,	0.5158931442106746,	0.034457849754337536,	0.17369856148617424,	0.7110950782379055,	1.141051099296837,	400
694267200.0,	0.1961793286950786,	0.5158931442106746,	0.034530369351137236,	0.17388904806818928,	0.7120696575822449,	1.1429692234545274,	400
710046000.0,	0.1961793286950786,	0.5158931442106746,	0.0345528813341116,	0.1739478824408657,	0.712363686233104,	1.1435645941850845,	400
