time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
426027600.0,	48.059171177136015,	2.329442414439037,	0.015,	0.05,	0.2,	0.2,	400
441806400.0,	48.059171177136015,	2.329442414439037,	0.015006972108843783,	0.05249628025581778,	0.20590781141983794,	0.23533254186335756,	400
457585200.0,	48.059171177136015,	2.329442414439037,	0.015017584158604678,	0.056105170224039304,	0.22152792979386843,	0.2757175571260111,	400
473364000.0,	48.059171177136015,	2.329442414439037,	0.015033778338981665,	0.06104366746942988,	0.25006532502039447,	0.31884341371533376,	400
489142800.0,	48.059171177136015,	2.329442414439037,	0.015061870699761193,	0.06716670308444629,	0.2822424430701357,	0.36661459903510457,	400
504921600.0,	48.059171177136015,	2.329442414439037,	0.015118334434522492,	0.0748223921902812,	0.31905444418395357,	0.41985177450742933,	400
520700400.0,	48.059171177136015,	2.329442414439037,	0.0152432886399201,	0.08310311608281468,	0.350459485741075,	0.4755661798917053,	400
536479200.0,	48.059171177136015,	2.329442414439037,	0.015523676521614582,	0.09198209806378786,	0.3818531872332374,	0.5311384796405516,	400
552258000.0,	48.059171177136015,	2.329442414439037,	0.016077592712181486,	0.10033386255163124,	0.4081492503725327,	0.5821915865286498,	400
568036800.0,	48.059171177136015,	2.329442414439037,	0.016996091045307887,	0.10868474371993354,	0.43686846375884736,	0.6310136222663874,	400
583815600.0,	48.059171177136015,	2.329442414439037,	0.018010615806574655,	0.11617210313292514,	0.47073988873612016,	0.6694389199164432,	400
599594400.0,	48.059171177136015,	2.329442414439037,	0.019134600084030087,	0.12270793716832792,	0.4970463502276254,	0.7055741791472445,	400
615373200.0,	48.059171177136015,	2.329442414439037,	0.020110477689389204,	0.1281898294722125,	0.5220494824530422,	0.7350266883372001,	400
631152000.0,	48.059171177136015,	2.329442414439037,	0.021117440393705684,	0.1331134572919982,	0.541829199095013,	0.7642122922569481,	400
646930800.0,	48.059171177136015,	2.329442414439037,	0.022138607604713,	0.1385190747182923,	0.5715360730054836,	0.7934046139200658,	400
662709600.0,	48.059171177136015,	2.329442414439037,	0.023036307598245223,	0.14319270396280537,	0.5985557360615549,	0.818137891434279,	400
678488400.0,	48.059171177136015,	2.329442414439037,	0.023912080370477144,	0.146882367328891,	0.6136599561137437,	0.841632837923327,	400
694267200.0,	48.059171177136015,	2.329442414439037,	0.024668296744887363,	0.15011204906157263,	0.6284756346589394,	0.8620563325999356,	400
710046000.0,	48.059171177136015,	2.329442414439037,	0.025553729611964563,	0.15392191488838192,	0.6484868149118322,	0.8858977522505233,	400
725824800.0,	48.059171177136015,	2.329442414439037,	0.026277294665799762,	0.1568306214877565,	0.6623870271904517,	0.9051995462330436,	400
741603600.0,	48.059171177136015,	2.329442414439037,	0.026942352315643476,	0.15942888303105382,	0.6747999704610332,	0.9229036424275435,	400
757382400.0,	48.059171177136015,	2.329442414439037,	0.027486683030285716,	0.16179266671935696,	0.6895254909377386,	0.9373711765683185,	400
773161200.0,	48.059171177136015,	2.329442414439037,	0.027955443210880334,	0.1637360334560094,	0.7009852324401278,	0.9496835466012904,	400
788940000.0,	48.059171177136015,	2.329442414439037,	0.02838130345823154,	0.1655113868756825,	0.7118949825371916,	0.9607944095869518,	400
804718800.0,	48.059171177136015,	2.329442414439037,	0.028712520228260017,	0.16699143311756331,	0.7222456900548413,	0.9693799194626941,	400
820497600.0,	48.059171177136015,	2.329442414439037,	0.02920384960647318,	0.16906890075193534,	0.7361872301627981,	0.9819917250521715,	400
836276400.0,	48.059171177136015,	2.329442414439037,	0.02959979703054091,	0.17076923647526465,	0.7480508615630679,	0.9920635827959382,	400
852055200.0,	48.059171177136015,	2.329442414439037,	0.029836363725030478,	0.17169393997506519,	0.7535081109491271,	0.9980357330489432,	400
867834000.0,	48.059171177136015,	2.329442414439037,	0.030085904139288643,	0.17275865203980798,	0.7609680215425547,	1.004325941429046,	400
883612800.0,	48.059171177136015,	2.329442414439037,	0.03024723395726325,	0.1734614229545672,	0.766045551983439,	1.0083743776791714,	400
899391600.0,	48.059171177136015,	2.329442414439037,	0.030371180815350608,	0.17397081746416304,	0.7694137222167626,	1.0114741978343558,	400
915170400.0,	48.059171177136015,	2.329442414439037,	0.03053219664321888,	0.17463663978104063,	0.7739202655257841,	1.0154938099155513,	400
930949200.0,	48.059171177136015,	2.329442414439037,	0.030633385792389,	0.17508672791057348,	0.7773148275481073,	1.0180147498636503,	400
946728000.0,	48.059171177136015,	2.329442414439037,	0.03072940509873407,	0.1755110634088807,	0.7804977629361811,	1.020400883134621,	400
962506800.0,	48.059171177136015,	2.329442414439037,	0.030847586677333234,	0.176034985321551,	0.7844721704349493,	1.023330714038066,	400
978285600.0,	48.059171177136015,	2.329442414439037,	0.030926608563987303,	0.17637893235974927,	0.7870141920380849,	1.0252844796235439,	400
994064400.0,	48.059171177136015,	2.329442414439037,	0.030950211763561924,	0.1764796070392494,	0.7877335059831293,	1.0258672411942504,	400
