time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
173566800.0,	67.04700353537181,	9.619294449591969,	0.015,	0.05,	0.2,	0.2,	400
189345600.0,	67.04700353537181,	9.619294449591969,	0.015011076784246525,	0.05616847872237813,	0.2414441533468027,	0.2561310172299215,	400
205124400.0,	67.04700353537181,	9.619294449591969,	0.015029511798375432,	0.06555282482557702,	0.3071332208268326,	0.3159634193143178,	400
220903200.0,	67.04700353537181,	9.619294449591969,	0.015083277097242404,	0.0794857917215337,	0.36933008007268714,	0.406333376958403,	400
236682000.0,	67.04700353537181,	9.619294449591969,	0.015143257207528592,	0.09019123222646297,	0.4404701653278092,	0.4345902132601728,	400
252460800.0,	67.04700353537181,	9.619294449591969,	0.015228863100329176,	0.09987555738982726,	0.4926925578994409,	0.457569691982929,	400
268239600.0,	67.04700353537181,	9.619294449591969,	0.015371056764172358,	0.10987184226499622,	0.5384882141285124,	0.48188772254593404,	400
284018400.0,	67.04700353537181,	9.619294449591969,	0.015941878131072704,	0.12438641424323407,	0.5761491467673885,	0.5448737840161563,	400
299797200.0,	67.04700353537181,	9.619294449591969,	0.016726561631797556,	0.1369365055943423,	0.6209046990217459,	0.5841642624609348,	400
315576000.0,	67.04700353537181,	9.619294449591969,	0.01701877677462618,	0.14226134695828738,	0.6441495830079929,	0.5947357401261655,	400
331354800.0,	67.04700353537181,	9.619294449591969,	0.01716613724881629,	0.14511821098429678,	0.6569187862061698,	0.5996668572754419,	400
347133600.0,	67.04700353537181,	9.619294449591969,	0.01734111586752348,	0.1482852838923479,	0.6707328816286207,	0.6053124701194736,	400
