time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2161695600.0,	18.22851029660998,	10.62759820833778,	0.015,	0.05,	0.2,	0.2,	400
2177474400.0,	18.22851029660998,	10.62759820833778,	0.015000650174484684,	0.05020533910962869,	0.20014948235068064,	0.20329513917320396,	400
2193253200.0,	18.22851029660998,	10.62759820833778,	0.01500137991613981,	0.05043187272158348,	0.20032298423027745,	0.20689683070554707,	400
2209032000.0,	18.22851029660998,	10.62759820833778,	0.015002469493283929,	0.05076475351460957,	0.20060652918537183,	0.21212032238449882,	400
2224810800.0,	18.22851029660998,	10.62759820833778,	0.01500401882858895,	0.05122700611767178,	0.20105763086662265,	0.2192393594367664,	400
