time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1072958400.0,	75.13124580981619,	4.529836396444927,	0.015,	0.05,	0.2,	0.2,	400
1088737200.0,	75.13124580981619,	4.529836396444927,	0.015010801712916804,	0.055272136204768105,	0.22960600764870265,	0.2547372895204548,	400
1104516000.0,	75.13124580981619,	4.529836396444927,	0.015026902291528511,	0.06330790312212901,	0.28968016277450126,	0.3073130049781644,	400
1120294800.0,	75.13124580981619,	4.529836396444927,	0.015069488778199535,	0.07486053294619521,	0.3425529191688354,	0.38755986751818566,	400
1136073600.0,	75.13124580981619,	4.529836396444927,	0.015206637426128865,	0.09079964536401539,	0.4135482193463421,	0.4758959143127205,	400
1151852400.0,	75.13124580981619,	4.529836396444927,	0.015818402560711865,	0.10902024953754107,	0.4749916053102844,	0.5742141937639383,	400
1167631200.0,	75.13124580981619,	4.529836396444927,	0.017848090288749965,	0.12488512235367744,	0.5273766240750716,	0.6597991002179231,	400
1183410000.0,	75.13124580981619,	4.529836396444927,	0.020586195922719108,	0.13857357421756303,	0.5811199671302508,	0.7370904385570449,	400
1199188800.0,	75.13124580981619,	4.529836396444927,	0.023050133812763027,	0.15078064787555584,	0.642550246913275,	0.80692260761546,	400
1214967600.0,	75.13124580981619,	4.529836396444927,	0.025377139256593104,	0.1628032439062194,	0.7218761083333675,	0.8692633151392216,	400
1230746400.0,	75.13124580981619,	4.529836396444927,	0.027965010513704442,	0.17286347691066267,	0.7728846951135684,	0.9334405146559778,	400
1246525200.0,	75.13124580981619,	4.529836396444927,	0.030433932681766265,	0.18183536346191423,	0.819279975448131,	0.9966140580305602,	400
1262304000.0,	75.13124580981619,	4.529836396444927,	0.0326946232742624,	0.1899299769055037,	0.8672077771375277,	1.054514091693073,	400
1278082800.0,	75.13124580981619,	4.529836396444927,	0.03476856057475414,	0.1972103526380466,	0.9147621569553598,	1.1066037591013993,	400
1293861600.0,	75.13124580981619,	4.529836396444927,	0.036725852862929176,	0.20367122374455202,	0.9567844915537538,	1.1546739035376363,	400
1309640400.0,	75.13124580981619,	4.529836396444927,	0.039194137532034184,	0.21009641440953553,	0.9842047872539401,	1.2143245574224035,	400
1325419200.0,	75.13124580981619,	4.529836396444927,	0.041493413794955386,	0.2159983564386945,	1.0135712645752195,	1.2712847586672924,	400
1341198000.0,	75.13124580981619,	4.529836396444927,	0.04357851031895045,	0.22119109772341766,	1.0415144650972246,	1.3229616593306506,	400
1356976800.0,	75.13124580981619,	4.529836396444927,	0.04563611486480017,	0.2262237033596881,	1.0721962665351887,	1.3735898739079735,	400
1372755600.0,	75.13124580981619,	4.529836396444927,	0.047436174598997086,	0.23045858009144835,	1.098102860102111,	1.4173688674632794,	400
1388534400.0,	75.13124580981619,	4.529836396444927,	0.04916869074052251,	0.23445763311437787,	1.1243303540126688,	1.45912283738126,	400
1404313200.0,	75.13124580981619,	4.529836396444927,	0.05065875921167681,	0.2377880266216996,	1.1459035841692409,	1.4946968467725854,	400
1420092000.0,	75.13124580981619,	4.529836396444927,	0.052290139693360306,	0.2414408526042898,	1.1728001340730094,	1.5333251954335498,	400
1435870800.0,	75.13124580981619,	4.529836396444927,	0.05366149931504739,	0.24440873360731663,	1.1938639527719903,	1.5654477319737752,	400
1451649600.0,	75.13124580981619,	4.529836396444927,	0.05499943286475176,	0.24727273306944783,	1.2151381912742514,	1.5965599458149278,	400
1467428400.0,	75.13124580981619,	4.529836396444927,	0.05604249008194486,	0.24943912301199017,	1.2303668683738989,	1.6206610416747949,	400
1483207200.0,	75.13124580981619,	4.529836396444927,	0.05707883595610438,	0.25164075590855106,	1.2479614554326333,	1.644504243827187,	400
1498986000.0,	75.13124580981619,	4.529836396444927,	0.05801959479253732,	0.25361088609993593,	1.2637048268006439,	1.666001225088025,	400
1514764800.0,	75.13124580981619,	4.529836396444927,	0.05877571326154141,	0.2551844627479525,	1.2763633181094456,	1.6831918677088542,	400
1530543600.0,	75.13124580981619,	4.529836396444927,	0.05951553743633993,	0.25676280848224986,	1.2903949172786058,	1.6999346426969888,	400
1546322400.0,	75.13124580981619,	4.529836396444927,	0.06023256706538763,	0.2583057877916038,	1.3047831786780042,	1.716060350608427,	400
1562101200.0,	75.13124580981619,	4.529836396444927,	0.06108579389424075,	0.2601934980626387,	1.3242181597495104,	1.7351056540043046,	400
1577880000.0,	75.13124580981619,	4.529836396444927,	0.061658880411583815,	0.2613579908329716,	1.3339535216226406,	1.7477862520147358,	400
1593658800.0,	75.13124580981619,	4.529836396444927,	0.062207315157811215,	0.2624677596976288,	1.3433204797607476,	1.7598904408572436,	400
