time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4070930400.0,	13.603197726951377,	10.126747684001632,	0.015,	0.05,	0.2,	0.2,	400
4086709200.0,	13.603197726951377,	10.126747684001632,	0.015000556746925844,	0.05017566402030183,	0.20012552112048962,	0.2028216435973871,	400
4102488000.0,	13.603197726951377,	10.126747684001632,	0.015001247742740266,	0.05039063982762089,	0.20028811813579606,	0.20624512316728016,	400
4118266800.0,	13.603197726951377,	10.126747684001632,	0.015002094243999196,	0.05064948961412073,	0.20049727908412399,	0.2103247463478645,	400
4134045600.0,	13.603197726951377,	10.126747684001632,	0.015003219536594812,	0.05098689617877922,	0.2007968000482718,	0.2155714440403757,	400
4149824400.0,	13.603197726951377,	10.126747684001632,	0.015004501323090348,	0.05136067866776227,	0.20115631821264923,	0.22129720564913524,	400
4165603200.0,	13.603197726951377,	10.126747684001632,	0.015007455135469595,	0.05221381923938621,	0.20230551959097304,	0.23388404128352033,	400
4181382000.0,	13.603197726951377,	10.126747684001632,	0.015011449534608937,	0.05330479737206852,	0.20418937674798016,	0.24920822664172118,	400
4197160800.0,	13.603197726951377,	10.126747684001632,	0.015017028096704473,	0.05473599335174045,	0.20750881236200872,	0.26797676047579183,	400
4212939600.0,	13.603197726951377,	10.126747684001632,	0.015024160531988597,	0.056406083328808004,	0.21236202751834476,	0.288284310320265,	400
4228718400.0,	13.603197726951377,	10.126747684001632,	0.015033699680453195,	0.05843229451513467,	0.2197242719710023,	0.3107438114815513,	400
4244497200.0,	13.603197726951377,	10.126747684001632,	0.015047370404048249,	0.061051925901378055,	0.23162337134242691,	0.33647358747562844,	400
4260276000.0,	13.603197726951377,	10.126747684001632,	0.015066124425573514,	0.06399836108257076,	0.2453931063369506,	0.36319444197738887,	400
4276054800.0,	13.603197726951377,	10.126747684001632,	0.015092113600570771,	0.0671521727003985,	0.2595171116642714,	0.39022893271000986,	400
4291833600.0,	13.603197726951377,	10.126747684001632,	0.015128480374167605,	0.07043627643642669,	0.2733456244310483,	0.417119871626964,	400
4307612400.0,	13.603197726951377,	10.126747684001632,	0.015181765965390937,	0.07399997227411373,	0.2880801753008817,	0.4446916977690264,	400
4323391200.0,	13.603197726951377,	10.126747684001632,	0.01525762026878333,	0.07758962887007598,	0.3018438333999989,	0.47154377277163534,	400
4339170000.0,	13.603197726951377,	10.126747684001632,	0.015299700801315897,	0.08002978279208217,	0.32085436682344926,	0.48181785794917736,	400
4354948800.0,	13.603197726951377,	10.126747684001632,	0.015340045943038215,	0.08207158643660052,	0.335678854021761,	0.49003652917841206,	400
4370727600.0,	13.603197726951377,	10.126747684001632,	0.015429553195378604,	0.08517275816569851,	0.35225177095178767,	0.5058361414662539,	400
4386506400.0,	13.603197726951377,	10.126747684001632,	0.015541116140836345,	0.08814125845760129,	0.3661501903104124,	0.5213958777309765,	400
4402285200.0,	13.603197726951377,	10.126747684001632,	0.01566082044861725,	0.09061640764517673,	0.3761999588419046,	0.5348591578832605,	400
4418064000.0,	13.603197726951377,	10.126747684001632,	0.01578367659449851,	0.09273257796444406,	0.38410794695291967,	0.5465244128407765,	400
4433842800.0,	13.603197726951377,	10.126747684001632,	0.015913800074592595,	0.09469683900397514,	0.39121036340253607,	0.5573204206152774,	400
4449621600.0,	13.603197726951377,	10.126747684001632,	0.016054499905824533,	0.09660392828867968,	0.39802938302267443,	0.5677158005713263,	400
4465400400.0,	13.603197726951377,	10.126747684001632,	0.01617587580030081,	0.09806505870931097,	0.4029023687316438,	0.57580070270559,	400
4481179200.0,	13.603197726951377,	10.126747684001632,	0.016307487793696614,	0.09955213334627251,	0.4079258058918354,	0.5839476893843607,	400
4496958000.0,	13.603197726951377,	10.126747684001632,	0.016496770543286056,	0.10163062614837412,	0.41569091739182995,	0.5948756955902045,	400
4512736800.0,	13.603197726951377,	10.126747684001632,	0.016705853601916194,	0.10359130541975917,	0.42184866618047273,	0.605909406095847,	400
4528515600.0,	13.603197726951377,	10.126747684001632,	0.01685512455155319,	0.1052582518043537,	0.4301028914930059,	0.6132111228042489,	400
4544294400.0,	13.603197726951377,	10.126747684001632,	0.016997886526048417,	0.10656150129880573,	0.43507779261295504,	0.6197981899049881,	400
4560073200.0,	13.603197726951377,	10.126747684001632,	0.017105945828614202,	0.10749058248929474,	0.43843598194725475,	0.6245850185489839,	400
4575852000.0,	13.603197726951377,	10.126747684001632,	0.017200769547557018,	0.1082795092195317,	0.4412412325615469,	0.6286745311625346,	400
4591630800.0,	13.603197726951377,	10.126747684001632,	0.017290560739378215,	0.10900916922224214,	0.4438267946753002,	0.6324646148696815,	400
