time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4418064000.0,	58.925352511280984,	0.20562801401142028,	0.015,	0.05,	0.2,	0.2,	400
4433842800.0,	58.925352511280984,	0.20562801401142028,	0.01500768872144417,	0.052831295937486346,	0.20765893809648708,	0.23896378123612544,	400
4449621600.0,	58.925352511280984,	0.20562801401142028,	0.015019592319409815,	0.05715114638166985,	0.23010422262773556,	0.2829446614621484,	400
4465400400.0,	58.925352511280984,	0.20562801401142028,	0.015038746851077946,	0.06311710310981819,	0.2664354866091876,	0.33056393355612984,	400
4481179200.0,	58.925352511280984,	0.20562801401142028,	0.015075715497032599,	0.07041120725931505,	0.3021171082240494,	0.38498751943853715,	400
4496958000.0,	58.925352511280984,	0.20562801401142028,	0.015158594346025267,	0.07954435029689078,	0.3434622934166628,	0.44500242440272336,	400
4512736800.0,	58.925352511280984,	0.20562801401142028,	0.015371155268321508,	0.08985807251892139,	0.3823456631059118,	0.5088648261262662,	400
4528515600.0,	58.925352511280984,	0.20562801401142028,	0.015889678050790737,	0.1000606445193147,	0.41541920777263797,	0.5700605932656503,	400
4544294400.0,	58.925352511280984,	0.20562801401142028,	0.01690007439224645,	0.10995368400191168,	0.4487110221734133,	0.6269375336561005,	400
4560073200.0,	58.925352511280984,	0.20562801401142028,	0.01827624199716231,	0.11857153896976871,	0.4775923743739363,	0.6775646527047868,	400
4575852000.0,	58.925352511280984,	0.20562801401142028,	0.019790242650254274,	0.12643034862310407,	0.5064982128158632,	0.7255134811004554,	400
4591630800.0,	58.925352511280984,	0.20562801401142028,	0.02134616827021914,	0.1336670758625009,	0.5355253430949525,	0.7719344650926543,	400
