time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
457585200.0,	42.29136252234521,	6.66604676310961,	0.015,	0.05,	0.2,	0.2,	400
473364000.0,	42.29136252234521,	6.66604676310961,	0.015002260620645512,	0.051386862281724156,	0.21029784467057447,	0.21145679374553428,	400
489142800.0,	42.29136252234521,	6.66604676310961,	0.01500494612808903,	0.052960515848142126,	0.22137250862826288,	0.22407138597211976,	400
504921600.0,	42.29136252234521,	6.66604676310961,	0.015008005129643627,	0.054740877774972,	0.23386639491443598,	0.23717598010625213,	400
520700400.0,	42.29136252234521,	6.66604676310961,	0.01501185370477834,	0.056793116707489835,	0.24721514052869967,	0.25203800820285954,	400
536479200.0,	42.29136252234521,	6.66604676310961,	0.015016586302147495,	0.05909948842246927,	0.26141614477562736,	0.2680814937470785,	400
