time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
788940000.0,	28.525736361138343,	7.233069876961293,	0.015,	0.05,	0.2,	0.2,	400
804718800.0,	28.525736361138343,	7.233069876961293,	0.015000398857261682,	0.050125647513655704,	0.20008699014873949,	0.2020214483984594,	400
820497600.0,	28.525736361138343,	7.233069876961293,	0.015001177468863402,	0.050369172583080095,	0.20027278937750548,	0.20590391887351445,	400
836276400.0,	28.525736361138343,	7.233069876961293,	0.01500242216056835,	0.05075222783457695,	0.20060543189956484,	0.2119191397881216,	400
852055200.0,	28.525736361138343,	7.233069876961293,	0.015003916785906565,	0.051198374063071386,	0.20103560821426097,	0.21879818522097233,	400
867834000.0,	28.525736361138343,	7.233069876961293,	0.015005835160742862,	0.051752088687316566,	0.20164851808885734,	0.2271438203779561,	400
883612800.0,	28.525736361138343,	7.233069876961293,	0.0150082914506614,	0.05243267461261973,	0.20253251791666466,	0.23711521785406187,	400
899391600.0,	28.525736361138343,	7.233069876961293,	0.015012192963337171,	0.05347570635516898,	0.20434806506891168,	0.25167716800196144,	400
915170400.0,	28.525736361138343,	7.233069876961293,	0.015017839260907063,	0.05490333323189669,	0.20773378733131875,	0.2702652198075234,	400
930949200.0,	28.525736361138343,	7.233069876961293,	0.015024809911871502,	0.05650261883316089,	0.21233052402510982,	0.28969938944426277,	400
946728000.0,	28.525736361138343,	7.233069876961293,	0.015033432473624157,	0.058271745711342714,	0.21825636679073784,	0.3097249398000252,	400
962506800.0,	28.525736361138343,	7.233069876961293,	0.015046107356026597,	0.06067248896429831,	0.2287335275875362,	0.33384143921773324,	400
978285600.0,	28.525736361138343,	7.233069876961293,	0.015063413167976209,	0.06342922676295942,	0.24155126517855777,	0.3592746408058141,	400
994064400.0,	28.525736361138343,	7.233069876961293,	0.015085580863596121,	0.06614619137546514,	0.25305850038385336,	0.3835208598016379,	400
1009843200.0,	28.525736361138343,	7.233069876961293,	0.015116484026366412,	0.06913671395804559,	0.2658754316249732,	0.4085757841526049,	400
1025622000.0,	28.525736361138343,	7.233069876961293,	0.015162537493553816,	0.07259335874382061,	0.2811271533475641,	0.4354996493174565,	400
1041400800.0,	28.525736361138343,	7.233069876961293,	0.015228230930952505,	0.0761138775528625,	0.2953420573058337,	0.46206448272639866,	400
1057179600.0,	28.525736361138343,	7.233069876961293,	0.015310499297631243,	0.07916371073496964,	0.30579924583123214,	0.48507385710473305,	400
1072958400.0,	28.525736361138343,	7.233069876961293,	0.015419956748967557,	0.08224238936803409,	0.3162845752640666,	0.5074913820216412,	400
1088737200.0,	28.525736361138343,	7.233069876961293,	0.015566509938870134,	0.08542246607339714,	0.3272281648915428,	0.5298195991294435,	400
1104516000.0,	28.525736361138343,	7.233069876961293,	0.015753325168335993,	0.08856089070101397,	0.3378684281375779,	0.5513043923341674,	400
1120294800.0,	28.525736361138343,	7.233069876961293,	0.015949324053150717,	0.09111772012749517,	0.3456725309259107,	0.5688626763912548,	400
1136073600.0,	28.525736361138343,	7.233069876961293,	0.01615721309461765,	0.09340014056535052,	0.3524674618299691,	0.5844151344465455,	400
1151852400.0,	28.525736361138343,	7.233069876961293,	0.01643331363421907,	0.09611788354076689,	0.36154234445836086,	0.6023292816242042,	400
1167631200.0,	28.525736361138343,	7.233069876961293,	0.016749339975382558,	0.09882912311077023,	0.3708039970914615,	0.6199894076578422,	400
1183410000.0,	28.525736361138343,	7.233069876961293,	0.017149886361473212,	0.10193330416311464,	0.38248808934359313,	0.6397101981430784,	400
1199188800.0,	28.525736361138343,	7.233069876961293,	0.017549777079844515,	0.10463770673758346,	0.39213513321293775,	0.6571393313885232,	400
1214967600.0,	28.525736361138343,	7.233069876961293,	0.017913169538037198,	0.10685588512671301,	0.39960278548046546,	0.6717074483689407,	400
1230746400.0,	28.525736361138343,	7.233069876961293,	0.018258352147895486,	0.10882827440299796,	0.4061916560319265,	0.6848094761033352,	400
1246525200.0,	28.525736361138343,	7.233069876961293,	0.018563539090129807,	0.11047818880577562,	0.41157108289162736,	0.6959337736373258,	400
1262304000.0,	28.525736361138343,	7.233069876961293,	0.018835107498860238,	0.11188752173250208,	0.4161146266841538,	0.7055544265216316,	400
1278082800.0,	28.525736361138343,	7.233069876961293,	0.019050837292445465,	0.1129678741164392,	0.4194826878034936,	0.7130378692464394,	400
1293861600.0,	28.525736361138343,	7.233069876961293,	0.01928253134192912,	0.11410830679494044,	0.42318688664696813,	0.7209608363964638,	400
1309640400.0,	28.525736361138343,	7.233069876961293,	0.01953641826088186,	0.11533713855125166,	0.42736894455376023,	0.7295191878729184,	400
1325419200.0,	28.525736361138343,	7.233069876961293,	0.019722252090108146,	0.1162097719615642,	0.43020664263584735,	0.7356949388701318,	400
1341198000.0,	28.525736361138343,	7.233069876961293,	0.019951357827670442,	0.11727695431858115,	0.4339044748999522,	0.7432391516543337,	400
1356976800.0,	28.525736361138343,	7.233069876961293,	0.020194243672877043,	0.1183914903388966,	0.43790302206463433,	0.7511496825827492,	400
1372755600.0,	28.525736361138343,	7.233069876961293,	0.020415706480024273,	0.11938726941067428,	0.44147538002090986,	0.7582850087099016,	400
1388534400.0,	28.525736361138343,	7.233069876961293,	0.020569576024321953,	0.12006304997337924,	0.4437931747039138,	0.7632000455963934,	400
1404313200.0,	28.525736361138343,	7.233069876961293,	0.020678365374166993,	0.12053388394181828,	0.44536530600720153,	0.7666574838257978,	400
1420092000.0,	28.525736361138343,	7.233069876961293,	0.020894843128569953,	0.12147736174783569,	0.4488945013647694,	0.7735108232309786,	400
1435870800.0,	28.525736361138343,	7.233069876961293,	0.02110211373195766,	0.12236751974154214,	0.4522549779692353,	0.7800229045115046,	400
1451649600.0,	28.525736361138343,	7.233069876961293,	0.021316069156139376,	0.12327591781132916,	0.45576440427971704,	0.786699181976686,	400
1467428400.0,	28.525736361138343,	7.233069876961293,	0.021451357124770552,	0.12383752136701769,	0.45781809307032884,	0.79089390107462,	400
1483207200.0,	28.525736361138343,	7.233069876961293,	0.021568532863146972,	0.12431941970843718,	0.45957393632506893,	0.7945144925577524,	400
1498986000.0,	28.525736361138343,	7.233069876961293,	0.021679090536753765,	0.12477100094590013,	0.4612280891890223,	0.7979208068598227,	400
1514764800.0,	28.525736361138343,	7.233069876961293,	0.0217627255855343,	0.12510966260092915,	0.4624519579603932,	0.8004911203514347,	400
1530543600.0,	28.525736361138343,	7.233069876961293,	0.021771128869713562,	0.12514328648103382,	0.4625665183651761,	0.8007489786458468,	400
1546322400.0,	28.525736361138343,	7.233069876961293,	0.021948082302781738,	0.12586465262581847,	0.46542575951395493,	0.8061737981432582,	400
1562101200.0,	28.525736361138343,	7.233069876961293,	0.022160694841767352,	0.12672751281669883,	0.4690036030687991,	0.8126605371392415,	400
1577880000.0,	28.525736361138343,	7.233069876961293,	0.022271543525217583,	0.12716654478037157,	0.4706929891846086,	0.8160247276362025,	400
1593658800.0,	28.525736361138343,	7.233069876961293,	0.022421663561796343,	0.12776081491662852,	0.47308228068884833,	0.8205692628455568,	400
1609437600.0,	28.525736361138343,	7.233069876961293,	0.022490904457050088,	0.12803033094269128,	0.4741046102215115,	0.8226590569237218,	400
1625216400.0,	28.525736361138343,	7.233069876961293,	0.022849816581798032,	0.1294818915448331,	0.48121629094588125,	0.8334630829890236,	400
1640995200.0,	28.525736361138343,	7.233069876961293,	0.023174590823536404,	0.1307597875096668,	0.48734690725391216,	0.8431287165050196,	400
1656774000.0,	28.525736361138343,	7.233069876961293,	0.023389720172983786,	0.13157814216663136,	0.4909710032286452,	0.8494791128595839,	400
1672552800.0,	28.525736361138343,	7.233069876961293,	0.02346692496078906,	0.1318641508369163,	0.49211653655224813,	0.8517501192553314,	400
1688331600.0,	28.525736361138343,	7.233069876961293,	0.023569345120963214,	0.1322434786904387,	0.4936778651419302,	0.854759423774149,	400
1704110400.0,	28.525736361138343,	7.233069876961293,	0.023684274877011562,	0.13266800711687965,	0.49545768424327924,	0.8581311886314777,	400
1719889200.0,	28.525736361138343,	7.233069876961293,	0.023727363710631267,	0.13282518294441079,	0.4960846755330696,	0.8593936062592249,	400
