time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
915170400.0,	29.035864826002477,	0.48796952055135623,	0.015,	0.05,	0.2,	0.2,	400
930949200.0,	29.035864826002477,	0.48796952055135623,	0.015000344985842493,	0.050108619341070214,	0.20007439206632316,	0.20174842380682592,	400
946728000.0,	29.035864826002477,	0.48796952055135623,	0.015000509089474541,	0.05015970471605295,	0.2001088018932487,	0.20256851503072967,	400
962506800.0,	29.035864826002477,	0.48796952055135623,	0.015001277698667388,	0.05039935234097556,	0.20029235515793045,	0.20638425278086708,	400
978285600.0,	29.035864826002477,	0.48796952055135623,	0.015002245967438611,	0.05069560393900681,	0.20053771469015752,	0.21104544464085526,	400
994064400.0,	29.035864826002477,	0.48796952055135623,	0.015003192720574921,	0.05097775484912104,	0.20078183224107768,	0.2154339061650058,	400
1009843200.0,	29.035864826002477,	0.48796952055135623,	0.01500453141801451,	0.05136869960299754,	0.20116123280384549,	0.22142056579609712,	400
1025622000.0,	29.035864826002477,	0.48796952055135623,	0.015006693430325973,	0.051985351560466075,	0.20189000071477034,	0.2306240076789394,	400
1041400800.0,	29.035864826002477,	0.48796952055135623,	0.015009455548545603,	0.05273848536578325,	0.20294625242831038,	0.2415141359011367,	400
1057179600.0,	29.035864826002477,	0.48796952055135623,	0.015012693011376895,	0.05357130199007949,	0.2043007668368883,	0.2531516992964619,	400
1072958400.0,	29.035864826002477,	0.48796952055135623,	0.015017068778393714,	0.05463853815780161,	0.20647070986341187,	0.26736897645492913,	400
1088737200.0,	29.035864826002477,	0.48796952055135623,	0.01502327848720349,	0.05606842614086068,	0.21029706126678815,	0.28513815680334664,	400
1104516000.0,	29.035864826002477,	0.48796952055135623,	0.015023590279891901,	0.05625079369087587,	0.21243520909840957,	0.28589461617953765,	400
1120294800.0,	29.035864826002477,	0.48796952055135623,	0.015024024610858774,	0.056487944179705145,	0.2151027370952445,	0.2869412531172626,	400
1136073600.0,	29.035864826002477,	0.48796952055135623,	0.01502461978719443,	0.0567931337678839,	0.21838899442796278,	0.2883617757076521,	400
1151852400.0,	29.035864826002477,	0.48796952055135623,	0.015025374370659298,	0.05718204002254178,	0.22251956251694222,	0.290138842426726,	400
1167631200.0,	29.035864826002477,	0.48796952055135623,	0.015026380151903553,	0.05767996187238442,	0.22760203028381124,	0.29246723552776593,	400
1183410000.0,	29.035864826002477,	0.48796952055135623,	0.015027595118519615,	0.0583147500516401,	0.23410708440066413,	0.29521555613451084,	400
1199188800.0,	29.035864826002477,	0.48796952055135623,	0.015029340085073506,	0.05913825776524671,	0.2419033424851128,	0.299052603307795,	400
1214967600.0,	29.035864826002477,	0.48796952055135623,	0.015031952402514892,	0.060189555342005895,	0.25071342693597365,	0.3045661249853477,	400
1230746400.0,	29.035864826002477,	0.48796952055135623,	0.015035628620256168,	0.061488133008306786,	0.2604776308647471,	0.3118661163221918,	400
1246525200.0,	29.035864826002477,	0.48796952055135623,	0.015040729102228327,	0.06305042726130723,	0.27094741891016316,	0.32118011075842784,	400
1262304000.0,	29.035864826002477,	0.48796952055135623,	0.015046927753099806,	0.06468943698897638,	0.28082235836612224,	0.3313102129576983,	400
1278082800.0,	29.035864826002477,	0.48796952055135623,	0.015056030129430433,	0.06618358999816606,	0.28517166273804084,	0.3444355481305666,	400
1293861600.0,	29.035864826002477,	0.48796952055135623,	0.015067250142213636,	0.06783247263457941,	0.2903555507863238,	0.3582313087724519,	400
1309640400.0,	29.035864826002477,	0.48796952055135623,	0.015081755433220847,	0.06973202788695981,	0.2968644788906904,	0.3732342760330143,	400
1325419200.0,	29.035864826002477,	0.48796952055135623,	0.015092699882498183,	0.07149195953242769,	0.3075563135659345,	0.3825526369600364,	400
1341198000.0,	29.035864826002477,	0.48796952055135623,	0.015116194044910127,	0.07334182907945748,	0.3095575429185045,	0.40001403675521735,	400
1356976800.0,	29.035864826002477,	0.48796952055135623,	0.015150774332467868,	0.07560788223171412,	0.3125935985457519,	0.4205270742548348,	400
1372755600.0,	29.035864826002477,	0.48796952055135623,	0.015196310134760537,	0.0779820137223541,	0.3162603405643807,	0.44117227900210837,	400
1388534400.0,	29.035864826002477,	0.48796952055135623,	0.01525440180281614,	0.08037673955703238,	0.32039060103377837,	0.4612269436664132,	400
1404313200.0,	29.035864826002477,	0.48796952055135623,	0.015327209474316759,	0.0827635803065664,	0.32489981728246403,	0.4805266588284169,	400
1420092000.0,	29.035864826002477,	0.48796952055135623,	0.015437657479641024,	0.08574051346968523,	0.331781694627748,	0.503304187920859,	400
1435870800.0,	29.035864826002477,	0.48796952055135623,	0.015575498127912715,	0.08860894573475836,	0.33873038093919067,	0.5245371664863636,	400
1451649600.0,	29.035864826002477,	0.48796952055135623,	0.01575428363428626,	0.09158914302913386,	0.3465641854934906,	0.5458015827157549,	400
1467428400.0,	29.035864826002477,	0.48796952055135623,	0.01594757936620961,	0.09415135491451969,	0.353124475886847,	0.5638452857971308,	400
1483207200.0,	29.035864826002477,	0.48796952055135623,	0.016153933642905974,	0.09645404885550107,	0.3590454520994495,	0.5798572460581971,	400
1498986000.0,	29.035864826002477,	0.48796952055135623,	0.01636479496280381,	0.09850221798396488,	0.36432556550299117,	0.5939848336091649,	400
1514764800.0,	29.035864826002477,	0.48796952055135623,	0.01658669780999482,	0.10043948278283098,	0.369459583464485,	0.6072336823536462,	400
1530543600.0,	29.035864826002477,	0.48796952055135623,	0.016792493800879903,	0.10207025501298637,	0.3737200657770381,	0.6183913868404785,	400
1546322400.0,	29.035864826002477,	0.48796952055135623,	0.01707076782130215,	0.1041649975421324,	0.3799786693019579,	0.6324297831916934,	400
1562101200.0,	29.035864826002477,	0.48796952055135623,	0.017367240131189402,	0.106226036465938,	0.38636110077523966,	0.6461870189623473,	400
1577880000.0,	29.035864826002477,	0.48796952055135623,	0.01762794765699951,	0.10789703487298097,	0.3913535301642978,	0.6574553309586492,	400
1593658800.0,	29.035864826002477,	0.48796952055135623,	0.017922587726228425,	0.10970284446806997,	0.39711345054515307,	0.669577091432687,	400
