time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4039372800.0,	32.53086306561573,	8.20993077800324,	0.015,	0.05,	0.2,	0.2,	400
4055151600.0,	32.53086306561573,	8.20993077800324,	0.015001195730517626,	0.050379886060069747,	0.20030796998926853,	0.20606002333094459,	400
4070930400.0,	32.53086306561573,	8.20993077800324,	0.01500259254437835,	0.05081020145001876,	0.2006928757805382,	0.21280220843032585,	400
4086709200.0,	32.53086306561573,	8.20993077800324,	0.015003943347964704,	0.051210756908003696,	0.20107208462382412,	0.21897508326375312,	400
4102488000.0,	32.53086306561573,	8.20993077800324,	0.015006028044265407,	0.051813271334412526,	0.20175894747695805,	0.22803139893813032,	400
4118266800.0,	32.53086306561573,	8.20993077800324,	0.015008883167643493,	0.05260509539567047,	0.2028616684149481,	0.23953679295042118,	400
4134045600.0,	32.53086306561573,	8.20993077800324,	0.015012747997165217,	0.053622594489979324,	0.20464551352318475,	0.2536685315417498,	400
4149824400.0,	32.53086306561573,	8.20993077800324,	0.015017418227802224,	0.054764491512841136,	0.2070465850154853,	0.2687772331027543,	400
4165603200.0,	32.53086306561573,	8.20993077800324,	0.015025416824165387,	0.05667268453596546,	0.21328767352321049,	0.29137747292208976,	400
4181382000.0,	32.53086306561573,	8.20993077800324,	0.015036330704345917,	0.059021292426781106,	0.22290666249687188,	0.31631643025158135,	400
4197160800.0,	32.53086306561573,	8.20993077800324,	0.015050917748123786,	0.06169138769770908,	0.23486838454301562,	0.3422089148703522,	400
4212939600.0,	32.53086306561573,	8.20993077800324,	0.015070424524057357,	0.06455424279036973,	0.24759683552980377,	0.3682335498424945,	400
4228718400.0,	32.53086306561573,	8.20993077800324,	0.015097832582355713,	0.06770812093098194,	0.26160449201411135,	0.395047770207685,	400
4244497200.0,	32.53086306561573,	8.20993077800324,	0.01513957696126765,	0.07141353617876878,	0.27857733254830774,	0.42405801723145536,	400
4260276000.0,	32.53086306561573,	8.20993077800324,	0.015199964440470183,	0.07512319347190548,	0.29357238646116224,	0.45237411918830195,	400
4276054800.0,	32.53086306561573,	8.20993077800324,	0.015281196166045624,	0.07854169982105044,	0.3056737188016495,	0.47810982149714226,	400
4291833600.0,	32.53086306561573,	8.20993077800324,	0.015386857457760049,	0.08174091533530543,	0.316255032656032,	0.5016396764745406,	400
4307612400.0,	32.53086306561573,	8.20993077800324,	0.015536908313796009,	0.08523362021583059,	0.3284152018696969,	0.5260762108651963,	400
4323391200.0,	32.53086306561573,	8.20993077800324,	0.01572250965383055,	0.08843904113176003,	0.33886997290992166,	0.5481754632100122,	400
4339170000.0,	32.53086306561573,	8.20993077800324,	0.015927141061089,	0.09118079030576794,	0.347171477067485,	0.5669848123642804,	400
4354948800.0,	32.53086306561573,	8.20993077800324,	0.016176058175554245,	0.09398924521525141,	0.3560442064990854,	0.5857967252706432,	400
4370727600.0,	32.53086306561573,	8.20993077800324,	0.01647882013592249,	0.09691957115071892,	0.3657898650959926,	0.604995213783743,	400
4386506400.0,	32.53086306561573,	8.20993077800324,	0.016819678536470813,	0.09976498407558544,	0.37537116294997325,	0.6234737532337508,	400
4402285200.0,	32.53086306561573,	8.20993077800324,	0.017130138869264257,	0.1020142815461911,	0.38237202226358996,	0.6383022611974472,	400
4418064000.0,	32.53086306561573,	8.20993077800324,	0.017388077096376124,	0.10371160232802656,	0.3873177951841558,	0.6496590999302829,	400
4433842800.0,	32.53086306561573,	8.20993077800324,	0.017729141701346478,	0.10587675907226009,	0.39451250385343734,	0.6639147057940294,	400
4449621600.0,	32.53086306561573,	8.20993077800324,	0.018088282203961272,	0.1080196516748466,	0.401878384860057,	0.6780530012654666,	400
4465400400.0,	32.53086306561573,	8.20993077800324,	0.01836889319892169,	0.10957591076621195,	0.4068263638747762,	0.6885588213737028,	400
4481179200.0,	32.53086306561573,	8.20993077800324,	0.018593955429371273,	0.11077000661181145,	0.4104826318195204,	0.696738662516651,	400
4496958000.0,	32.53086306561573,	8.20993077800324,	0.018961224119535873,	0.1127181025153667,	0.4176358269781534,	0.7098155307013746,	400
4512736800.0,	32.53086306561573,	8.20993077800324,	0.01936131794327017,	0.1147654938403808,	0.42555253008444754,	0.7236001220539315,	400
4528515600.0,	32.53086306561573,	8.20993077800324,	0.01959243150471627,	0.1158692271540775,	0.4291965526018965,	0.7313299830987966,	400
4544294400.0,	32.53086306561573,	8.20993077800324,	0.01975967732846436,	0.11664735147580466,	0.4316636199156296,	0.7368583668615372,	400
4560073200.0,	32.53086306561573,	8.20993077800324,	0.019991330092880004,	0.11772113897501366,	0.43536437766060315,	0.7444564293729328,	400
4575852000.0,	32.53086306561573,	8.20993077800324,	0.02026433410726556,	0.11897295070164679,	0.4399560023872386,	0.753314716041601,	400
4591630800.0,	32.53086306561573,	8.20993077800324,	0.020527297978169212,	0.12015369394785604,	0.44433831822285647,	0.7617443617145656,	400
