time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	36.52772439159192,	8.698048006245074,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	36.52772439159192,	8.698048006245074,	0.01500900319083753,	0.05355495408173136,	0.2124599749127085,	0.24562433398687014,	400
31557600.0,	36.52772439159192,	8.698048006245074,	0.015022581811765056,	0.05883592256762915,	0.24445774663349312,	0.293163087909785,	400
47336400.0,	36.52772439159192,	8.698048006245074,	0.015046741257647954,	0.06613379841640071,	0.2877942796560372,	0.3472895736667248,	400
63115200.0,	36.52772439159192,	8.698048006245074,	0.015100541441078672,	0.07536101307926829,	0.3309908840442371,	0.41081954170361545,	400
78894000.0,	36.52772439159192,	8.698048006245074,	0.015243155026414946,	0.08653997401082386,	0.3763970849509599,	0.48023908296887824,	400
94672800.0,	36.52772439159192,	8.698048006245074,	0.015648179615514502,	0.09811388747413974,	0.4145483204102088,	0.5496664099867179,	400
110451600.0,	36.52772439159192,	8.698048006245074,	0.01658098169908705,	0.10893215407479151,	0.4484757954010084,	0.6124198465156864,	400
126230400.0,	36.52772439159192,	8.698048006245074,	0.018010293631158296,	0.11845533809124423,	0.47953411318472083,	0.6677123915423593,	400
142009200.0,	36.52772439159192,	8.698048006245074,	0.019597900056736093,	0.126780103348324,	0.5085660789433311,	0.7182321671030977,	400
157788000.0,	36.52772439159192,	8.698048006245074,	0.02111095689638987,	0.13373715513426795,	0.5331420853804993,	0.7635523701235634,	400
173566800.0,	36.52772439159192,	8.698048006245074,	0.02258971598770723,	0.14006481629841855,	0.5577981828576805,	0.8068649290047131,	400
189345600.0,	36.52772439159192,	8.698048006245074,	0.023949486265586656,	0.1454544502200696,	0.5791173476362019,	0.8459443140094359,	400
205124400.0,	36.52772439159192,	8.698048006245074,	0.025286429221951717,	0.15050752237613718,	0.6010239136961252,	0.8839106538060643,	400
220903200.0,	36.52772439159192,	8.698048006245074,	0.02646555715426343,	0.1546889691642046,	0.618773886470401,	0.916949538754012,	400
236682000.0,	36.52772439159192,	8.698048006245074,	0.027415207369601,	0.157875395221477,	0.6315121068518532,	0.9433768571181345,	400
252460800.0,	36.52772439159192,	8.698048006245074,	0.02824996839286929,	0.16058712801302993,	0.6424998934605901,	0.9665393952649789,	400
268239600.0,	36.52772439159192,	8.698048006245074,	0.02913780270093771,	0.16343031968447896,	0.655364660630357,	0.9910798327094347,	400
284018400.0,	36.52772439159192,	8.698048006245074,	0.02991021092910797,	0.16582396953826653,	0.6661381753724859,	1.0122917870527441,	400
299797200.0,	36.52772439159192,	8.698048006245074,	0.03044409210115627,	0.16741831170655586,	0.6727251119377842,	1.026894476226284,	400
315576000.0,	36.52772439159192,	8.698048006245074,	0.03097639642081444,	0.1689900393464939,	0.6795392026387972,	1.0414266044540186,	400
331354800.0,	36.52772439159192,	8.698048006245074,	0.0314266714165674,	0.17029670275203415,	0.6851842843044654,	1.0536914828920614,	400
347133600.0,	36.52772439159192,	8.698048006245074,	0.03179422485891068,	0.17134726802850525,	0.6896770993426337,	1.0636856992962442,	400
362912400.0,	36.52772439159192,	8.698048006245074,	0.03187071470281874,	0.17156066744328421,	0.6904697764008711,	1.0657651459021804,	400
378691200.0,	36.52772439159192,	8.698048006245074,	0.03200993074201739,	0.1719496606546359,	0.6919820270956568,	1.0695484309272878,	400
394470000.0,	36.52772439159192,	8.698048006245074,	0.03220753352212909,	0.17250200584969042,	0.6942365151340302,	1.0749153473750848,	400
