time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	22.721841447792855,	5.869718336835542,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	22.721841447792855,	5.869718336835542,	0.015006241122297296,	0.052181629670178385,	0.2045160902661326,	0.23162840172822552,	400
31557600.0,	22.721841447792855,	5.869718336835542,	0.015015765023293392,	0.055315219999291954,	0.21619808053484796,	0.2689830632237625,	400
47336400.0,	22.721841447792855,	5.869718336835542,	0.015030149550883968,	0.059708802976527746,	0.2404606004459677,	0.3097384960463198,	400
63115200.0,	22.721841447792855,	5.869718336835542,	0.015053868073145975,	0.06529738718033491,	0.2712769918456875,	0.3544617843093768,	400
78894000.0,	22.721841447792855,	5.869718336835542,	0.015098477975644833,	0.07204266309688677,	0.3037491461597716,	0.40393953256887016,	400
94672800.0,	22.721841447792855,	5.869718336835542,	0.015190886440239706,	0.07967791919564601,	0.335172494682034,	0.4563902273161292,	400
110451600.0,	22.721841447792855,	5.869718336835542,	0.015390572378124499,	0.08788474418205006,	0.3651667194721108,	0.5094323199733636,	400
126230400.0,	22.721841447792855,	5.869718336835542,	0.01578999511805683,	0.09584974592173019,	0.39092591723733594,	0.5592832710430992,	400
142009200.0,	22.721841447792855,	5.869718336835542,	0.016463677050298872,	0.10339221704331591,	0.4148951478381561,	0.6050324171187003,	400
157788000.0,	22.721841447792855,	5.869718336835542,	0.017348174648638633,	0.10999019234889776,	0.4353280486884785,	0.6451738853559928,	400
173566800.0,	22.721841447792855,	5.869718336835542,	0.01832619099774533,	0.11581522238575184,	0.45388606459944364,	0.6812813621182122,	400
189345600.0,	22.721841447792855,	5.869718336835542,	0.019285164602567375,	0.12078825342569267,	0.4698693029301457,	0.7132568726895023,	400
205124400.0,	22.721841447792855,	5.869718336835542,	0.02024196716260153,	0.1253673922860328,	0.48566879400649027,	0.7435892704741227,	400
220903200.0,	22.721841447792855,	5.869718336835542,	0.02115099906742134,	0.1294293009990239,	0.5001404615132868,	0.771482055459292,	400
236682000.0,	22.721841447792855,	5.869718336835542,	0.02190916411770226,	0.13260094192903504,	0.510894277250547,	0.794275326188124,	400
252460800.0,	22.721841447792855,	5.869718336835542,	0.02258168681028542,	0.13530226423265926,	0.5201490012065475,	0.8142898441564264,	400
268239600.0,	22.721841447792855,	5.869718336835542,	0.02323271531542424,	0.13784488261734243,	0.5293499580498883,	0.8335167777726473,	400
284018400.0,	22.721841447792855,	5.869718336835542,	0.023866274176154716,	0.14025504759827612,	0.5385232629878195,	0.8520844541943239,	400
299797200.0,	22.721841447792855,	5.869718336835542,	0.0243682229816059,	0.14209639854942036,	0.5452424528471922,	0.866691352125919,	400
315576000.0,	22.721841447792855,	5.869718336835542,	0.024849084225856796,	0.14382777869123564,	0.5517885743700321,	0.8806248635903932,	400
331354800.0,	22.721841447792855,	5.869718336835542,	0.02526534035984479,	0.14529437649398794,	0.5573282783895772,	0.892636400123391,	400
347133600.0,	22.721841447792855,	5.869718336835542,	0.025676448238173936,	0.14672319104981923,	0.5629310450319093,	0.9044581829365248,	400
362912400.0,	22.721841447792855,	5.869718336835542,	0.02588248065153541,	0.14741853475267513,	0.5653736395244012,	0.9103662624670881,	400
378691200.0,	22.721841447792855,	5.869718336835542,	0.026050570075579132,	0.14798097078949332,	0.5673409849880627,	0.9151823874597169,	400
394470000.0,	22.721841447792855,	5.869718336835542,	0.0262442656925456,	0.1486270576908049,	0.5696873343312595,	0.9207271483946954,	400
410248800.0,	22.721841447792855,	5.869718336835542,	0.026284494019106864,	0.14875918678333244,	0.5701261211620249,	0.9218782678998506,	400
