time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4102488000.0,	0.3947315617210734,	9.477172674983873,	0.015,	0.05,	0.2,	0.2,	400
4118266800.0,	0.3947315617210734,	9.477172674983873,	0.015004348685983918,	0.0514504014294722,	0.20212831869094547,	0.22203852457056417,	400
4134045600.0,	0.3947315617210734,	9.477172674983873,	0.015011104821186885,	0.05356835286577914,	0.20730503693113236,	0.2506899398806938,	400
4149824400.0,	0.3947315617210734,	9.477172674983873,	0.015021171687696065,	0.05651473158147184,	0.21889441611112911,	0.2842112083730244,	400
4165603200.0,	0.3947315617210734,	9.477172674983873,	0.015036347297701463,	0.06055214562401533,	0.2406749803661305,	0.32141298719727057,	400
4181382000.0,	0.3947315617210734,	9.477172674983873,	0.015060573591740217,	0.06547726373071881,	0.26669641784769405,	0.36173620499470693,	400
4197160800.0,	0.3947315617210734,	9.477172674983873,	0.015103307635233274,	0.07131079283314018,	0.29470679741225164,	0.4055257974193176,	400
4212939600.0,	0.3947315617210734,	9.477172674983873,	0.015183245536785347,	0.07767349270172111,	0.3207843553448541,	0.45093637732313613,	400
4228718400.0,	0.3947315617210734,	9.477172674983873,	0.015299016298084507,	0.0845716333366018,	0.3613969216390974,	0.4853809292734071,	400
4244497200.0,	0.3947315617210734,	9.477172674983873,	0.015455961251777471,	0.09107306992099219,	0.3989328429270167,	0.5122254049393608,	400
4260276000.0,	0.3947315617210734,	9.477172674983873,	0.015753384389014136,	0.0973438557235274,	0.4213420041679371,	0.5452414067018557,	400
4276054800.0,	0.3947315617210734,	9.477172674983873,	0.01616855871592152,	0.10320430731398156,	0.44090221718271005,	0.5758322079430724,	400
4291833600.0,	0.3947315617210734,	9.477172674983873,	0.016680653750432022,	0.10856063314345803,	0.4582118294813584,	0.6036637346066612,	400
4307612400.0,	0.3947315617210734,	9.477172674983873,	0.01718337075256527,	0.11363283928939927,	0.4801347870915261,	0.6258940094840052,	400
4323391200.0,	0.3947315617210734,	9.477172674983873,	0.017756369233682255,	0.11806465017202565,	0.4954222247040143,	0.6478398714790171,	400
4339170000.0,	0.3947315617210734,	9.477172674983873,	0.018275070310887605,	0.1221961037412054,	0.5133496154893185,	0.6660744935538464,	400
4354948800.0,	0.3947315617210734,	9.477172674983873,	0.018786247690235274,	0.12585821848686826,	0.528421985283931,	0.6828723706553207,	400
4370727600.0,	0.3947315617210734,	9.477172674983873,	0.019233449909880348,	0.12926878873089973,	0.5451008891021241,	0.6969448074429131,	400
4386506400.0,	0.3947315617210734,	9.477172674983873,	0.019604679120023956,	0.13223337410499483,	0.5610332043364001,	0.7081717175050547,	400
4402285200.0,	0.3947315617210734,	9.477172674983873,	0.01995447544363055,	0.13480910338060476,	0.5740205641457266,	0.7184054254425701,	400
4418064000.0,	0.3947315617210734,	9.477172674983873,	0.02027679637546618,	0.13704782269081675,	0.5848078399201724,	0.72763450071203,	400
4433842800.0,	0.3947315617210734,	9.477172674983873,	0.020585364821601095,	0.1391135548259591,	0.5945690145556732,	0.7363427752927594,	400
4449621600.0,	0.3947315617210734,	9.477172674983873,	0.020841793002122147,	0.14098444534172042,	0.6046166891914542,	0.7435012871567893,	400
4465400400.0,	0.3947315617210734,	9.477172674983873,	0.021005799643055947,	0.1422839730787258,	0.6122243244455512,	0.7480207024560965,	400
4481179200.0,	0.3947315617210734,	9.477172674983873,	0.021172486094323345,	0.1435362602634833,	0.6192406825556349,	0.7525640360364425,	400
4496958000.0,	0.3947315617210734,	9.477172674983873,	0.02156393637930753,	0.14519496592014391,	0.6216688623560384,	0.7631297835623201,	400
4512736800.0,	0.3947315617210734,	9.477172674983873,	0.021953558711583943,	0.14683660907642307,	0.624266406679151,	0.7738090678049577,	400
4528515600.0,	0.3947315617210734,	9.477172674983873,	0.02234464145325881,	0.1484732076085269,	0.6270641835890718,	0.7846602461657766,	400
4544294400.0,	0.3947315617210734,	9.477172674983873,	0.022737660918267916,	0.15010517741600315,	0.6300726933841834,	0.7956707945187542,	400
4560073200.0,	0.3947315617210734,	9.477172674983873,	0.023162068399392003,	0.15185390036609928,	0.6336137765265121,	0.8076474555156249,	400
4575852000.0,	0.3947315617210734,	9.477172674983873,	0.023542328253391368,	0.15349359173966107,	0.638110396816467,	0.8184421998326755,	400
4591630800.0,	0.3947315617210734,	9.477172674983873,	0.02391927637353138,	0.15510350969146386,	0.6427581676223563,	0.8291514653265749,	400
