time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
426027600.0,	19.365140185460994,	10.801394778268167,	0.015,	0.05,	0.2,	0.2,	400
441806400.0,	19.365140185460994,	10.801394778268167,	0.015001707099493113,	0.050545677182133084,	0.2004885555050733,	0.20865161405903698,	400
457585200.0,	19.365140185460994,	10.801394778268167,	0.015003846514639749,	0.051201689478146226,	0.20117734313295085,	0.2187644633386722,	400
473364000.0,	19.365140185460994,	10.801394778268167,	0.015006818754573424,	0.0520734229076001,	0.20232693528718057,	0.23170111287891168,	400
489142800.0,	19.365140185460994,	10.801394778268167,	0.015010721001532418,	0.05315185700561138,	0.2041285643062302,	0.2469542712307127,	400
504921600.0,	19.365140185460994,	10.801394778268167,	0.015016237160160328,	0.05458583747303546,	0.2073791918893414,	0.2658843145043315,	400
520700400.0,	19.365140185460994,	10.801394778268167,	0.015023397263570616,	0.05628860653097932,	0.21229988296931568,	0.28666497889204273,	400
536479200.0,	19.365140185460994,	10.801394778268167,	0.015033278725863136,	0.05843558889383982,	0.22033112263963806,	0.3102961930558065,	400
552258000.0,	19.365140185460994,	10.801394778268167,	0.015045743950104343,	0.06074352584109037,	0.22965924792537656,	0.3338591824885712,	400
568036800.0,	19.365140185460994,	10.801394778268167,	0.015063560014112725,	0.06359673005899505,	0.24298391901244226,	0.36001506795397176,	400
583815600.0,	19.365140185460994,	10.801394778268167,	0.015089309057775984,	0.06689449766293681,	0.2587082545505974,	0.387884454360338,	400
599594400.0,	19.365140185460994,	10.801394778268167,	0.01512683060654267,	0.07045503691328553,	0.27462249533195554,	0.4164615995469147,	400
615373200.0,	19.365140185460994,	10.801394778268167,	0.015178890598600331,	0.07389849463080879,	0.2880868998084529,	0.4435343076261106,	400
631152000.0,	19.365140185460994,	10.801394778268167,	0.01525075034234911,	0.0772900779059716,	0.3004782680735241,	0.46934001585344326,	400
646930800.0,	19.365140185460994,	10.801394778268167,	0.015357306309821787,	0.08102592722322906,	0.3145412480179156,	0.49617257047535585,	400
662709600.0,	19.365140185460994,	10.801394778268167,	0.015500239690033998,	0.08456613341979549,	0.3268099747957783,	0.5211014068968715,	400
678488400.0,	19.365140185460994,	10.801394778268167,	0.015671020423653252,	0.0876504721228602,	0.3365106566791597,	0.5426576917436782,	400
694267200.0,	19.365140185460994,	10.801394778268167,	0.01587988980761279,	0.09063868356083259,	0.3459057151902032,	0.5630697760739164,	400
710046000.0,	19.365140185460994,	10.801394778268167,	0.016137784103598087,	0.09367376622314585,	0.3557576465061784,	0.5832914440727529,	400
725824800.0,	19.365140185460994,	10.801394778268167,	0.016435228074378107,	0.09659428736452623,	0.36527501863574147,	0.602493357113975,	400
741603600.0,	19.365140185460994,	10.801394778268167,	0.016750761547936966,	0.09924375052385347,	0.3737479480373205,	0.6198741220465995,	400
757382400.0,	19.365140185460994,	10.801394778268167,	0.017097181323818187,	0.101839011879783,	0.382280758142573,	0.6367942941426754,	400
773161200.0,	19.365140185460994,	10.801394778268167,	0.01746137817814251,	0.10430975365621901,	0.3905285586714104,	0.652910909745833,	400
788940000.0,	19.365140185460994,	10.801394778268167,	0.017805108177005962,	0.10644246117073854,	0.39747531619494675,	0.6669821901073051,	400
804718800.0,	19.365140185460994,	10.801394778268167,	0.01811824904569003,	0.10825839553094943,	0.4032706591857696,	0.6791127662028743,	400
820497600.0,	19.365140185460994,	10.801394778268167,	0.018395504141551212,	0.10978515510622101,	0.40805745713428454,	0.6894383986823578,	400
836276400.0,	19.365140185460994,	10.801394778268167,	0.01871621169978632,	0.11150447095339291,	0.41386733231616324,	0.701043877599542,	400
852055200.0,	19.365140185460994,	10.801394778268167,	0.018986307430030085,	0.11288842683756646,	0.4183997974924957,	0.7105353087099094,	400
867834000.0,	19.365140185460994,	10.801394778268167,	0.019240880653227377,	0.11415556385457552,	0.42258659247533625,	0.7193021040913595,	400
883612800.0,	19.365140185460994,	10.801394778268167,	0.019460969434858783,	0.11522099257615558,	0.4260675019279284,	0.7267567555197704,	400
899391600.0,	19.365140185460994,	10.801394778268167,	0.019783893116921452,	0.11678030850722664,	0.4318548891625094,	0.7375525155113059,	400
915170400.0,	19.365140185460994,	10.801394778268167,	0.020112195145386418,	0.11832389041655102,	0.43773666962589813,	0.7483217726922236,	400
930949200.0,	19.365140185460994,	10.801394778268167,	0.020380361230396663,	0.11954113334156714,	0.4422025506339281,	0.7569727304609609,	400
946728000.0,	19.365140185460994,	10.801394778268167,	0.020564450903774095,	0.12035224386811078,	0.44500898917720244,	0.7628469202292273,	400
962506800.0,	19.365140185460994,	10.801394778268167,	0.020814152860220397,	0.12144948821431494,	0.4491229611942227,	0.7707620112734743,	400
978285600.0,	19.365140185460994,	10.801394778268167,	0.021021177561079876,	0.12233982237632951,	0.4523956617623333,	0.7772667083245257,	400
994064400.0,	19.365140185460994,	10.801394778268167,	0.021170464943017834,	0.12296960256864124,	0.45463123156153157,	0.781928038776485,	400
1009843200.0,	19.365140185460994,	10.801394778268167,	0.021308654976223675,	0.12354707796781353,	0.45669069104115734,	0.7862255194704002,	400
1025622000.0,	19.365140185460994,	10.801394778268167,	0.02154836700745611,	0.12455442087420067,	0.460684007890163,	0.793649895254345,	400
1041400800.0,	19.365140185460994,	10.801394778268167,	0.02173831777393078,	0.1253365892422134,	0.46370121912352563,	0.7994920788395776,	400
1057179600.0,	19.365140185460994,	10.801394778268167,	0.021884879993631964,	0.12593086575025222,	0.4659416396694626,	0.8039784438692996,	400
1072958400.0,	19.365140185460994,	10.801394778268167,	0.02194981305064156,	0.1261898638165229,	0.46686213365270096,	0.8059600912634245,	400
1088737200.0,	19.365140185460994,	10.801394778268167,	0.022027475045307582,	0.12649910408215675,	0.4679811615520549,	0.8083270958398718,	400
1104516000.0,	19.365140185460994,	10.801394778268167,	0.02208615932589445,	0.1267314612286328,	0.46881455825833873,	0.8101131110963488,	400
1120294800.0,	19.365140185460994,	10.801394778268167,	0.02215038094630878,	0.12698519980689574,	0.4697346301382594,	0.8120654425899652,	400
