time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2114359200.0,	66.75696999056272,	5.612484222622322,	0.015,	0.05,	0.2,	0.2,	400
2130138000.0,	66.75696999056272,	5.612484222622322,	0.015009384396927956,	0.05380797433818487,	0.21448032870704392,	0.24755590525697574,	400
2145916800.0,	66.75696999056272,	5.612484222622322,	0.01502363795120613,	0.059664841258548526,	0.2528081818547453,	0.2966931798312883,	400
2161695600.0,	66.75696999056272,	5.612484222622322,	0.015029906960324703,	0.06380391772088907,	0.2932857488585307,	0.3102054915733206,	400
2177474400.0,	66.75696999056272,	5.612484222622322,	0.015048655690871243,	0.0707287099750914,	0.33720811209125034,	0.3443177995308397,	400
2193253200.0,	66.75696999056272,	5.612484222622322,	0.015051705198157836,	0.07279973083334713,	0.35385947182975747,	0.34781539829744135,	400
2209032000.0,	66.75696999056272,	5.612484222622322,	0.015057470721538692,	0.07556985244902138,	0.3733639994798795,	0.35398663426947785,	400
2224810800.0,	66.75696999056272,	5.612484222622322,	0.01505909264691573,	0.07668186490566099,	0.3814444545438765,	0.3555394219637583,	400
2240589600.0,	66.75696999056272,	5.612484222622322,	0.015075505773096033,	0.08179381877026816,	0.4106258083192205,	0.3707255665141567,	400
2256368400.0,	66.75696999056272,	5.612484222622322,	0.015107342004510482,	0.08829797652005628,	0.441277091806511,	0.39344096429162984,	400
2272147200.0,	66.75696999056272,	5.612484222622322,	0.0151375811253116,	0.09329922646510849,	0.4647301113781573,	0.40815560973190634,	400
2287926000.0,	66.75696999056272,	5.612484222622322,	0.015186639903559196,	0.09916964691529434,	0.48944682994306,	0.42651830925239503,	400
2303704800.0,	66.75696999056272,	5.612484222622322,	0.015303718804838305,	0.10745519478310142,	0.5171652808038155,	0.4583153591386246,	400
