time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2713953600.0,	80.99726960838764,	7.764294885564416,	0.015,	0.05,	0.2,	0.2,	400
2729732400.0,	80.99726960838764,	7.764294885564416,	0.015010918621900743,	0.0555220126879938,	0.2327312484545858,	0.2553296435169195,	400
2745511200.0,	80.99726960838764,	7.764294885564416,	0.015028321985288506,	0.06389507901933689,	0.2921227683415675,	0.3119562753715071,	400
2761290000.0,	80.99726960838764,	7.764294885564416,	0.015073642937808463,	0.07619151288619615,	0.35177749633548033,	0.39277023051974236,	400
2777068800.0,	80.99726960838764,	7.764294885564416,	0.01523024278648812,	0.09249089443071049,	0.41876260733142595,	0.48504844936325925,	400
2792847600.0,	80.99726960838764,	7.764294885564416,	0.015944961606432086,	0.11225593437077398,	0.4925727978815529,	0.5848959100327339,	400
2808626400.0,	80.99726960838764,	7.764294885564416,	0.01837649031573483,	0.12865358872264884,	0.5465487301169036,	0.6734441978757584,	400
2824405200.0,	80.99726960838764,	7.764294885564416,	0.02105271740952298,	0.14352199417828482,	0.6185222621729916,	0.7485465286108524,	400
2840184000.0,	80.99726960838764,	7.764294885564416,	0.023916856844178137,	0.15611647033743828,	0.6733652774458257,	0.82512471857128,	400
2855962800.0,	80.99726960838764,	7.764294885564416,	0.02631093478145416,	0.1682318185621638,	0.7521554642229793,	0.8904205168238403,	400
2871741600.0,	80.99726960838764,	7.764294885564416,	0.028792586027537235,	0.1785690464267745,	0.8121490319572052,	0.9523829765642229,	400
2887520400.0,	80.99726960838764,	7.764294885564416,	0.031234111389206204,	0.18775139113039166,	0.8636059292631195,	1.0132148237604994,	400
2903299200.0,	80.99726960838764,	7.764294885564416,	0.033172343485701215,	0.1965507064037755,	0.9343134294977847,	1.0616401869508938,	400
2919078000.0,	80.99726960838764,	7.764294885564416,	0.034957142659459525,	0.20437994340229032,	0.9974566283125226,	1.1036564391721473,	400
2934856800.0,	80.99726960838764,	7.764294885564416,	0.03678585793215119,	0.2111854661977615,	1.0438447241170525,	1.1452794462450662,	400
2950635600.0,	80.99726960838764,	7.764294885564416,	0.03846195679491813,	0.2170618852449218,	1.082105875646509,	1.1835431874790658,	400
2966414400.0,	80.99726960838764,	7.764294885564416,	0.03994204014670556,	0.22237866747572962,	1.1200389324149558,	1.2174825349119773,	400
2982193200.0,	80.99726960838764,	7.764294885564416,	0.04118819358073761,	0.22697370358106908,	1.1552664947206293,	1.2458899049167924,	400
2997972000.0,	80.99726960838764,	7.764294885564416,	0.042436654449232086,	0.23114446605246733,	1.1837091248789955,	1.2740320586615599,	400
3013750800.0,	80.99726960838764,	7.764294885564416,	0.04346913116516934,	0.2346153323691448,	1.2083339402182531,	1.297308671686735,	400
3029529600.0,	80.99726960838764,	7.764294885564416,	0.044536638409382774,	0.23814353560970453,	1.2337694042082263,	1.3212849943661054,	400
3045308400.0,	80.99726960838764,	7.764294885564416,	0.04549392929461777,	0.24118167711560393,	1.2547284870762894,	1.3427109978566067,	400
3061087200.0,	80.99726960838764,	7.764294885564416,	0.04652003098237069,	0.24449252390740414,	1.2794345072398638,	1.3656314206312345,	400
3076866000.0,	80.99726960838764,	7.764294885564416,	0.047297951656184,	0.24700896072190334,	1.2985349195461946,	1.38294135555035,	400
3092644800.0,	80.99726960838764,	7.764294885564416,	0.047935885870600346,	0.24910947688483487,	1.3151902144397034,	1.3970830855681797,	400
3108423600.0,	80.99726960838764,	7.764294885564416,	0.048467300337914895,	0.2508263448882985,	1.328517276853477,	1.4088123743831011,	400
3124202400.0,	80.99726960838764,	7.764294885564416,	0.049152610936805036,	0.25306312807944786,	1.3467607403492239,	1.4238759403089494,	400
3139981200.0,	80.99726960838764,	7.764294885564416,	0.04967336459520772,	0.25471391935201165,	1.3596520402577592,	1.4352703160452815,	400
3155760000.0,	80.99726960838764,	7.764294885564416,	0.05018431963409271,	0.25632697076637934,	1.3723641905560673,	1.4464189859381698,	400
3171538800.0,	80.99726960838764,	7.764294885564416,	0.05057723724449782,	0.2575881720430527,	1.3826406204201054,	1.4549730546654898,	400
3187317600.0,	80.99726960838764,	7.764294885564416,	0.05097629109164903,	0.2588301264079792,	1.3923605097912515,	1.4636362169468466,	400
3203096400.0,	80.99726960838764,	7.764294885564416,	0.051345358836225576,	0.2599582348522447,	1.4009944854918879,	1.4716341061138256,	400
3218875200.0,	80.99726960838764,	7.764294885564416,	0.051564307910154504,	0.26061274258042083,	1.405784478086246,	1.4763760382242381,	400
3234654000.0,	80.99726960838764,	7.764294885564416,	0.051923806564867094,	0.2616802485513376,	1.4136712065535508,	1.4841524440707239,	400
3250432800.0,	80.99726960838764,	7.764294885564416,	0.052279533885542843,	0.2627352268828447,	1.421547072926105,	1.4918411768603381,	400
3266211600.0,	80.99726960838764,	7.764294885564416,	0.05265721231360291,	0.26384633431214033,	1.429836376243392,	1.499995762370545,	400
3281990400.0,	80.99726960838764,	7.764294885564416,	0.05291638515553258,	0.26459988964453673,	1.4353368107681475,	1.5055898707818574,	400
3297769200.0,	80.99726960838764,	7.764294885564416,	0.05308663068971437,	0.2650957749860346,	1.4389725661480144,	1.5092644949100797,	400
3313548000.0,	80.99726960838764,	7.764294885564416,	0.05322190105603101,	0.2654879529246008,	1.4418287710239068,	1.5121836762749008,	400
3329326800.0,	80.99726960838764,	7.764294885564416,	0.053344357815915795,	0.2658423401856989,	1.4444101205938753,	1.5148258125117768,	400
3345105600.0,	80.99726960838764,	7.764294885564416,	0.05334632695709886,	0.265847844287861,	1.4444469586013375,	1.5148683158516905,	400
