time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	59.1770777757969,	3.092463619921038,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	59.1770777757969,	3.092463619921038,	0.015010246422473951,	0.056637808732822995,	0.25187653597548953,	0.2519237231819618,	400
31557600.0,	59.1770777757969,	3.092463619921038,	0.015032209826119424,	0.06717004792021024,	0.31349586754859254,	0.32661976924068625,	400
47336400.0,	59.1770777757969,	3.092463619921038,	0.015094159989667885,	0.08348696551067766,	0.3972374767363079,	0.41761490620324254,	400
63115200.0,	59.1770777757969,	3.092463619921038,	0.01539819078994271,	0.10470022676815255,	0.47133245573199584,	0.5320288964457744,	400
78894000.0,	59.1770777757969,	3.092463619921038,	0.01707109659422617,	0.1256557302276056,	0.5421971770688483,	0.6392955504186062,	400
94672800.0,	59.1770777757969,	3.092463619921038,	0.02056717102196505,	0.14167002656611422,	0.6011085783631702,	0.726736861723932,	400
110451600.0,	59.1770777757969,	3.092463619921038,	0.02362816476765754,	0.1565582944648504,	0.6710218381917372,	0.8180928389424633,	400
126230400.0,	59.1770777757969,	3.092463619921038,	0.02686637052628448,	0.16932913719994763,	0.7335359693550602,	0.9046083346028427,	400
142009200.0,	59.1770777757969,	3.092463619921038,	0.0300154329270458,	0.1806611588226399,	0.7943806098120314,	0.9880877472819802,	400
157788000.0,	59.1770777757969,	3.092463619921038,	0.032953461186865055,	0.19011502167305844,	0.8447854878306351,	1.0641461135613204,	400
173566800.0,	59.1770777757969,	3.092463619921038,	0.035466815724185335,	0.19871943472995163,	0.9069496023606637,	1.1286192230885193,	400
189345600.0,	59.1770777757969,	3.092463619921038,	0.03795162705180075,	0.20543817551652285,	0.9396748064968322,	1.1893798999294916,	400
205124400.0,	59.1770777757969,	3.092463619921038,	0.0400480512092114,	0.21187721633919865,	0.988847792506387,	1.2415618027651996,	400
220903200.0,	59.1770777757969,	3.092463619921038,	0.042179252114144056,	0.2171826605262702,	1.0160229473512468,	1.2928397195818724,	400
236682000.0,	59.1770777757969,	3.092463619921038,	0.043560078763071344,	0.22091557082266758,	1.041490841702313,	1.3264867265080869,	400
252460800.0,	59.1770777757969,	3.092463619921038,	0.044866703251037976,	0.22421663426984376,	1.0618769025372674,	1.3579750077979893,	400
268239600.0,	59.1770777757969,	3.092463619921038,	0.0460648653047981,	0.2273253118294905,	1.0841411523120466,	1.3867328117526476,	400
284018400.0,	59.1770777757969,	3.092463619921038,	0.047165352225711374,	0.22997622410320093,	1.1005797820884722,	1.4129020215434087,	400
299797200.0,	59.1770777757969,	3.092463619921038,	0.04782482083253591,	0.23158193214358497,	1.110982507665783,	1.428576036564811,	400
315576000.0,	59.1770777757969,	3.092463619921038,	0.048296493430910484,	0.23270724752211974,	1.1179538406059897,	1.4397655168267767,	400
331354800.0,	59.1770777757969,	3.092463619921038,	0.04863824275706084,	0.23351204563888606,	1.122802945585963,	1.4478663524488162,	400
347133600.0,	59.1770777757969,	3.092463619921038,	0.0490465407397478,	0.23449493277481728,	1.129379064279592,	1.4575329710731209,	400
