time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4433842800.0,	35.84158691392359,	1.6005801197539948,	0.015,	0.05,	0.2,	0.2,	400
4449621600.0,	35.84158691392359,	1.6005801197539948,	0.015001332933196165,	0.050424148111631734,	0.20035318745395095,	0.20675536233507957,	400
4465400400.0,	35.84158691392359,	1.6005801197539948,	0.015002809935464568,	0.050877874241281415,	0.2007678796758697,	0.21384473893542236,	400
4481179200.0,	35.84158691392359,	1.6005801197539948,	0.01500482805849135,	0.05147792545020051,	0.20141385167244152,	0.22298906178503689,	400
4496958000.0,	35.84158691392359,	1.6005801197539948,	0.015008292245725786,	0.05247748304616637,	0.20289134052785518,	0.23754823943052408,	400
4512736800.0,	35.84158691392359,	1.6005801197539948,	0.015013297259896209,	0.05384216869544571,	0.20566690678449423,	0.2561669411865281,	400
4528515600.0,	35.84158691392359,	1.6005801197539948,	0.015019604813255438,	0.05541405947771375,	0.20970644445570077,	0.2761379258962288,	400
4544294400.0,	35.84158691392359,	1.6005801197539948,	0.015027670768826018,	0.057231696128633595,	0.21547905118629898,	0.29744531578209604,	400
4560073200.0,	35.84158691392359,	1.6005801197539948,	0.015039145478830741,	0.059596211291545916,	0.22523033336721482,	0.3221495419939111,	400
4575852000.0,	35.84158691392359,	1.6005801197539948,	0.015055184989027474,	0.062444451903636976,	0.23858633627855524,	0.3489056009892681,	400
4591630800.0,	35.84158691392359,	1.6005801197539948,	0.015077980844826299,	0.06568822076478376,	0.2540060397178065,	0.377027811833623,	400
