time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
3913142400.0,	27.52664278374173,	0.04056555694601893,	0.015,	0.05,	0.2,	0.2,	400
3928921200.0,	27.52664278374173,	0.04056555694601893,	0.015000619082353686,	0.050195456763842856,	0.20014141036618638,	0.2031375628051043,	400
3944700000.0,	27.52664278374173,	0.04056555694601893,	0.015001162450993723,	0.05036395252937685,	0.20026563957384577,	0.2058228061601085,	400
3960478800.0,	27.52664278374173,	0.04056555694601893,	0.015001669864767994,	0.0505189187581623,	0.2003824504393456,	0.20827660019460573,	400
3976257600.0,	27.52664278374173,	0.04056555694601893,	0.015002701613013827,	0.05083150170505419,	0.20064960617668173,	0.21316778039632914,	400
3992036400.0,	27.52664278374173,	0.04056555694601893,	0.015004031203446228,	0.05122477046291895,	0.20102234604122152,	0.2192249682252778,	400
4007815200.0,	27.52664278374173,	0.04056555694601893,	0.015005526882406669,	0.05165301490413232,	0.20146523147770745,	0.22570850188888014,	400
4023594000.0,	27.52664278374173,	0.04056555694601893,	0.01500729309507685,	0.05214171565331224,	0.20202668638366847,	0.2329641711325219,	400
4039372800.0,	27.52664278374173,	0.04056555694601893,	0.015010421013009572,	0.052987555852778236,	0.20330585838698417,	0.2450548561479253,	400
4055151600.0,	27.52664278374173,	0.04056555694601893,	0.015014634588798693,	0.05406625999922431,	0.20536465884871316,	0.259745939376323,	400
4070930400.0,	27.52664278374173,	0.04056555694601893,	0.01502033077665692,	0.05543279435923315,	0.20872534729397654,	0.27720518118057064,	400
4086709200.0,	27.52664278374173,	0.04056555694601893,	0.015027259253680099,	0.056942258399667725,	0.21311161572217524,	0.29531884442666667,	400
4102488000.0,	27.52664278374173,	0.04056555694601893,	0.015036383364771852,	0.058752707383734545,	0.21950525005647503,	0.31538091396738754,	400
4118266800.0,	27.52664278374173,	0.04056555694601893,	0.01504798419424265,	0.060773508045959275,	0.22746395792775365,	0.33620577031778504,	400
4134045600.0,	27.52664278374173,	0.04056555694601893,	0.015063970632589354,	0.06320721999621261,	0.2383290297853051,	0.3591360234239376,	400
4149824400.0,	27.52664278374173,	0.04056555694601893,	0.015084340027729336,	0.06569201894006634,	0.24896352975014718,	0.38154959753091183,	400
4165603200.0,	27.52664278374173,	0.04056555694601893,	0.01511728293608165,	0.06919049054798214,	0.26706572034031706,	0.40908941026944723,	400
4181382000.0,	27.52664278374173,	0.04056555694601893,	0.015164664763569969,	0.07272878571923398,	0.28262327932569725,	0.4365474054365706,	400
4197160800.0,	27.52664278374173,	0.04056555694601893,	0.01523231255930997,	0.07629926638558039,	0.2968762910111312,	0.46344648551039896,	400
4212939600.0,	27.52664278374173,	0.04056555694601893,	0.015325368925674439,	0.07976484482305755,	0.30954729881862014,	0.48891986153708544,	400
4228718400.0,	27.52664278374173,	0.04056555694601893,	0.01545011401095597,	0.08313448967177316,	0.3212322862113715,	0.5130242241391086,	400
4244497200.0,	27.52664278374173,	0.04056555694601893,	0.015621559787863868,	0.08663907463563678,	0.3335037999537709,	0.5371470665409187,	400
4260276000.0,	27.52664278374173,	0.04056555694601893,	0.01583125745290168,	0.0898568205957982,	0.3440861005522463,	0.5590105065801395,	400
4276054800.0,	27.52664278374173,	0.04056555694601893,	0.01605886597298016,	0.09260000040203333,	0.35246612805699495,	0.5775992607188735,	400
4291833600.0,	27.52664278374173,	0.04056555694601893,	0.01627834222487265,	0.09480068491126128,	0.35872791520848335,	0.5925538619280962,	400
4307612400.0,	27.52664278374173,	0.04056555694601893,	0.016530773137724164,	0.09706603082846497,	0.3655205208786521,	0.6077147425023398,	400
4323391200.0,	27.52664278374173,	0.04056555694601893,	0.016785439281375228,	0.0991086053277357,	0.37161480283308207,	0.6213597477304669,	400
