time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	50.32512845909059,	8.016206984791264,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	50.32512845909059,	8.016206984791264,	0.015011058816107476,	0.05602729582078941,	0.23946927742906987,	0.2560399767874772,	400
31557600.0,	50.32512845909059,	8.016206984791264,	0.015030750990136852,	0.06510795666872789,	0.29836186421223304,	0.31993706629372554,	400
47336400.0,	50.32512845909059,	8.016206984791264,	0.015081841074704973,	0.07840591061799596,	0.36484150135567706,	0.402488528513411,	400
63115200.0,	50.32512845909059,	8.016206984791264,	0.015276077995916688,	0.0958211970070837,	0.43260945153167435,	0.4999532128059793,	400
78894000.0,	50.32512845909059,	8.016206984791264,	0.016182821280837537,	0.11462441651681057,	0.4952949538774225,	0.5994691251195221,	400
94672800.0,	50.32512845909059,	8.016206984791264,	0.018684214143618982,	0.1297169088621437,	0.5449208767891421,	0.6819243909843665,	400
110451600.0,	50.32512845909059,	8.016206984791264,	0.021406379049817306,	0.14308465087035824,	0.5993589215554297,	0.760218471366931,	400
126230400.0,	50.32512845909059,	8.016206984791264,	0.024108581627870974,	0.15474081624106067,	0.6511653064889671,	0.8358522316151807,	400
142009200.0,	50.32512845909059,	8.016206984791264,	0.026777576680903248,	0.16514627077746596,	0.7021274316526768,	0.9088970839831084,	400
157788000.0,	50.32512845909059,	8.016206984791264,	0.02927088783170825,	0.17383558936185464,	0.744384582647869,	0.9755854189356773,	400
173566800.0,	50.32512845909059,	8.016206984791264,	0.031665075164387796,	0.18167872362272866,	0.7862204894091506,	1.038971403409409,	400
189345600.0,	50.32512845909059,	8.016206984791264,	0.033812471534529945,	0.1881659416172764,	0.8201429517545412,	1.094877245154314,	400
205124400.0,	50.32512845909059,	8.016206984791264,	0.03583622674213304,	0.19400714783723974,	0.8527646657928285,	1.1471037434474254,	400
220903200.0,	50.32512845909059,	8.016206984791264,	0.03771168778189377,	0.1991744151876005,	0.8826303577170593,	1.1949413811987333,	400
236682000.0,	50.32512845909059,	8.016206984791264,	0.03913030466560098,	0.20283118187946714,	0.9013581604978901,	1.2308073777920583,	400
252460800.0,	50.32512845909059,	8.016206984791264,	0.040438592461254884,	0.20612672703456955,	0.9190618449757894,	1.2638213067344686,	400
268239600.0,	50.32512845909059,	8.016206984791264,	0.041627337691517566,	0.20905234635225947,	0.9352618900773795,	1.2937008696761776,	400
284018400.0,	50.32512845909059,	8.016206984791264,	0.04275205064711025,	0.21177167976773942,	0.9510162424467302,	1.3218383802734,	400
299797200.0,	50.32512845909059,	8.016206984791264,	0.04351462068743132,	0.21354860529807676,	0.9603740302183382,	1.3408417262883008,	400
315576000.0,	50.32512845909059,	8.016206984791264,	0.04413810683542517,	0.21497864465953137,	0.9678342769168051,	1.3563586678269604,	400
331354800.0,	50.32512845909059,	8.016206984791264,	0.04447021897443914,	0.21572446211442828,	0.9714090528000952,	1.3646230028284767,	400
347133600.0,	50.32512845909059,	8.016206984791264,	0.04495487993451902,	0.2168172112750654,	0.9771490125015798,	1.37666917482143,	400
362912400.0,	50.32512845909059,	8.016206984791264,	0.04506494840076637,	0.2170598482013277,	0.9782680477080511,	1.3794062035674524,	400
378691200.0,	50.32512845909059,	8.016206984791264,	0.04519633294008607,	0.21734937121563636,	0.9796273779842494,	1.3826726484524134,	400
394470000.0,	50.32512845909059,	8.016206984791264,	0.045366686766322564,	0.2177248429853073,	0.9814385304336402,	1.3869064575666816,	400
410248800.0,	50.32512845909059,	8.016206984791264,	0.04539031463904905,	0.21777651672553425,	0.9816753313004875,	1.3874939588032256,	400
