time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1783004400.0,	54.27165893839092,	12.740038112538423,	0.015,	0.05,	0.2,	0.2,	400
1798783200.0,	54.27165893839092,	12.740038112538423,	0.015005494014015188,	0.0518810260830134,	0.20339952541880107,	0.22784250013900162,	400
1814562000.0,	54.27165893839092,	12.740038112538423,	0.015014807799452582,	0.05500160655846133,	0.214889994669989,	0.265517304650109,	400
1830340800.0,	54.27165893839092,	12.740038112538423,	0.015028611326551873,	0.05923672138401733,	0.23749003294712148,	0.3058896616710304,	400
1846119600.0,	54.27165893839092,	12.740038112538423,	0.015050866821091734,	0.06458894346433923,	0.2668178501423601,	0.34964194281385613,	400
1861898400.0,	54.27165893839092,	12.740038112538423,	0.015094039630130266,	0.0722112033201853,	0.3106730457908244,	0.40061972598366896,	400
1877677200.0,	54.27165893839092,	12.740038112538423,	0.015191768980157418,	0.08047837023331295,	0.34263213898131484,	0.4576327733792654,	400
1893456000.0,	54.27165893839092,	12.740038112538423,	0.015417825322999583,	0.0896447155795353,	0.37618437241375435,	0.5154288595275851,	400
1909234800.0,	54.27165893839092,	12.740038112538423,	0.01581258869546694,	0.09872933141843533,	0.41929533441031797,	0.5596421798315933,	400
1925013600.0,	54.27165893839092,	12.740038112538423,	0.016366600546696076,	0.10659009296618178,	0.45554834680160056,	0.5941163517646748,	400
1940792400.0,	54.27165893839092,	12.740038112538423,	0.017123131404649248,	0.1131381942214215,	0.4771750995608989,	0.6275097827401244,	400
1956571200.0,	54.27165893839092,	12.740038112538423,	0.017916362441077378,	0.11998254203902642,	0.5090286471386373,	0.6567558000861237,	400
1972350000.0,	54.27165893839092,	12.740038112538423,	0.01871104640864564,	0.1250072222326469,	0.5257944703132242,	0.6823808818730974,	400
1988128800.0,	54.27165893839092,	12.740038112538423,	0.019534369060165833,	0.13077945186922074,	0.5535545879493066,	0.7078415085727521,	400
2003907600.0,	54.27165893839092,	12.740038112538423,	0.02025895650750971,	0.13502497748464037,	0.5702819521649031,	0.7289676695536709,	400
2019686400.0,	54.27165893839092,	12.740038112538423,	0.02108739485685729,	0.1398473619491712,	0.591801815200975,	0.7527053069793782,	400
2035465200.0,	54.27165893839092,	12.740038112538423,	0.021803033502223634,	0.1436530202505211,	0.6073622493273386,	0.7727669758918068,	400
2051244000.0,	54.27165893839092,	12.740038112538423,	0.022543106394206813,	0.1473244399176716,	0.621751338191264,	0.7933411395458824,	400
2067022800.0,	54.27165893839092,	12.740038112538423,	0.02319174647981283,	0.1503122679001645,	0.6323508487334816,	0.8113076879498176,	400
2082801600.0,	54.27165893839092,	12.740038112538423,	0.02382227167918586,	0.15316554287340567,	0.6430157546303518,	0.8287827344865046,	400
2098580400.0,	54.27165893839092,	12.740038112538423,	0.02452580330984195,	0.15634232438910775,	0.6562954761950881,	0.8482398534179285,	400
2114359200.0,	54.27165893839092,	12.740038112538423,	0.025250042085908735,	0.15946529128919454,	0.6692474586092789,	0.8681466414185793,	400
2130138000.0,	54.27165893839092,	12.740038112538423,	0.025971592878890094,	0.16244469719635418,	0.6814870539949578,	0.8878873925034646,	400
2145916800.0,	54.27165893839092,	12.740038112538423,	0.02660659157680737,	0.16522759477532478,	0.6956854575303586,	0.9052059678648836,	400
2161695600.0,	54.27165893839092,	12.740038112538423,	0.027046098059023384,	0.167152758125647,	0.7057877730103737,	0.9170722238707407,	400
2177474400.0,	54.27165893839092,	12.740038112538423,	0.027486631987858584,	0.16910359458965288,	0.7167256879820557,	0.9288766414323771,	400
