time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1940792400.0,	10.517522340850782,	14.047298924787752,	0.015,	0.05,	0.2,	0.2,	400
1956571200.0,	10.517522340850782,	14.047298924787752,	0.015001431743778234,	0.050456122347822215,	0.20038718437469116,	0.20725612993593875,	400
1972350000.0,	10.517522340850782,	14.047298924787752,	0.015003229655250729,	0.051009136626569154,	0.20092609607609085,	0.215851002195609,	400
1988128800.0,	10.517522340850782,	14.047298924787752,	0.015005828729442894,	0.05177961534672426,	0.20185909126494656,	0.22743644261327217,	400
2003907600.0,	10.517522340850782,	14.047298924787752,	0.015009133356105396,	0.05270634747481002,	0.20323390323864793,	0.24082227730885247,	400
2019686400.0,	10.517522340850782,	14.047298924787752,	0.015014562771015335,	0.05417073882484597,	0.20644794010394163,	0.2604626502430962,	400
2035465200.0,	10.517522340850782,	14.047298924787752,	0.015022081636776843,	0.056047759853854025,	0.21208495088173765,	0.2833769649863659,	400
2051244000.0,	10.517522340850782,	14.047298924787752,	0.01503382993079641,	0.058851706252938354,	0.22481150600361757,	0.3123724247502524,	400
2067022800.0,	10.517522340850782,	14.047298924787752,	0.015050966206245306,	0.06235672492789802,	0.24298653845995613,	0.3440273952621032,	400
2082801600.0,	10.517522340850782,	14.047298924787752,	0.015076796329985093,	0.0663703695607952,	0.2628262900180994,	0.3775075238226388,	400
2098580400.0,	10.517522340850782,	14.047298924787752,	0.015117789540983584,	0.0708606671636446,	0.28339395485557173,	0.41257323109106275,	400
2114359200.0,	10.517522340850782,	14.047298924787752,	0.015184200695640696,	0.07562358440317503,	0.3029936065780694,	0.4480531498505193,	400
2130138000.0,	10.517522340850782,	14.047298924787752,	0.015290868463410502,	0.08046851962566226,	0.32105000831651154,	0.48274057290426625,	400
2145916800.0,	10.517522340850782,	14.047298924787752,	0.015459905135996519,	0.0854041805125094,	0.338522984101794,	0.5165618162469555,	400
2161695600.0,	10.517522340850782,	14.047298924787752,	0.01570703759321081,	0.09010354960562139,	0.35399264864505947,	0.547953948855377,	400
2177474400.0,	10.517522340850782,	14.047298924787752,	0.016035771237092142,	0.09446451624893473,	0.3677093397723281,	0.5765235574460322,	400
2193253200.0,	10.517522340850782,	14.047298924787752,	0.01643077827973743,	0.09841707359788028,	0.3797982176312302,	0.6021352247412181,	400
2209032000.0,	10.517522340850782,	14.047298924787752,	0.01686637898873251,	0.10195622980591361,	0.3904891574198787,	0.6249992012075666,	400
2224810800.0,	10.517522340850782,	14.047298924787752,	0.017352729539844174,	0.10538606310953123,	0.4013538134966818,	0.6470350112178482,	400
2240589600.0,	10.517522340850782,	14.047298924787752,	0.0178381906167213,	0.10841638339641857,	0.41089582147797965,	0.6667189414925123,	400
2256368400.0,	10.517522340850782,	14.047298924787752,	0.018312736420116753,	0.11112982801734748,	0.4195102139336157,	0.6845724333050908,	400
2272147200.0,	10.517522340850782,	14.047298924787752,	0.018814024910094623,	0.1138317423285739,	0.42862988706360516,	0.7024641418375225,	400
2287926000.0,	10.517522340850782,	14.047298924787752,	0.01932593052402216,	0.1164440481176848,	0.4378270859992014,	0.7199609374748561,	400
2303704800.0,	10.517522340850782,	14.047298924787752,	0.01977765598638766,	0.11861904975279552,	0.4452761940026688,	0.7348831871364695,	400
