time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
820497600.0,	4.446202713403514,	4.896777959901034,	0.015,	0.05,	0.2,	0.2,	400
836276400.0,	4.446202713403514,	4.896777959901034,	0.015001493188648357,	0.05073649061187303,	0.20419230849872672,	0.20756752918166438,	400
852055200.0,	4.446202713403514,	4.896777959901034,	0.015003256016338111,	0.051616316795915274,	0.20946756986108062,	0.21603160538726213,	400
867834000.0,	4.446202713403514,	4.896777959901034,	0.015005321031853392,	0.052650672828951264,	0.21590041736589652,	0.2253515514087579,	400
883612800.0,	4.446202713403514,	4.896777959901034,	0.015007634318646993,	0.05377832140016878,	0.22288863363699535,	0.23508021145966385,	400
899391600.0,	4.446202713403514,	4.896777959901034,	0.015010303418601736,	0.055046161941309825,	0.23076752333206146,	0.24546796881401353,	400
915170400.0,	4.446202713403514,	4.896777959901034,	0.015013521622936038,	0.05654551619665287,	0.24022491285091918,	0.256945718167369,	400
930949200.0,	4.446202713403514,	4.896777959901034,	0.015017318876027922,	0.05821390440084943,	0.25049587124390493,	0.2691726375284593,	400
946728000.0,	4.446202713403514,	4.896777959901034,	0.015021714148429791,	0.05997264705779333,	0.2607823583900261,	0.28176915438485217,	400
962506800.0,	4.446202713403514,	4.896777959901034,	0.015027026989623594,	0.06192801290449707,	0.2719512190346112,	0.29516234447562106,	400
978285600.0,	4.446202713403514,	4.896777959901034,	0.015033484795262099,	0.06405963159250398,	0.28368967288934444,	0.3092394631277678,	400
994064400.0,	4.446202713403514,	4.896777959901034,	0.015041302423599481,	0.06630863291338712,	0.2954585470681683,	0.32372435766831303,	400
1009843200.0,	4.446202713403514,	4.896777959901034,	0.015050905669596106,	0.06869113162734462,	0.3073905238577911,	0.3386320324359216,	400
1025622000.0,	4.446202713403514,	4.896777959901034,	0.01506334581101511,	0.07137490426993719,	0.32064666312911755,	0.35457505776909765,	400
1041400800.0,	4.446202713403514,	4.896777959901034,	0.01507910313498577,	0.07417850082148778,	0.33376347388631655,	0.370850441169283,	400
1057179600.0,	4.446202713403514,	4.896777959901034,	0.015099359582613027,	0.07712623159775106,	0.34696124698347547,	0.3874866016723823,	400
