time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	21.284649056369354,	6.440718300205151,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	21.284649056369354,	6.440718300205151,	0.015005967897062369,	0.05206953743233418,	0.2040762868609345,	0.2302438662310126,	400
31557600.0,	21.284649056369354,	6.440718300205151,	0.015015039915016019,	0.05501790152582494,	0.21437016512940282,	0.26622996553323963,	400
47336400.0,	21.284649056369354,	6.440718300205151,	0.015028739073226377,	0.05918639187802516,	0.2366782156691779,	0.3060197039341175,	400
63115200.0,	21.284649056369354,	6.440718300205151,	0.015050862468232739,	0.06453572828672346,	0.2665354372921467,	0.3494660284976381,	400
78894000.0,	21.284649056369354,	6.440718300205151,	0.015091469730422129,	0.0709923225936036,	0.29811921555977283,	0.3975330992417706,	400
94672800.0,	21.284649056369354,	6.440718300205151,	0.015173005132885012,	0.07825073566854576,	0.32824622202794485,	0.44836482225265495,	400
110451600.0,	21.284649056369354,	6.440718300205151,	0.015345889054677006,	0.08621740913366266,	0.3582758304391267,	0.500343228580759,	400
126230400.0,	21.284649056369354,	6.440718300205151,	0.015695247381728852,	0.09411629607128258,	0.38455622425043495,	0.550070013867987,	400
142009200.0,	21.284649056369354,	6.440718300205151,	0.01630251428174211,	0.10164730166443599,	0.40868106731338316,	0.5959825322455001,	400
157788000.0,	21.284649056369354,	6.440718300205151,	0.017129859076294617,	0.10826326148241357,	0.429097067915805,	0.636280838409825,	400
173566800.0,	21.284649056369354,	6.440718300205151,	0.01807798682292258,	0.1141794139302558,	0.44796324340933696,	0.6727456725325363,	400
189345600.0,	21.284649056369354,	6.440718300205151,	0.019036285475947153,	0.11931193439131357,	0.4646054405206648,	0.7054053952882552,	400
205124400.0,	21.284649056369354,	6.440718300205151,	0.01998959117261978,	0.12396946684545189,	0.48058074413072455,	0.7359772911366623,	400
220903200.0,	21.284649056369354,	6.440718300205151,	0.020820693812335426,	0.12812824909788723,	0.49941586700518564,	0.7616771211573325,	400
236682000.0,	21.284649056369354,	6.440718300205151,	0.021524382579810458,	0.1313272089096798,	0.5123202140670331,	0.7826660077996107,	400
252460800.0,	21.284649056369354,	6.440718300205151,	0.02216658000048973,	0.13411373850480934,	0.5234402827427702,	0.8015390281227033,	400
268239600.0,	21.284649056369354,	6.440718300205151,	0.02276205320711538,	0.13660773095550968,	0.5334585224074319,	0.8188667671154084,	400
284018400.0,	21.284649056369354,	6.440718300205151,	0.023329162788675552,	0.13888152793626862,	0.5423239335189092,	0.8352435246083771,	400
299797200.0,	21.284649056369354,	6.440718300205151,	0.023782411367570852,	0.14063861581634318,	0.548906691112173,	0.8482709053524109,	400
315576000.0,	21.284649056369354,	6.440718300205151,	0.02423936266278316,	0.14238530642228708,	0.5557603607477845,	0.8613661948094375,	400
331354800.0,	21.284649056369354,	6.440718300205151,	0.02462399689720574,	0.14381489085888774,	0.5611886009485908,	0.872352471530457,	400
347133600.0,	21.284649056369354,	6.440718300205151,	0.024992558030000785,	0.14516658808223049,	0.5664519694240511,	0.8828563328977347,	400
362912400.0,	21.284649056369354,	6.440718300205151,	0.025184438593696064,	0.14584861354052991,	0.5688275564472038,	0.8883159095106321,	400
378691200.0,	21.284649056369354,	6.440718300205151,	0.025348657448130585,	0.14642794945645124,	0.5708481563204683,	0.8929869499844412,	400
394470000.0,	21.284649056369354,	6.440718300205151,	0.02552426858790358,	0.147045198440998,	0.5730595757628487,	0.8979796929157932,	400
410248800.0,	21.284649056369354,	6.440718300205151,	0.025563954316629143,	0.147182627528818,	0.5735140467502043,	0.8991080128077811,	400
