time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1356976800.0,	36.35351635769551,	0.7533645937529654,	0.015,	0.05,	0.2,	0.2,	400
1372755600.0,	36.35351635769551,	0.7533645937529654,	0.015000859409097147,	0.05027201998882431,	0.20020641307680234,	0.20435554686148663,	400
1388534400.0,	36.35351635769551,	0.7533645937529654,	0.015002284382396435,	0.05071528111602288,	0.20059856709068363,	0.21132876086129057,	400
1404313200.0,	36.35351635769551,	0.7533645937529654,	0.015003927770505477,	0.05120842310600723,	0.20108401037222556,	0.21892928182976923,	400
1420092000.0,	36.35351635769551,	0.7533645937529654,	0.015006939432777793,	0.052091208070129666,	0.20226032990985884,	0.23201762032852324,	400
1435870800.0,	36.35351635769551,	0.7533645937529654,	0.01501112467032849,	0.05325162197429758,	0.20429298371759866,	0.24833135347367183,	400
1451649600.0,	36.35351635769551,	0.7533645937529654,	0.015017043637052979,	0.05479102312674011,	0.20799718489017463,	0.26840186505195457,	400
1467428400.0,	36.35351635769551,	0.7533645937529654,	0.015024359056053652,	0.05650557508899549,	0.21302996655458584,	0.28915437454063697,	400
1483207200.0,	36.35351635769551,	0.7533645937529654,	0.015034284037581686,	0.0586171561134136,	0.22087405951432465,	0.3123278715133818,	400
1498986000.0,	36.35351635769551,	0.7533645937529654,	0.015047623316198976,	0.06109342017231029,	0.23148659775575137,	0.33701963780903127,	400
1514764800.0,	36.35351635769551,	0.7533645937529654,	0.015065971387568473,	0.06393446396253466,	0.24449621680205505,	0.3630101143147664,	400
1530543600.0,	36.35351635769551,	0.7533645937529654,	0.015090392220391536,	0.06684916763216031,	0.257031922901024,	0.38849920513094527,	400
1546322400.0,	36.35351635769551,	0.7533645937529654,	0.015130746634879047,	0.07088039876454742,	0.27769159375344604,	0.41910667804984925,	400
1562101200.0,	36.35351635769551,	0.7533645937529654,	0.015195150104879268,	0.07527782968623373,	0.29756113750953267,	0.4512832696099834,	400
1577880000.0,	36.35351635769551,	0.7533645937529654,	0.01529433337147634,	0.07966765149390732,	0.3146933206125846,	0.482763501550591,	400
1593658800.0,	36.35351635769551,	0.7533645937529654,	0.015444899504902866,	0.08411597337141125,	0.33094425938999844,	0.513528322603892,	400
1609437600.0,	36.35351635769551,	0.7533645937529654,	0.01563736198345027,	0.08786607708489301,	0.34260078619343864,	0.5395182495384269,	400
1625216400.0,	36.35351635769551,	0.7533645937529654,	0.015956133296279353,	0.09284475325943886,	0.36188431895968926,	0.5709039916679429,	400
1640995200.0,	36.35351635769551,	0.7533645937529654,	0.016366556966582017,	0.09731449775616607,	0.3773154077884519,	0.5992115187227899,	400
1656774000.0,	36.35351635769551,	0.7533645937529654,	0.016808031610870248,	0.10099765582075884,	0.3887879599733468,	0.6228543161523574,	400
1672552800.0,	36.35351635769551,	0.7533645937529654,	0.017196592629767842,	0.10370699625300651,	0.3963305929438758,	0.6406334465401647,	400
1688331600.0,	36.35351635769551,	0.7533645937529654,	0.017647500065746054,	0.10661092768781281,	0.4053069996099958,	0.6595270317765701,	400
1704110400.0,	36.35351635769551,	0.7533645937529654,	0.018123611105576802,	0.10943528738100818,	0.41447702117990637,	0.6779730775074778,	400
1719889200.0,	36.35351635769551,	0.7533645937529654,	0.018537429953821696,	0.11169373148041986,	0.42148131845538983,	0.6930560609044715,	400
1735668000.0,	36.35351635769551,	0.7533645937529654,	0.01888642780937573,	0.11349272054309179,	0.42688654328318076,	0.7053056317104108,	400
1751446800.0,	36.35351635769551,	0.7533645937529654,	0.01937756168571048,	0.11599698395104299,	0.435952264533412,	0.7221129943137345,	400
1767225600.0,	36.35351635769551,	0.7533645937529654,	0.019886672217441878,	0.11847955060274788,	0.4453507805937209,	0.7389516572600761,	400
1783004400.0,	36.35351635769551,	0.7533645937529654,	0.020312942570642506,	0.12044396427964266,	0.45240244935897356,	0.7526593314592547,	400
1798783200.0,	36.35351635769551,	0.7533645937529654,	0.02066190319416277,	0.12198976465983791,	0.4577452960304287,	0.7636934639541243,	400
1814562000.0,	36.35351635769551,	0.7533645937529654,	0.02104619957483537,	0.12366491175998769,	0.4639296336797049,	0.7757104271489519,	400
1830340800.0,	36.35351635769551,	0.7533645937529654,	0.02142688152118659,	0.1252867348822085,	0.4700889579684482,	0.7874756324895029,	400
1846119600.0,	36.35351635769551,	0.7533645937529654,	0.021663918276680266,	0.12625878276917438,	0.4734416822865103,	0.7947296269352507,	400
1861898400.0,	36.35351635769551,	0.7533645937529654,	0.022228434521399488,	0.12865926631563868,	0.484742444999132,	0.8119003249084028,	400
1877677200.0,	36.35351635769551,	0.7533645937529654,	0.022737961565914285,	0.13072783085259918,	0.49413610398235397,	0.8271032848113999,	400
1893456000.0,	36.35351635769551,	0.7533645937529654,	0.023284359095883514,	0.1328997998625819,	0.5045155320501458,	0.8431966036478131,	400
1909234800.0,	36.35351635769551,	0.7533645937529654,	0.02370061280814971,	0.13447708680120038,	0.5114205578108931,	0.8553063772331724,	400
1925013600.0,	36.35351635769551,	0.7533645937529654,	0.02399928107982457,	0.13557380880351885,	0.5159111412652614,	0.8639470459897837,	400
1940792400.0,	36.35351635769551,	0.7533645937529654,	0.02427758133013176,	0.13658255600300395,	0.5200752834730391,	0.8719754333232743,	400
1956571200.0,	36.35351635769551,	0.7533645937529654,	0.024665867705389196,	0.1379949801693276,	0.5265670715106266,	0.8831409298171535,	400
1972350000.0,	36.35351635769551,	0.7533645937529654,	0.024855921088914913,	0.13866079275007004,	0.5292570139733995,	0.8885814175149116,	400
1988128800.0,	36.35351635769551,	0.7533645937529654,	0.02509469856848324,	0.139496373474723,	0.532818857480177,	0.8954061424892928,	400
2003907600.0,	36.35351635769551,	0.7533645937529654,	0.025279500030398555,	0.14013438209310403,	0.5354790656981246,	0.90067818145928,	400
2019686400.0,	36.35351635769551,	0.7533645937529654,	0.025612495875508807,	0.1412965925916453,	0.5409781357627964,	0.9101579183155968,	400
2035465200.0,	36.35351635769551,	0.7533645937529654,	0.02587691031975728,	0.14220096760294396,	0.5451235725391935,	0.9176553118901127,	400
2051244000.0,	36.35351635769551,	0.7533645937529654,	0.02613603966533063,	0.14307900224793857,	0.5492035833684132,	0.9249827617984009,	400
2067022800.0,	36.35351635769551,	0.7533645937529654,	0.026412860992637392,	0.14401100042945375,	0.5536648032455632,	0.9327886599977591,	400
2082801600.0,	36.35351635769551,	0.7533645937529654,	0.026648943143518684,	0.14479489370309317,	0.5573690508969877,	0.9394264641044988,	400
2098580400.0,	36.35351635769551,	0.7533645937529654,	0.02680202627380542,	0.1452949517672037,	0.5596292978808677,	0.9437222259370276,	400
2114359200.0,	36.35351635769551,	0.7533645937529654,	0.026814566583414665,	0.14533520621267665,	0.5597956912701039,	0.9440739508637379,	400
2130138000.0,	36.35351635769551,	0.7533645937529654,	0.026914218226615765,	0.14565745932428478,	0.5612151416398353,	0.9468676456822951,	400
2145916800.0,	36.35351635769551,	0.7533645937529654,	0.027063180043453584,	0.14614014976712833,	0.5634348120645282,	0.9510400927803048,	400
2161695600.0,	36.35351635769551,	0.7533645937529654,	0.02713678438221988,	0.14637587220554665,	0.5644732914221599,	0.9531000324376148,	400
2177474400.0,	36.35351635769551,	0.7533645937529654,	0.02716096863458631,	0.1464528221151309,	0.564802530511459,	0.9537767199917252,	400
2193253200.0,	36.35351635769551,	0.7533645937529654,	0.027214067824298742,	0.1466220956474212,	0.5655433374030991,	0.9552620788459482,	400
2209032000.0,	36.35351635769551,	0.7533645937529654,	0.027316318578793953,	0.14694908911982593,	0.5670314994673259,	0.9581208162184663,	400
2224810800.0,	36.35351635769551,	0.7533645937529654,	0.02743248088689226,	0.14732000287289126,	0.5687492466670756,	0.9613658531103623,	400
