time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
3992036400.0,	47.116682344170535,	9.67924928831096,	0.015,	0.05,	0.2,	0.2,	400
4007815200.0,	47.116682344170535,	9.67924928831096,	0.015003454190807982,	0.051132914929395125,	0.20141036199419757,	0.2175055385936407,	400
4023594000.0,	47.116682344170535,	9.67924928831096,	0.015008816355647834,	0.052794089340644265,	0.2046131815802673,	0.2410984712192371,	400
4039372800.0,	47.116682344170535,	9.67924928831096,	0.015017898295475939,	0.05553836700716182,	0.21444543459892101,	0.27392177268749807,	400
4055151600.0,	47.116682344170535,	9.67924928831096,	0.015031082505291414,	0.05913508685792908,	0.23218233744983124,	0.30954963780528005,	400
4070930400.0,	47.116682344170535,	9.67924928831096,	0.01505119401383478,	0.06357576679488111,	0.25568422124395906,	0.3476847346111417,	400
4086709200.0,	47.116682344170535,	9.67924928831096,	0.015084007325655714,	0.06860230256952642,	0.27945460000263717,	0.38788480756489546,	400
4102488000.0,	47.116682344170535,	9.67924928831096,	0.015142180996728653,	0.07439395459565316,	0.30517398252420896,	0.4304084595760766,	400
4118266800.0,	47.116682344170535,	9.67924928831096,	0.015249428193339139,	0.08060804589999536,	0.32955860040986046,	0.4737110749050603,	400
4134045600.0,	47.116682344170535,	9.67924928831096,	0.015445164367454868,	0.08700048418196174,	0.3523530608616496,	0.5162303774989899,	400
4149824400.0,	47.116682344170535,	9.67924928831096,	0.015778859497037726,	0.09330934519613548,	0.37343298865251,	0.5566451240207879,	400
4165603200.0,	47.116682344170535,	9.67924928831096,	0.016214697865016933,	0.09994081098859099,	0.4074085394429514,	0.5890902356896424,	400
4181382000.0,	47.116682344170535,	9.67924928831096,	0.016818581166306423,	0.10559313428411773,	0.42804017188424065,	0.6203337908535534,	400
4197160800.0,	47.116682344170535,	9.67924928831096,	0.01751168089734162,	0.11072965195351492,	0.4461350521999192,	0.6491542965278432,	400
4212939600.0,	47.116682344170535,	9.67924928831096,	0.018197317277674843,	0.11503378142448029,	0.4604523404403026,	0.674132004028794,	400
4228718400.0,	47.116682344170535,	9.67924928831096,	0.01895009177865169,	0.11931115012180009,	0.47512560474345206,	0.699646119821644,	400
4244497200.0,	47.116682344170535,	9.67924928831096,	0.01966650341434163,	0.12366206472365283,	0.49633262727949135,	0.7227159881679928,	400
4260276000.0,	47.116682344170535,	9.67924928831096,	0.02023680531289573,	0.12713833419833961,	0.5149199038508806,	0.7401009116641992,	400
4276054800.0,	47.116682344170535,	9.67924928831096,	0.020798854720998617,	0.1302997394038487,	0.5308404813465832,	0.7566033905599764,	400
4291833600.0,	47.116682344170535,	9.67924928831096,	0.02138341370437374,	0.13328519077225717,	0.544400696027482,	0.7733685553197545,	400
4307612400.0,	47.116682344170535,	9.67924928831096,	0.021994875456562823,	0.1362141133055903,	0.5570692117723147,	0.7906867585464771,	400
4323391200.0,	47.116682344170535,	9.67924928831096,	0.02251013301858028,	0.13870306135090035,	0.5687464173846487,	0.8051763616118892,	400
4339170000.0,	47.116682344170535,	9.67924928831096,	0.022951724035442128,	0.14074758171921645,	0.5779231234885689,	0.8174908470688071,	400
4354948800.0,	47.116682344170535,	9.67924928831096,	0.023415704461609316,	0.1428698151562618,	0.5878262456215914,	0.830365775572121,	400
4370727600.0,	47.116682344170535,	9.67924928831096,	0.023923550791244592,	0.14517387076523697,	0.5991649710856691,	0.8443755753152997,	400
4386506400.0,	47.116682344170535,	9.67924928831096,	0.024349831611847828,	0.14698227340532613,	0.6070984760060034,	0.856055565191934,	400
4402285200.0,	47.116682344170535,	9.67924928831096,	0.024719562596747596,	0.14851642942164686,	0.6137358509250213,	0.8661695257003489,	400
4418064000.0,	47.116682344170535,	9.67924928831096,	0.024997063945999976,	0.14963990995895282,	0.6184018161248178,	0.8737538806650856,	400
4433842800.0,	47.116682344170535,	9.67924928831096,	0.025768280429952946,	0.1522409808110679,	0.625012091255325,	0.8947724851588948,	400
4449621600.0,	47.116682344170535,	9.67924928831096,	0.026460027856755167,	0.1545395969250635,	0.6312467245245696,	0.9138810036550327,	400
4465400400.0,	47.116682344170535,	9.67924928831096,	0.027073202845429495,	0.15654430510037154,	0.6369510701945469,	0.9309446595993438,	400
4481179200.0,	47.116682344170535,	9.67924928831096,	0.027648814121032754,	0.1583989440088013,	0.6425510123044816,	0.9470225725908922,	400
4496958000.0,	47.116682344170535,	9.67924928831096,	0.028225123945487533,	0.160232134166373,	0.6485156392140292,	0.9631420572734979,	400
4512736800.0,	47.116682344170535,	9.67924928831096,	0.02878274818093003,	0.16198085793012718,	0.6545429913278386,	0.9787346953761844,	400
4528515600.0,	47.116682344170535,	9.67924928831096,	0.029194965263306172,	0.16329117989496778,	0.6596762767610598,	0.9902520142257687,	400
4544294400.0,	47.116682344170535,	9.67924928831096,	0.029538551578713,	0.16436694417175407,	0.6638771756398013,	0.9998271813108098,	400
4560073200.0,	47.116682344170535,	9.67924928831096,	0.029905232003525024,	0.16550754131270495,	0.6685534853690941,	1.0100216324563243,	400
4575852000.0,	47.116682344170535,	9.67924928831096,	0.03029165304998108,	0.1667008903858133,	0.6736789843763243,	1.0207333447213025,	400
4591630800.0,	47.116682344170535,	9.67924928831096,	0.03066266079003678,	0.16783460245954665,	0.6786667215753504,	1.0309838140937684,	400
