time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1293861600.0,	72.61320184513991,	12.958761265815573,	0.015,	0.05,	0.2,	0.2,	400
1309640400.0,	72.61320184513991,	12.958761265815573,	0.015010523521342417,	0.054846911760355964,	0.22463239113294461,	0.253327742784106,	400
1325419200.0,	72.61320184513991,	12.958761265815573,	0.015026559188337119,	0.062373498253089965,	0.27952036448315765,	0.3062029106910488,	400
1341198000.0,	72.61320184513991,	12.958761265815573,	0.015064750888170775,	0.07281880961736636,	0.3302274623975878,	0.37953659680708873,	400
1356976800.0,	72.61320184513991,	12.958761265815573,	0.015177483944264693,	0.08739212319192546,	0.397735787217267,	0.46229568594009857,	400
1372755600.0,	72.61320184513991,	12.958761265815573,	0.015631599412502008,	0.10358808662474253,	0.4503281766473173,	0.5544434324641274,	400
1388534400.0,	72.61320184513991,	12.958761265815573,	0.01711920221478547,	0.11875831157080642,	0.5002161625759005,	0.6368696657158307,	400
1404313200.0,	72.61320184513991,	12.958761265815573,	0.01948239491507705,	0.13136555166074712,	0.544658314980071,	0.7079726408926805,	400
1420092000.0,	72.61320184513991,	12.958761265815573,	0.022052014778588987,	0.14425602987204514,	0.6075460192660164,	0.7822956000949726,	400
1435870800.0,	72.61320184513991,	12.958761265815573,	0.024721017989292073,	0.15527150066034315,	0.6585947608843716,	0.8545660405569869,	400
1451649600.0,	72.61320184513991,	12.958761265815573,	0.027390470416889433,	0.1655649522872864,	0.7129353125100953,	0.9268108667017184,	400
1467428400.0,	72.61320184513991,	12.958761265815573,	0.029938665575808272,	0.17432319400320256,	0.7583458339507696,	0.9940043352906741,	400
1483207200.0,	72.61320184513991,	12.958761265815573,	0.032428732345220534,	0.1823981940798793,	0.8043625761435076,	1.0590464327032676,	400
1498986000.0,	72.61320184513991,	12.958761265815573,	0.0348366998981765,	0.18971637042141878,	0.8482083978462781,	1.120798344303279,	400
1514764800.0,	72.61320184513991,	12.958761265815573,	0.0370160511161186,	0.19614870898799924,	0.8902189955844256,	1.175837821892499,	400
1530543600.0,	72.61320184513991,	12.958761265815573,	0.039164907709243336,	0.20218826364004494,	0.9311594359857194,	1.2290970155941485,	400
1546322400.0,	72.61320184513991,	12.958761265815573,	0.04114020598274456,	0.2078432945468205,	0.9757674657253438,	1.2773372315456473,	400
1562101200.0,	72.61320184513991,	12.958761265815573,	0.04316483351651905,	0.213403195239801,	1.0205253769143667,	1.3255759223758772,	400
1577880000.0,	72.61320184513991,	12.958761265815573,	0.04489469282016999,	0.2177759233681455,	1.0514186487746282,	1.3660918741861752,	400
1593658800.0,	72.61320184513991,	12.958761265815573,	0.0464339208187037,	0.22187491876424534,	1.086206302902468,	1.4020578191916444,	400
1609437600.0,	72.61320184513991,	12.958761265815573,	0.04774776278323421,	0.22517641608448014,	1.111834107682773,	1.4323365058972526,	400
1625216400.0,	72.61320184513991,	12.958761265815573,	0.0493434704278364,	0.22924011537321354,	1.1474106919582716,	1.4688417651037857,	400
1640995200.0,	72.61320184513991,	12.958761265815573,	0.05070805201477361,	0.2326043865751722,	1.1758320491799574,	1.4996896154895645,	400
1656774000.0,	72.61320184513991,	12.958761265815573,	0.051923981637363975,	0.235559239841702,	1.2008823706114493,	1.5269879871436183,	400
1672552800.0,	72.61320184513991,	12.958761265815573,	0.052828264723001984,	0.23781395406798292,	1.2213088264973029,	1.5471933837600573,	400
1688331600.0,	72.61320184513991,	12.958761265815573,	0.053700102457636616,	0.24000552327060815,	1.242004180739258,	1.5665400581709352,	400
1704110400.0,	72.61320184513991,	12.958761265815573,	0.054396336492275245,	0.2417665081937964,	1.2589666229126857,	1.5818855465922415,	400
1719889200.0,	72.61320184513991,	12.958761265815573,	0.05497094042962624,	0.24317818004237202,	1.2718981007855164,	1.5944778105847113,	400
1735668000.0,	72.61320184513991,	12.958761265815573,	0.055512424213789074,	0.2444382224916194,	1.2822763671795954,	1.6063020282455147,	400
1751446800.0,	72.61320184513991,	12.958761265815573,	0.05605951289878486,	0.24568610666585378,	1.2922672316286463,	1.6182330266550549,	400
1767225600.0,	72.61320184513991,	12.958761265815573,	0.05649011788089859,	0.2466666160199897,	1.300150663311094,	1.6276220264857915,	400
1783004400.0,	72.61320184513991,	12.958761265815573,	0.05678355245250442,	0.24733671757462217,	1.3055872779098554,	1.634019846809545,	400
1798783200.0,	72.61320184513991,	12.958761265815573,	0.05760481911231231,	0.24898643866603995,	1.3153227379166836,	1.6518646490275701,	400
1814562000.0,	72.61320184513991,	12.958761265815573,	0.05850057180531716,	0.2507900391269662,	1.3267405369068863,	1.6714103628356984,	400
1830340800.0,	72.61320184513991,	12.958761265815573,	0.05924206684769966,	0.2522685230829971,	1.3360454770974175,	1.6876545522530746,	400
1846119600.0,	72.61320184513991,	12.958761265815573,	0.05964822746208097,	0.2530642382853812,	1.3406983168649425,	1.6965866890547847,	400
1861898400.0,	72.61320184513991,	12.958761265815573,	0.0602894388068068,	0.2543465167479707,	1.3493088849948232,	1.7106892233839632,	400
1877677200.0,	72.61320184513991,	12.958761265815573,	0.06068275599459528,	0.25513725090270634,	1.3547316218067311,	1.719354895823039,	400
1893456000.0,	72.61320184513991,	12.958761265815573,	0.061001236589441836,	0.2557740238003797,	1.3590675706895508,	1.7263740136003067,	400
1909234800.0,	72.61320184513991,	12.958761265815573,	0.06125494837795177,	0.256278955177801,	1.3624819295655994,	1.7319671982970055,	400
