time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1672552800.0,	34.229033419272255,	0.4921954287371588,	0.015,	0.05,	0.2,	0.2,	400
1688331600.0,	34.229033419272255,	0.4921954287371588,	0.015001334552090639,	0.05042467130466124,	0.20035373466715983,	0.20676356682932115,	400
1704110400.0,	34.229033419272255,	0.4921954287371588,	0.015003334808391356,	0.05104322878432383,	0.20097670078193636,	0.21636378577638946,	400
1719889200.0,	34.229033419272255,	0.4921954287371588,	0.015005783414294475,	0.051765421471199065,	0.2018321499576521,	0.22723304115999568,	400
1735668000.0,	34.229033419272255,	0.4921954287371588,	0.015008834123047305,	0.05261838635013492,	0.20304614560038742,	0.23961121596576604,	400
1751446800.0,	34.229033419272255,	0.4921954287371588,	0.015014090218214572,	0.05404112808944964,	0.20608077418956972,	0.25882147011135526,	400
1767225600.0,	34.229033419272255,	0.4921954287371588,	0.015021645050884042,	0.05595156289028744,	0.21185192973541983,	0.28218365938613077,	400
1783004400.0,	34.229033419272255,	0.4921954287371588,	0.015031530250519278,	0.058179373059436046,	0.22015110696977735,	0.3068598896488738,	400
1798783200.0,	34.229033419272255,	0.4921954287371588,	0.015044527957395524,	0.06069856914216885,	0.23074405607215162,	0.33230456747730963,	400
1814562000.0,	34.229033419272255,	0.4921954287371588,	0.015063132156567608,	0.06376170955707214,	0.24529353854152525,	0.3600526725024001,	400
1830340800.0,	34.229033419272255,	0.4921954287371588,	0.015090225270016315,	0.06724531332586536,	0.2617707746034229,	0.3892689189293083,	400
1846119600.0,	34.229033419272255,	0.4921954287371588,	0.015127464642971331,	0.07061699549637927,	0.27546773045365086,	0.4169987381155719,	400
1861898400.0,	34.229033419272255,	0.4921954287371588,	0.01519385633822205,	0.07552302978468808,	0.30038361032419975,	0.4512212395328665,	400
1877677200.0,	34.229033419272255,	0.4921954287371588,	0.015302690051275264,	0.08041886214262982,	0.32014275232011613,	0.4855054666873879,	400
1893456000.0,	34.229033419272255,	0.4921954287371588,	0.015481163066833907,	0.08560074037113741,	0.3399201497074294,	0.5201491136241967,	400
1909234800.0,	34.229033419272255,	0.4921954287371588,	0.015731011443454814,	0.09012958573897913,	0.3544975378368572,	0.5504947090639041,	400
1925013600.0,	34.229033419272255,	0.4921954287371588,	0.016035167609871465,	0.09399818278472515,	0.3658565849232752,	0.5762605421059859,	400
1940792400.0,	34.229033419272255,	0.4921954287371588,	0.016396497431163892,	0.09761040003783752,	0.37655539463649945,	0.5999285860055025,	400
1956571200.0,	34.229033419272255,	0.4921954287371588,	0.016858669447761848,	0.10152096174740127,	0.38948393107671725,	0.6248160303125637,	400
1972350000.0,	34.229033419272255,	0.4921954287371588,	0.01727115081696891,	0.10439016610430357,	0.3978011137356253,	0.6435670138452017,	400
1988128800.0,	34.229033419272255,	0.4921954287371588,	0.017731122567426615,	0.10731981471514918,	0.40698913545509074,	0.6626290112014308,	400
2003907600.0,	34.229033419272255,	0.4921954287371588,	0.018173170305737875,	0.10989314090334566,	0.41503746770317523,	0.6795918847589334,	400
2019686400.0,	34.229033419272255,	0.4921954287371588,	0.018719989680850282,	0.11294318331538886,	0.42609753884975815,	0.6994748810431178,	400
2035465200.0,	34.229033419272255,	0.4921954287371588,	0.019230452690284363,	0.11557634520225986,	0.43541759098246247,	0.7170428639886226,	400
2051244000.0,	34.229033419272255,	0.4921954287371588,	0.019739893858802728,	0.1180743452221976,	0.44451599473520376,	0.7339533664530908,	400
2067022800.0,	34.229033419272255,	0.4921954287371588,	0.02020368621961138,	0.12054894997009344,	0.457374011944537,	0.748923357485687,	400
2082801600.0,	34.229033419272255,	0.4921954287371588,	0.02063266180180811,	0.12268771253681474,	0.467774419094409,	0.7623013299331949,	400
2098580400.0,	34.229033419272255,	0.4921954287371588,	0.020991857161524404,	0.12438123540180696,	0.47543086266919266,	0.7732593336456429,	400
2114359200.0,	34.229033419272255,	0.4921954287371588,	0.021233792360518648,	0.12546868315663198,	0.4798894735737716,	0.7805476710483898,	400
2130138000.0,	34.229033419272255,	0.4921954287371588,	0.021531610767359752,	0.12680366935953452,	0.48572719657767244,	0.7894634873006813,	400
2145916800.0,	34.229033419272255,	0.4921954287371588,	0.021820501335673814,	0.1282492122657978,	0.49428298027235634,	0.7980439344723146,	400
2161695600.0,	34.229033419272255,	0.4921954287371588,	0.022072349746700606,	0.12929885742986327,	0.4983554521018898,	0.8054127213377497,	400
2177474400.0,	34.229033419272255,	0.4921954287371588,	0.022275409380631404,	0.13013119774535314,	0.501520288929645,	0.8113387144004706,	400
2193253200.0,	34.229033419272255,	0.4921954287371588,	0.02247863513885045,	0.1310287723959674,	0.5059529334530699,	0.8172582143482692,	400
2209032000.0,	34.229033419272255,	0.4921954287371588,	0.0227090372628943,	0.1320410313487083,	0.5110906489325804,	0.8239326638919579,	400
2224810800.0,	34.229033419272255,	0.4921954287371588,	0.022939734535954034,	0.1330415301442315,	0.5161875303129071,	0.8305751414108518,	400
2240589600.0,	34.229033419272255,	0.4921954287371588,	0.02306378860995035,	0.13356148303423956,	0.518622982857217,	0.834128686347844,	400
2256368400.0,	34.229033419272255,	0.4921954287371588,	0.023193720072011367,	0.13410370445338798,	0.5211892971721984,	0.8378427272877328,	400
2272147200.0,	34.229033419272255,	0.4921954287371588,	0.02340337678240123,	0.13496005900256683,	0.5251866875206287,	0.8438203748782629,	400
2287926000.0,	34.229033419272255,	0.4921954287371588,	0.023609222793277936,	0.13579297696676948,	0.5291013933254265,	0.8496714635951519,	400
2303704800.0,	34.229033419272255,	0.4921954287371588,	0.023709344915031984,	0.13618795189802058,	0.5308249477498835,	0.8525105088720245,	400
2319483600.0,	34.229033419272255,	0.4921954287371588,	0.02386222275164002,	0.136793828926411,	0.5336001384344189,	0.8568404314068675,	400
2335262400.0,	34.229033419272255,	0.4921954287371588,	0.024012570481100108,	0.13738603462106252,	0.5363307413170465,	0.8610911929972752,	400
2351041200.0,	34.229033419272255,	0.4921954287371588,	0.024101460710231427,	0.13773095669412821,	0.537859263627361,	0.8636007479618236,	400
2366820000.0,	34.229033419272255,	0.4921954287371588,	0.024142195263337433,	0.13788746892708734,	0.5385312205571524,	0.8647501129770052,	400
