time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2035465200.0,	55.37140281624484,	13.908095510165783,	0.015,	0.05,	0.2,	0.2,	400
2051244000.0,	55.37140281624484,	13.908095510165783,	0.01500620265651973,	0.052165684964579156,	0.20445178413046852,	0.2314334816520116,	400
2067022800.0,	55.37140281624484,	13.908095510165783,	0.015015791074575437,	0.05533659605075165,	0.21641841668929676,	0.2691009377589733,	400
2082801600.0,	55.37140281624484,	13.908095510165783,	0.01503021976895835,	0.05973976198488823,	0.24068018550935366,	0.3099406110103374,	400
2098580400.0,	55.37140281624484,	13.908095510165783,	0.015054895470987508,	0.06598964566120577,	0.27908504323730704,	0.3563642242971898,	400
2114359200.0,	55.37140281624484,	13.908095510165783,	0.015105138256178673,	0.07349390872866923,	0.31418275269215096,	0.41024769577034337,	400
2130138000.0,	55.37140281624484,	13.908095510165783,	0.015218402325382333,	0.08230698791085074,	0.3506715071684666,	0.4681233284549156,	400
2145916800.0,	55.37140281624484,	13.908095510165783,	0.015485908711637698,	0.09160292888395827,	0.38331105663765247,	0.5263918885090962,	400
2161695600.0,	55.37140281624484,	13.908095510165783,	0.01604331016225741,	0.1004375750564061,	0.4110902435646028,	0.5801643266533407,	400
2177474400.0,	55.37140281624484,	13.908095510165783,	0.016952186660620972,	0.10857705606250662,	0.4368199473276082,	0.6286025713785648,	400
2193253200.0,	55.37140281624484,	13.908095510165783,	0.01809685457182912,	0.11588237385594874,	0.4608362410717626,	0.6724574914715311,	400
2209032000.0,	55.37140281624484,	13.908095510165783,	0.01928310241663258,	0.12214802923453912,	0.48169476293193686,	0.7116700350923034,	400
2224810800.0,	55.37140281624484,	13.908095510165783,	0.020698227196702522,	0.1292438275134473,	0.5129651303297074,	0.7556277737708372,	400
2240589600.0,	55.37140281624484,	13.908095510165783,	0.021977138448025575,	0.13552072834495396,	0.5458985049119662,	0.7930474796325199,	400
2256368400.0,	55.37140281624484,	13.908095510165783,	0.0231356796865641,	0.14088056506016056,	0.5745758634927156,	0.8254833667101277,	400
2272147200.0,	55.37140281624484,	13.908095510165783,	0.0242250455793836,	0.14547119430218614,	0.5972033249424591,	0.8552482076580994,	400
2287926000.0,	55.37140281624484,	13.908095510165783,	0.025288324494319638,	0.14974637349861208,	0.6185219908198512,	0.8840738104053999,	400
2303704800.0,	55.37140281624484,	13.908095510165783,	0.026209670233051985,	0.15354135384781323,	0.640234969078597,	0.9089006061016733,	400
2319483600.0,	55.37140281624484,	13.908095510165783,	0.02708408867390749,	0.15689491381019394,	0.6580419116787665,	0.9321381998745241,	400
2335262400.0,	55.37140281624484,	13.908095510165783,	0.027902599368624808,	0.15987761914843998,	0.6731777734464959,	0.9537736370167317,	400
2351041200.0,	55.37140281624484,	13.908095510165783,	0.028626783041247356,	0.16259733458395345,	0.6890040787448851,	0.9728788557642027,	400
2366820000.0,	55.37140281624484,	13.908095510165783,	0.029370219461009088,	0.16528715751718298,	0.7044705850288165,	0.9923297632146973,	400
2382598800.0,	55.37140281624484,	13.908095510165783,	0.030128670973660523,	0.1679838739454679,	0.7204792045861689,	1.0120469862951234,	400
2398377600.0,	55.37140281624484,	13.908095510165783,	0.030690978781565452,	0.17006748712808034,	0.7343359509310301,	1.0265797393898068,	400
2414156400.0,	55.37140281624484,	13.908095510165783,	0.03115449123723462,	0.17171672141854166,	0.7446816099393074,	1.0384579268787082,	400
2429935200.0,	55.37140281624484,	13.908095510165783,	0.03191574897447182,	0.17396248597281733,	0.7538866541104127,	1.0578454346665218,	400
2445714000.0,	55.37140281624484,	13.908095510165783,	0.03259015417345213,	0.17591504477460357,	0.7619074460090044,	1.0751622802010803,	400
2461492800.0,	55.37140281624484,	13.908095510165783,	0.03320165785419095,	0.17766463880082498,	0.7692998553071259,	1.090947183342617,	400
2477271600.0,	55.37140281624484,	13.908095510165783,	0.03368935752226284,	0.17903815482116733,	0.77503014358928,	1.103580143178206,	400
2493050400.0,	55.37140281624484,	13.908095510165783,	0.03427804764451902,	0.18069709312541699,	0.7826725029157804,	1.1188483349410443,	400
2508829200.0,	55.37140281624484,	13.908095510165783,	0.03479738924590695,	0.18214105734622374,	0.789390072674418,	1.132323898553095,	400
2524608000.0,	55.37140281624484,	13.908095510165783,	0.0351601507063914,	0.18312910735320892,	0.7937554439676233,	1.1417406327721074,	400
2540386800.0,	55.37140281624484,	13.908095510165783,	0.035708840159571945,	0.1845583036858226,	0.7995364712780713,	1.1559716773329398,	400
2556165600.0,	55.37140281624484,	13.908095510165783,	0.03644340665362422,	0.1864773151268809,	0.8085281224694962,	1.175031743833963,	400
2571944400.0,	55.37140281624484,	13.908095510165783,	0.03715068224172375,	0.1883029610819572,	0.8174686622455919,	1.1933646492878802,	400
2587723200.0,	55.37140281624484,	13.908095510165783,	0.03765677858665232,	0.18957990047197,	0.8234224492846657,	1.2064679415185253,	400
2603502000.0,	55.37140281624484,	13.908095510165783,	0.038079494844113215,	0.19063385819549183,	0.8283288354988104,	1.2174057714526356,	400
2619280800.0,	55.37140281624484,	13.908095510165783,	0.038620058578836644,	0.19198344450195362,	0.8352231050342858,	1.2313715306911324,	400
2635059600.0,	55.37140281624484,	13.908095510165783,	0.03912301994866636,	0.1932263828551281,	0.8416980869264807,	1.2443368382140945,	400
2650838400.0,	55.37140281624484,	13.908095510165783,	0.03942519085280684,	0.19395856063786204,	0.8452739968205175,	1.2521150862070065,	400
2666617200.0,	55.37140281624484,	13.908095510165783,	0.039792363967288046,	0.19484801798015178,	0.8498631945160986,	1.2615542013593237,	400
2682396000.0,	55.37140281624484,	13.908095510165783,	0.04005153125265703,	0.19546854853364976,	0.8529792713653233,	1.268209377076245,	400
2698174800.0,	55.37140281624484,	13.908095510165783,	0.04035172137837766,	0.1961865393541254,	0.8567282415925457,	1.2759087467103547,	400
2713953600.0,	55.37140281624484,	13.908095510165783,	0.040530866185968115,	0.19661017790994,	0.8588575785050471,	1.2804998539581347,	400
2729732400.0,	55.37140281624484,	13.908095510165783,	0.04087415783713016,	0.1974283495909798,	0.8633700615981823,	1.2892844663287286,	400
2745511200.0,	55.37140281624484,	13.908095510165783,	0.04109492226658854,	0.19794785668375192,	0.8661307990131636,	1.2949257936922371,	400
2761290000.0,	55.37140281624484,	13.908095510165783,	0.041371613661290524,	0.1985993961528161,	0.8697415569348542,	1.3019867093129571,	400
