time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
63115200.0,	42.856077252260704,	9.896263810624985,	0.015,	0.05,	0.2,	0.2,	400
78894000.0,	42.856077252260704,	9.896263810624985,	0.01500922384105341,	0.05369805315243639,	0.21358059060281598,	0.24674237080291744,	400
94672800.0,	42.856077252260704,	9.896263810624985,	0.015023218933436446,	0.059347556086026564,	0.24970450836490646,	0.29530251983334044,	400
110451600.0,	42.856077252260704,	9.896263810624985,	0.01504909392213671,	0.0669457549326724,	0.2926184095422808,	0.35193318071604013,	400
126230400.0,	42.856077252260704,	9.896263810624985,	0.01510815331491594,	0.07670570994681103,	0.3384667301803868,	0.4174247736381475,	400
142009200.0,	42.856077252260704,	9.896263810624985,	0.015270693443372606,	0.08814880055003166,	0.38252184831552644,	0.4886150315925113,	400
157788000.0,	42.856077252260704,	9.896263810624985,	0.015652523628190494,	0.09985347332630087,	0.4340485651741253,	0.5462576382529127,	400
173566800.0,	42.856077252260704,	9.896263810624985,	0.01649837527896915,	0.1100732033841487,	0.46480165971810133,	0.6024635875352946,	400
189345600.0,	42.856077252260704,	9.896263810624985,	0.017705198118509034,	0.11877014991354838,	0.49007680676086696,	0.6512738942184516,	400
205124400.0,	42.856077252260704,	9.896263810624985,	0.018889193382557644,	0.12688162938104156,	0.5256669568801385,	0.6907543594300068,	400
220903200.0,	42.856077252260704,	9.896263810624985,	0.020023986909094117,	0.1338697797222264,	0.5576659724468027,	0.7247272374150531,	400
236682000.0,	42.856077252260704,	9.896263810624985,	0.021015001131998154,	0.13885254856900103,	0.5749822864079689,	0.752943450324131,	400
252460800.0,	42.856077252260704,	9.896263810624985,	0.0218707506677895,	0.14334451812863683,	0.5944349889158776,	0.7772721861007356,	400
268239600.0,	42.856077252260704,	9.896263810624985,	0.022714217545427292,	0.14781865367323646,	0.6164933262661602,	0.8008782161219494,	400
284018400.0,	42.856077252260704,	9.896263810624985,	0.02347521054604748,	0.15155680426341275,	0.6337662224786537,	0.8217535347151844,	400
299797200.0,	42.856077252260704,	9.896263810624985,	0.024070237760307464,	0.15428587520059453,	0.6452252392658847,	0.8379417700541508,	400
315576000.0,	42.856077252260704,	9.896263810624985,	0.02457343084001816,	0.15651804010796716,	0.6543666568139951,	0.8516101592676865,	400
331354800.0,	42.856077252260704,	9.896263810624985,	0.024986588088343153,	0.15830107642364852,	0.6614910593793795,	0.8628263190661634,	400
347133600.0,	42.856077252260704,	9.896263810624985,	0.02539103131998975,	0.1600280225117527,	0.6685939927446978,	0.8738014846369424,	400
362912400.0,	42.856077252260704,	9.896263810624985,	0.025589077521361133,	0.16082432609690758,	0.6713386691228795,	0.8791750501585958,	400
378691200.0,	42.856077252260704,	9.896263810624985,	0.0257552494408879,	0.16148768248720588,	0.6736251035998864,	0.8836886634705392,	400
394470000.0,	42.856077252260704,	9.896263810624985,	0.02598625205074511,	0.1624136721280137,	0.6770227884519812,	0.8899655290285837,	400
410248800.0,	42.856077252260704,	9.896263810624985,	0.02604924904736208,	0.1626604976801511,	0.6778499131360054,	0.8916792375872262,	400
426027600.0,	42.856077252260704,	9.896263810624985,	0.026061344349968592,	0.1627076039503762,	0.678003495594908,	0.8920084335249873,	400
441806400.0,	42.856077252260704,	9.896263810624985,	0.026172732302024302,	0.16314551778429373,	0.6795331056658417,	0.8950387807349334,	400
457585200.0,	42.856077252260704,	9.896263810624985,	0.02620113240453219,	0.16325600475794108,	0.6799023537777483,	0.8958119445055436,	400
