time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2919078000.0,	28.512164467749656,	9.69206353821957,	0.015,	0.05,	0.2,	0.2,	400
2934856800.0,	28.512164467749656,	9.69206353821957,	0.015000743718125232,	0.0502351118215351,	0.2001743664326131,	0.20376922198798716,	400
2950635600.0,	28.512164467749656,	9.69206353821957,	0.01500165005599024,	0.05051627027962202,	0.20039830477664025,	0.20822546974382408,	400
2966414400.0,	28.512164467749656,	9.69206353821957,	0.01500251608951956,	0.05077825333207871,	0.2006151528336852,	0.2123328934251806,	400
2982193200.0,	28.512164467749656,	9.69206353821957,	0.015003372926349783,	0.05103150917659996,	0.2008335071940351,	0.21626316076274457,	400
2997972000.0,	28.512164467749656,	9.69206353821957,	0.015005110844660262,	0.05153918921926573,	0.20136628664178996,	0.22398245565426078,	400
3013750800.0,	28.512164467749656,	9.69206353821957,	0.015007411048021078,	0.052186884935788574,	0.2021662782929815,	0.2335687621380421,	400
3029529600.0,	28.512164467749656,	9.69206353821957,	0.015010190913547598,	0.052931888067998374,	0.20323697177432126,	0.2442605765671725,	400
3045308400.0,	28.512164467749656,	9.69206353821957,	0.015013997613349095,	0.053904026501194864,	0.20498119682665353,	0.25762468175290276,	400
3061087200.0,	28.512164467749656,	9.69206353821957,	0.015019519039295907,	0.055242509795989506,	0.2081860461006088,	0.2748699292599332,	400
3076866000.0,	28.512164467749656,	9.69206353821957,	0.015027046693737119,	0.05693606409622441,	0.21344256117900604,	0.2949811476808604,	400
3092644800.0,	28.512164467749656,	9.69206353821957,	0.015036384143115509,	0.05880158824161403,	0.22008732781013132,	0.3155802676704441,	400
