time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
3376663200.0,	28.31121998820909,	4.97595855650485,	0.015,	0.05,	0.2,	0.2,	400
3392442000.0,	28.31121998820909,	4.97595855650485,	0.015000955446734502,	0.050302733018175415,	0.2002341138011129,	0.20484226687826684,	400
3408220800.0,	28.31121998820909,	4.97595855650485,	0.01500207369240316,	0.05064841028440981,	0.20052398720507478,	0.21029309583661013,	400
3423999600.0,	28.31121998820909,	4.97595855650485,	0.01500327186574878,	0.05100807264869642,	0.20084727963973462,	0.2158813047556363,	400
3439778400.0,	28.31121998820909,	4.97595855650485,	0.015004820288823674,	0.051460337911714345,	0.20130434858295856,	0.22278091692948512,	400
3455557200.0,	28.31121998820909,	4.97595855650485,	0.015006933685524542,	0.05205806502933221,	0.20201247433610803,	0.2316772749544271,	400
3471336000.0,	28.31121998820909,	4.97595855650485,	0.015009642364744702,	0.05279146368777783,	0.20303991463537355,	0.24226297626493545,	400
3487114800.0,	28.31121998820909,	4.97595855650485,	0.015013077386031526,	0.05367394877560419,	0.20452311010622298,	0.25453171925907725,	400
3502893600.0,	28.31121998820909,	4.97595855650485,	0.015018281939451511,	0.05495298104357628,	0.20743349988941195,	0.2712379759804478,	400
3518672400.0,	28.31121998820909,	4.97595855650485,	0.015025422919264881,	0.05658765672289722,	0.21229199191481726,	0.29096539736502713,	400
3534451200.0,	28.31121998820909,	4.97595855650485,	0.015035198871196599,	0.05863549728806984,	0.22001044866152952,	0.31339248249030455,	400
3550230000.0,	28.31121998820909,	4.97595855650485,	0.015047532266305922,	0.06085467558062787,	0.2290558951227969,	0.33598360819719914,	400
3566008800.0,	28.31121998820909,	4.97595855650485,	0.015063425854504127,	0.06324903663070702,	0.2392040531371403,	0.35880284801374007,	400
3581787600.0,	28.31121998820909,	4.97595855650485,	0.015085629547435033,	0.0660351097188185,	0.2518318653843335,	0.38329668269701955,	400
3597566400.0,	28.31121998820909,	4.97595855650485,	0.015117110145285667,	0.06914399075665807,	0.26587725030363407,	0.4089453033074115,	400
3613345200.0,	28.31121998820909,	4.97595855650485,	0.015157736772035055,	0.07204580580764128,	0.2772457356840855,	0.43259165800810945,	400
3629124000.0,	28.31121998820909,	4.97595855650485,	0.015224033839404431,	0.07588650806996704,	0.29467403085585897,	0.46067130862832845,	400
3644902800.0,	28.31121998820909,	4.97595855650485,	0.015321160454812707,	0.07975412257565642,	0.31023281945161707,	0.48835952274887895,	400
3660681600.0,	28.31121998820909,	4.97595855650485,	0.01541739059654251,	0.08359314826040644,	0.3358641863882343,	0.5070290277990891,	400
3676460400.0,	28.31121998820909,	4.97595855650485,	0.01553011470658119,	0.08642142134071311,	0.34868496203259747,	0.5232467673854221,	400
3692239200.0,	28.31121998820909,	4.97595855650485,	0.015657535156790175,	0.0889484903836337,	0.35892375708665936,	0.5379681863201075,	400
3708018000.0,	28.31121998820909,	4.97595855650485,	0.015826433256132224,	0.09119927045832729,	0.36307209885983865,	0.5542104998322576,	400
3723796800.0,	28.31121998820909,	4.97595855650485,	0.015999897950536638,	0.09374448533963924,	0.3738280206329529,	0.5683597279588901,	400
3739575600.0,	28.31121998820909,	4.97595855650485,	0.016153992675120663,	0.09561690284730075,	0.3807141530989503,	0.5791376036708119,	400
