time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
788940000.0,	20.53680161816892,	11.779642171693462,	0.015,	0.05,	0.2,	0.2,	400
804718800.0,	20.53680161816892,	11.779642171693462,	0.015000310028216621,	0.050130658399210985,	0.20054682887887756,	0.2015712556182698,	400
820497600.0,	20.53680161816892,	11.779642171693462,	0.015000520402405813,	0.05021804657679273,	0.20090610421416089,	0.20262506612970477,	400
836276400.0,	20.53680161816892,	11.779642171693462,	0.01500105541810451,	0.05038489438252576,	0.20102626211755156,	0.20528401383688263,	400
852055200.0,	20.53680161816892,	11.779642171693462,	0.015001596822466564,	0.05055127199913118,	0.20114972731676808,	0.2079175026415367,	400
867834000.0,	20.53680161816892,	11.779642171693462,	0.015002339018606325,	0.05077648768322485,	0.20132832510934554,	0.21145136513522367,	400
883612800.0,	20.53680161816892,	11.779642171693462,	0.015003195374617737,	0.05103152908265628,	0.20154267547050517,	0.21541308503332574,	400
899391600.0,	20.53680161816892,	11.779642171693462,	0.015004842732660015,	0.051515673538088426,	0.2020304336973329,	0.22279079736199944,	400
915170400.0,	20.53680161816892,	11.779642171693462,	0.015007269584949091,	0.05220642560667686,	0.20287807741151823,	0.23301725096015083,	400
930949200.0,	20.53680161816892,	11.779642171693462,	0.015010281412184093,	0.05302055337975717,	0.20406351998249045,	0.24466711683829853,	400
946728000.0,	20.53680161816892,	11.779642171693462,	0.015013818344771612,	0.05391837045430428,	0.20558849538888638,	0.2570513030915364,	400
962506800.0,	20.53680161816892,	11.779642171693462,	0.015019118315596398,	0.05520216465362002,	0.20851808081293804,	0.2736990115351491,	400
978285600.0,	20.53680161816892,	11.779642171693462,	0.015026047569936031,	0.05675067111468297,	0.21294661389949598,	0.29241837950184746,	400
994064400.0,	20.53680161816892,	11.779642171693462,	0.015034862549587087,	0.058527102776021,	0.2189851622674038,	0.3123583914979995,	400
1009843200.0,	20.53680161816892,	11.779642171693462,	0.015046356606381386,	0.060581516697033995,	0.22704056737127903,	0.33364489176508544,	400
1025622000.0,	20.53680161816892,	11.779642171693462,	0.015062860524207557,	0.06319730172762239,	0.23919740921032692,	0.35798593277967544,	400
1041400800.0,	20.53680161816892,	11.779642171693462,	0.015084835321851151,	0.06596775767941804,	0.2516208472963145,	0.38245284653380746,	400
1057179600.0,	20.53680161816892,	11.779642171693462,	0.015114191738098286,	0.06882256288351593,	0.26373558310021883,	0.40661987649352266,	400
1072958400.0,	20.53680161816892,	11.779642171693462,	0.015152810623560987,	0.07165842438234958,	0.2749684683640587,	0.4298539680095066,	400
1088737200.0,	20.53680161816892,	11.779642171693462,	0.015207492770498187,	0.07476623527900274,	0.2874431007631745,	0.4539532591153673,	400
1104516000.0,	20.53680161816892,	11.779642171693462,	0.015280967256604364,	0.07785345833690259,	0.2990851104942351,	0.4772025225471086,	400
1120294800.0,	20.53680161816892,	11.779642171693462,	0.015377366649398382,	0.08087734396471184,	0.3099184191165429,	0.4993747825695212,	400
1136073600.0,	20.53680161816892,	11.779642171693462,	0.015496032247390575,	0.08369021882244541,	0.3193800154895059,	0.5196456236658088,	400
1151852400.0,	20.53680161816892,	11.779642171693462,	0.015656677814609537,	0.08675049652633822,	0.3301430847748077,	0.5408137258778525,	400
1167631200.0,	20.53680161816892,	11.779642171693462,	0.015864248012716083,	0.08989429562912458,	0.34127022610664726,	0.5619464809784618,	400
1183410000.0,	20.53680161816892,	11.779642171693462,	0.016151890464632085,	0.09348786011379735,	0.354979798837828,	0.5850628997726404,	400
1199188800.0,	20.53680161816892,	11.779642171693462,	0.016495610955015918,	0.09690880230540283,	0.36747712983523706,	0.6069323414948071,	400
1214967600.0,	20.53680161816892,	11.779642171693462,	0.016834388762867365,	0.09966778869287368,	0.3765298863743972,	0.6248754853414987,	400
1230746400.0,	20.53680161816892,	11.779642171693462,	0.017183653133632484,	0.10218849583128697,	0.38473983601828965,	0.6413042477845874,	400
1246525200.0,	20.53680161816892,	11.779642171693462,	0.01752056841969902,	0.10439366230233571,	0.3917858581955515,	0.6557981186306143,	400
1262304000.0,	20.53680161816892,	11.779642171693462,	0.017834774223468176,	0.10630231962315724,	0.3977925335863969,	0.6684708443071053,	400
1278082800.0,	20.53680161816892,	11.779642171693462,	0.018106317195689215,	0.10785572296354048,	0.40254016210493276,	0.6789224788638976,	400
1293861600.0,	20.53680161816892,	11.779642171693462,	0.01836008778941625,	0.10924999836925103,	0.4068254274945002,	0.6883781179850922,	400
1309640400.0,	20.53680161816892,	11.779642171693462,	0.01861170855398215,	0.11058988449511523,	0.41104211896192067,	0.6975142114329159,	400
1325419200.0,	20.53680161816892,	11.779642171693462,	0.018820624418309752,	0.11166496564449924,	0.4143532784595226,	0.7049322688847417,	400
1341198000.0,	20.53680161816892,	11.779642171693462,	0.019056774477022444,	0.11285991219075917,	0.4182340517832334,	0.7131829475462006,	400
1356976800.0,	20.53680161816892,	11.779642171693462,	0.019318514403119817,	0.11415991555162341,	0.4226745449051622,	0.7221731848657231,	400
1372755600.0,	20.53680161816892,	11.779642171693462,	0.019537399093077293,	0.1152148460447737,	0.42620115489187776,	0.729563537013283,	400
1388534400.0,	20.53680161816892,	11.779642171693462,	0.01974316843017084,	0.11618715300874252,	0.4294784010047634,	0.7364254238679826,	400
1404313200.0,	20.53680161816892,	11.779642171693462,	0.019882899810310228,	0.1168315398575352,	0.43155324600273,	0.7410371689790636,	400
1420092000.0,	20.53680161816892,	11.779642171693462,	0.020099914363861052,	0.11783247272971313,	0.43508933733583083,	0.7481524641021311,	400
1435870800.0,	20.53680161816892,	11.779642171693462,	0.02028963202025676,	0.11869057321184398,	0.43809882613992845,	0.7543106750911968,	400
1451649600.0,	20.53680161816892,	11.779642171693462,	0.020564236135665576,	0.11993180153554012,	0.4429093460428666,	0.7631499658056595,	400
1467428400.0,	20.53680161816892,	11.779642171693462,	0.020777889474704405,	0.12087039509735681,	0.4464053903661741,	0.7699461040131292,	400
1483207200.0,	20.53680161816892,	11.779642171693462,	0.02095531825280292,	0.1216355862580229,	0.44920918297025714,	0.7755464453073334,	400
1498986000.0,	20.53680161816892,	11.779642171693462,	0.021081166470132078,	0.12216917465628421,	0.45110260439053823,	0.7794964338372941,	400
1514764800.0,	20.53680161816892,	11.779642171693462,	0.021191176853355795,	0.12263146223425134,	0.45273952966987846,	0.7829369140774765,	400
1530543600.0,	20.53680161816892,	11.779642171693462,	0.021269303380356614,	0.12295662177970124,	0.45387011081755,	0.7853731698980683,	400
1546322400.0,	20.53680161816892,	11.779642171693462,	0.021386407160156135,	0.12344414208235582,	0.4556414562803188,	0.7890168797738615,	400
