time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
4149824400.0,	11.053506151069337,	8.628190625828772,	0.015,	0.05,	0.2,	0.2,	400
4165603200.0,	11.053506151069337,	8.628190625828772,	0.015000794191870264,	0.050353454547687804,	0.20167344800078027,	0.20402502444998838,	400
4181382000.0,	11.053506151069337,	8.628190625828772,	0.015001662723305638,	0.050738581991252765,	0.20354697865419083,	0.20829865317523985,	400
4197160800.0,	11.053506151069337,	8.628190625828772,	0.01500270249178223,	0.05120284299489348,	0.20591575031191273,	0.2132552605454573,	400
4212939600.0,	11.053506151069337,	8.628190625828772,	0.015003703849016357,	0.05163921520197083,	0.2081254904386922,	0.21785488869400374,	400
4228718400.0,	11.053506151069337,	8.628190625828772,	0.015004836087831435,	0.05213126906866492,	0.21069425305147174,	0.2228761957509031,	400
4244497200.0,	11.053506151069337,	8.628190625828772,	0.015006399103567191,	0.05283412468515309,	0.21470961852798928,	0.22954329316642336,	400
4260276000.0,	11.053506151069337,	8.628190625828772,	0.015008112209242815,	0.05359015536650352,	0.21906647190692988,	0.23647833081381692,	400
4276054800.0,	11.053506151069337,	8.628190625828772,	0.015009920083582512,	0.054361859451463976,	0.22346946112841634,	0.24339770998461382,	400
4291833600.0,	11.053506151069337,	8.628190625828772,	0.01501182435942099,	0.05514517142331846,	0.22788393898586493,	0.25027561804052456,	400
4307612400.0,	11.053506151069337,	8.628190625828772,	0.015014068799139944,	0.056057489154758514,	0.2331640669557148,	0.2579127588753748,	400
