time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
284018400.0,	89.12241172456282,	2.572983237896894,	0.015,	0.05,	0.2,	0.2,	400
299797200.0,	89.12241172456282,	2.572983237896894,	0.01500796238208613,	0.05663982928384966,	0.26183061437002214,	0.24035046550959305,	400
315576000.0,	89.12241172456282,	2.572983237896894,	0.01503089403447007,	0.0683302913933137,	0.32133371057639404,	0.3282427602079788,	400
331354800.0,	89.12241172456282,	2.572983237896894,	0.01509080475671824,	0.08604198336843898,	0.42034364124718554,	0.41372456558727216,	400
347133600.0,	89.12241172456282,	2.572983237896894,	0.015447331373802723,	0.11134163465154376,	0.5018927465032688,	0.5477731814430565,	400
362912400.0,	89.12241172456282,	2.572983237896894,	0.017885439904695658,	0.13411353999572467,	0.5800842994417221,	0.6630406616783688,	400
378691200.0,	89.12241172456282,	2.572983237896894,	0.021679507328987088,	0.15283235250243232,	0.6707543196537599,	0.7522260837942424,	400
394470000.0,	89.12241172456282,	2.572983237896894,	0.02474512547358003,	0.1706368723026002,	0.7781998246102532,	0.838016496212789,	400
410248800.0,	89.12241172456282,	2.572983237896894,	0.028148739013232463,	0.18518869201195895,	0.8539280938331559,	0.9209816558381778,	400
426027600.0,	89.12241172456282,	2.572983237896894,	0.030440240674749843,	0.19843321006571643,	0.9566135993656874,	0.9793457072589801,	400
441806400.0,	89.12241172456282,	2.572983237896894,	0.03222298990356355,	0.2092062164358077,	1.0431846933506195,	1.0203462845555598,	400
457585200.0,	89.12241172456282,	2.572983237896894,	0.033692309746988815,	0.21792782948516648,	1.1112638357717861,	1.0523929261898741,	400
473364000.0,	89.12241172456282,	2.572983237896894,	0.03450849426719663,	0.22357784068971784,	1.1583131106081601,	1.0697919795171036,	400
489142800.0,	89.12241172456282,	2.572983237896894,	0.03518976400666536,	0.22833857563855797,	1.197611567295099,	1.0839569711322063,	400
504921600.0,	89.12241172456282,	2.572983237896894,	0.03610903586114476,	0.23395331772897332,	1.240553118982214,	1.1026970891952275,	400
520700400.0,	89.12241172456282,	2.572983237896894,	0.03669249203653557,	0.23767786390862142,	1.269377423799214,	1.1145189000461337,	400
536479200.0,	89.12241172456282,	2.572983237896894,	0.03732707117938124,	0.24187530590245457,	1.3029160295208313,	1.1272837069380062,	400
552258000.0,	89.12241172456282,	2.572983237896894,	0.03768158218090754,	0.24434821989747393,	1.3229588679207258,	1.1343543712825184,	400
568036800.0,	89.12241172456282,	2.572983237896894,	0.0379949424894584,	0.24660207236726348,	1.3415048657719326,	1.1405625333044194,	400
583815600.0,	89.12241172456282,	2.572983237896894,	0.03817224630029,	0.2479024133840617,	1.3522086787741558,	1.1440536145698026,	400
