time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1940792400.0,	4.739650013987351,	8.520242549698652,	0.015,	0.05,	0.2,	0.2,	400
1956571200.0,	4.739650013987351,	8.520242549698652,	0.015002557180513774,	0.05082686295780246,	0.20087054680903174,	0.21295970864777664,	400
1972350000.0,	4.739650013987351,	8.520242549698652,	0.015006260746410004,	0.05196360764838039,	0.20249318975720315,	0.22986672376652242,	400
1988128800.0,	4.739650013987351,	8.520242549698652,	0.015011702851350908,	0.053534468343321734,	0.20574982733599534,	0.25147858652508776,	400
2003907600.0,	4.739650013987351,	8.520242549698652,	0.015019367246898611,	0.055579222827341825,	0.21182941363428537,	0.2767861589330281,	400
2019686400.0,	4.739650013987351,	8.520242549698652,	0.015030234001952253,	0.05822149490668588,	0.22259429604272593,	0.30533884677485074,	400
2035465200.0,	4.739650013987351,	8.520242549698652,	0.01504545066109978,	0.06138296498514642,	0.23748485754131157,	0.3355688929828403,	400
2051244000.0,	4.739650013987351,	8.520242549698652,	0.015069993836071108,	0.06577327235544937,	0.2623708664071265,	0.3706895320077215,	400
2067022800.0,	4.739650013987351,	8.520242549698652,	0.015111682323196983,	0.07091249672462639,	0.28786401001352313,	0.40938794488605185,	400
2082801600.0,	4.739650013987351,	8.520242549698652,	0.015184554327645906,	0.0764410718035425,	0.3111071315513456,	0.4494746896460814,	400
2098580400.0,	4.739650013987351,	8.520242549698652,	0.015314279319088584,	0.08232688350472268,	0.3336964974273022,	0.4899449950213185,	400
2114359200.0,	4.739650013987351,	8.520242549698652,	0.015537740183707942,	0.08826774026498942,	0.3545613803185913,	0.5292190056842639,	400
2130138000.0,	4.739650013987351,	8.520242549698652,	0.015884018335086035,	0.09386776788755224,	0.3726623992059694,	0.5653804162607682,	400
2145916800.0,	4.739650013987351,	8.520242549698652,	0.016356693966299626,	0.09903690478487959,	0.38880483793283555,	0.5981665252191873,	400
2161695600.0,	4.739650013987351,	8.520242549698652,	0.01694280341594551,	0.10389283521067709,	0.40424713782476607,	0.6285888006253629,	400
2177474400.0,	4.739650013987351,	8.520242549698652,	0.017607917069996343,	0.1084140189155246,	0.4190169390207349,	0.6569495332890022,	400
2193253200.0,	4.739650013987351,	8.520242549698652,	0.018300032366385215,	0.11249203369409132,	0.4325059748429457,	0.6829358051789736,	400
2209032000.0,	4.739650013987351,	8.520242549698652,	0.0189877482592593,	0.11615670819461846,	0.4448337055799903,	0.7067999254762786,	400
2224810800.0,	4.739650013987351,	8.520242549698652,	0.019689825768031445,	0.11965138005815297,	0.4572541023663724,	0.7299680219501647,	400
2240589600.0,	4.739650013987351,	8.520242549698652,	0.02038837386453928,	0.122930529066825,	0.46937855881676055,	0.7521890403243531,	400
2256368400.0,	4.739650013987351,	8.520242549698652,	0.021039089863689412,	0.12582115385448486,	0.4800857065456844,	0.7723432256850996,	400
2272147200.0,	4.739650013987351,	8.520242549698652,	0.021667394633400092,	0.12850223013382414,	0.4903144910395371,	0.7914554435825811,	400
2287926000.0,	4.739650013987351,	8.520242549698652,	0.022281825077103072,	0.13103634654742016,	0.500331334535925,	0.8098809283494471,	400
2303704800.0,	4.739650013987351,	8.520242549698652,	0.022853316375304626,	0.13331277585377133,	0.5094115887091264,	0.8268154451843658,	400
2319483600.0,	4.739650013987351,	8.520242549698652,	0.02347375453722644,	0.1357401858735573,	0.5199255642926214,	0.8450250219760763,	400
2335262400.0,	4.739650013987351,	8.520242549698652,	0.024054506873986515,	0.1379393107941166,	0.5295026837109642,	0.8618869976277813,	400
2351041200.0,	4.739650013987351,	8.520242549698652,	0.02460759220753444,	0.1399782619756268,	0.5385198854893646,	0.8778110930363531,	400
2366820000.0,	4.739650013987351,	8.520242549698652,	0.025148750440031238,	0.14192930118406855,	0.547377559490882,	0.893279814927498,	400
2382598800.0,	4.739650013987351,	8.520242549698652,	0.025629876182776203,	0.14361780044243241,	0.5549581416365106,	0.906943478320977,	400
2398377600.0,	4.739650013987351,	8.520242549698652,	0.02605405022810675,	0.1450732426076152,	0.5614334712461776,	0.9189329558304175,	400
2414156400.0,	4.739650013987351,	8.520242549698652,	0.02645210272983209,	0.1464171719400377,	0.5674824950879711,	0.930142932566223,	400
2429935200.0,	4.739650013987351,	8.520242549698652,	0.026854424216647833,	0.1477597772136273,	0.5737178621787781,	0.9414336932395734,	400
2445714000.0,	4.739650013987351,	8.520242549698652,	0.027183032732838622,	0.1488345112561012,	0.5785865345673736,	0.9506242686876634,	400
2461492800.0,	4.739650013987351,	8.520242549698652,	0.02751928175963797,	0.14992483666944664,	0.5836728795191073,	0.9600045813125863,	400
2477271600.0,	4.739650013987351,	8.520242549698652,	0.02776579798753183,	0.15070943424412261,	0.5871943057658253,	0.9668651200914022,	400
2493050400.0,	4.739650013987351,	8.520242549698652,	0.02833391666833851,	0.152576804747476,	0.5978435490218154,	0.9826263675198433,	400
2508829200.0,	4.739650013987351,	8.520242549698652,	0.028884011974146005,	0.1543434234963946,	0.6079540786461374,	0.9977446601397653,	400
2524608000.0,	4.739650013987351,	8.520242549698652,	0.029364153331351717,	0.15584311721435495,	0.6162896314414765,	1.010840089877337,	400
2540386800.0,	4.739650013987351,	8.520242549698652,	0.029782132585662344,	0.15712056480657627,	0.6232441487165622,	1.022182203235439,	400
2556165600.0,	4.739650013987351,	8.520242549698652,	0.030186320983804617,	0.1583401298521109,	0.6299573809126805,	1.0331087129306187,	400
2571944400.0,	4.739650013987351,	8.520242549698652,	0.030562197880601914,	0.1594587039629548,	0.6361216490458168,	1.0432344923103112,	400
2587723200.0,	4.739650013987351,	8.520242549698652,	0.030875025300600687,	0.16037451028317823,	0.641062138121534,	1.051637861004708,	400
2603502000.0,	4.739650013987351,	8.520242549698652,	0.031135755237751053,	0.16112810828107038,	0.6450647708031557,	1.0586281940497162,	400
2619280800.0,	4.739650013987351,	8.520242549698652,	0.03138394485456448,	0.16184035720965415,	0.6488754269274096,	1.0652721312753126,	400
2635059600.0,	4.739650013987351,	8.520242549698652,	0.03161484767986035,	0.16249819776471028,	0.65240754819075,	1.0714443256186792,	400
2650838400.0,	4.739650013987351,	8.520242549698652,	0.03178978963163622,	0.16299139596547524,	0.655000536859015,	1.0761152762207422,	400
2666617200.0,	4.739650013987351,	8.520242549698652,	0.03191760293359624,	0.16334884184201343,	0.6568462203587494,	1.0795255485715352,	400
2682396000.0,	4.739650013987351,	8.520242549698652,	0.03204535859404066,	0.16370518289714112,	0.6587013917258839,	1.082932311360749,	400
2698174800.0,	4.739650013987351,	8.520242549698652,	0.03216176952783785,	0.1640286936043291,	0.6603877303562571,	1.086034827436671,	400
2713953600.0,	4.739650013987351,	8.520242549698652,	0.03223170181516608,	0.16422178525369088,	0.6613735636743359,	1.0878980026624105,	400
2729732400.0,	4.739650013987351,	8.520242549698652,	0.03224196991599503,	0.16424995764965122,	0.6615129409643131,	1.08817157249607,	400
2745511200.0,	4.739650013987351,	8.520242549698652,	0.032320376491411895,	0.1644662588464458,	0.6626289852580297,	1.0902597814229464,	400
2761290000.0,	4.739650013987351,	8.520242549698652,	0.032464633685941886,	0.1648659693178906,	0.6647861318334257,	1.0940992446037556,	400
2777068800.0,	4.739650013987351,	8.520242549698652,	0.032560612407471316,	0.16512993036876514,	0.6661816937162846,	1.096652170823712,	400
2792847600.0,	4.739650013987351,	8.520242549698652,	0.03261182740488501,	0.16526995639832945,	0.66690668757067,	1.098014057352672,	400
2808626400.0,	4.739650013987351,	8.520242549698652,	0.03265664905396181,	0.1653923107445421,	0.667539886227209,	1.0992057037509184,	400
2824405200.0,	4.739650013987351,	8.520242549698652,	0.032698770800194045,	0.16550716612581434,	0.6681350714652775,	1.1003253650083846,	400
