time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
0.0,	98.58967440296959,	6.054274344742703,	0.015,	0.05,	0.2,	0.2,	400
15778800.0,	98.58967440296959,	6.054274344742703,	0.015003785045621991,	0.056643527105715644,	0.2800393104956792,	0.2191822054667653,	400
31557600.0,	98.58967440296959,	6.054274344742703,	0.01502734239802217,	0.07319548098969943,	0.3634671080415348,	0.33187095254141613,	400
47336400.0,	98.58967440296959,	6.054274344742703,	0.015092329620387137,	0.09845721034536997,	0.5089880158725134,	0.4159185415126986,	400
63115200.0,	98.58967440296959,	6.054274344742703,	0.015801722403023716,	0.138555024462239,	0.606042884863989,	0.624086360475378,	400
78894000.0,	98.58967440296959,	6.054274344742703,	0.023473344591352936,	0.16330020893896635,	0.7452431272947937,	0.7297329387544735,	400
94672800.0,	98.58967440296959,	6.054274344742703,	0.0267913758916275,	0.19260812950696596,	0.9181678937978431,	0.9089890674501957,	400
110451600.0,	98.58967440296959,	6.054274344742703,	0.03436059907178436,	0.21304193923593134,	1.027524066234105,	1.036218873558177,	400
126230400.0,	98.58967440296959,	6.054274344742703,	0.039457885861819884,	0.23327248383059673,	1.1726727396071592,	1.1948498577180544,	400
142009200.0,	98.58967440296959,	6.054274344742703,	0.04542927371674722,	0.25005684365134273,	1.2896564988961223,	1.3250048355311859,	400
157788000.0,	98.58967440296959,	6.054274344742703,	0.05076968188350088,	0.26428309091170166,	1.3913968766132534,	1.4471915252427692,	400
173566800.0,	98.58967440296959,	6.054274344742703,	0.055777053853158516,	0.2769639680435349,	1.4899491384727577,	1.5594318003792715,	400
189345600.0,	98.58967440296959,	6.054274344742703,	0.0602019100014967,	0.2873163097350619,	1.5668488514442496,	1.6562377225243812,	400
205124400.0,	98.58967440296959,	6.054274344742703,	0.0642853024016187,	0.29659442830727484,	1.6404840232001212,	1.7446892888426129,	400
220903200.0,	98.58967440296959,	6.054274344742703,	0.06791846238976845,	0.3045119101576728,	1.7033578720438267,	1.822227350275502,	400
236682000.0,	98.58967440296959,	6.054274344742703,	0.07089580943364643,	0.3106887122531178,	1.7493613969648745,	1.8851772149046822,	400
252460800.0,	98.58967440296959,	6.054274344742703,	0.07349113352424902,	0.31594819639847843,	1.7889262393908394,	1.9398091609712231,	400
268239600.0,	98.58967440296959,	6.054274344742703,	0.07588692490784738,	0.32078573259437965,	1.8278941156331316,	1.9899604489547251,	400
284018400.0,	98.58967440296959,	6.054274344742703,	0.07802096015131202,	0.3250884247138068,	1.86447896581214,	2.034295319060776,	400
299797200.0,	98.58967440296959,	6.054274344742703,	0.0797800871723604,	0.3285719549653162,	1.8936860609333819,	2.070566465802775,	400
315576000.0,	98.58967440296959,	6.054274344742703,	0.08111019514844695,	0.3311706429047651,	1.9150701205014111,	2.097866941650042,	400
331354800.0,	98.58967440296959,	6.054274344742703,	0.08223035505775489,	0.333344666847192,	1.933065492676375,	2.120777365017138,	400
