time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
1246525200.0,	26.278760261236933,	3.4166693469829585,	0.015,	0.05,	0.2,	0.2,	400
1262304000.0,	26.278760261236933,	3.4166693469829585,	0.015000379177597738,	0.05011942482181424,	0.20008235614209077,	0.2019217103541056,	400
1278082800.0,	26.278760261236933,	3.4166693469829585,	0.015000658240528849,	0.050206310631522776,	0.2001423548388413,	0.2033143551817818,	400
1293861600.0,	26.278760261236933,	3.4166693469829585,	0.015000995474813584,	0.050310563583615936,	0.20021632095813263,	0.20497852453662743,	400
1309640400.0,	26.278760261236933,	3.4166693469829585,	0.015001565071023333,	0.050485444464029625,	0.20034855156972503,	0.20775183468005362,	400
1325419200.0,	26.278760261236933,	3.4166693469829585,	0.015002045126493993,	0.050630439724072794,	0.20045959818225198,	0.21003730967145504,	400
1341198000.0,	26.278760261236933,	3.4166693469829585,	0.015002823310771976,	0.050863218421495264,	0.20065287084075423,	0.2136739755205987,	400
1356976800.0,	26.278760261236933,	3.4166693469829585,	0.015004090746358422,	0.05123671990790039,	0.20100486918679716,	0.21942393887250305,	400
1372755600.0,	26.278760261236933,	3.4166693469829585,	0.015005642448877043,	0.051680769293251626,	0.2014697492797325,	0.22613898621341014,	400
1388534400.0,	26.278760261236933,	3.4166693469829585,	0.015007530188437737,	0.05220258464900451,	0.20208405766608914,	0.2338658124483889,	400
1404313200.0,	26.278760261236933,	3.4166693469829585,	0.0150098971508859,	0.05283173733276349,	0.2029368595570912,	0.24294551656944782,	400
1420092000.0,	26.278760261236933,	3.4166693469829585,	0.015013827777602544,	0.05384581354062161,	0.20478141808217842,	0.2568995653443953,	400
1435870800.0,	26.278760261236933,	3.4166693469829585,	0.015018976893787747,	0.05509016193787006,	0.20762399061863074,	0.27308464301246477,	400
1451649600.0,	26.278760261236933,	3.4166693469829585,	0.01502614603980063,	0.05671063395589698,	0.21248347736158577,	0.29255496529877534,	400
1467428400.0,	26.278760261236933,	3.4166693469829585,	0.015035121624823976,	0.05852719603917559,	0.2188384959536566,	0.3128306292826105,	400
1483207200.0,	26.278760261236933,	3.4166693469829585,	0.015046661013196932,	0.06058511252575547,	0.22698391963761158,	0.33409947269883145,	400
1498986000.0,	26.278760261236933,	3.4166693469829585,	0.015061570108664544,	0.06285391808492415,	0.23655627973402168,	0.35598301735227494,	400
1514764800.0,	26.278760261236933,	3.4166693469829585,	0.015081468665867341,	0.06537342335661382,	0.24759616546708071,	0.3787222858081964,	400
1530543600.0,	26.278760261236933,	3.4166693469829585,	0.015107389349033455,	0.06797055236458714,	0.25854793506833246,	0.4011750166988268,	400
1546322400.0,	26.278760261236933,	3.4166693469829585,	0.01514606826703916,	0.07113403744460255,	0.27296955769873915,	0.4263099674492363,	400
1562101200.0,	26.278760261236933,	3.4166693469829585,	0.015201445012965166,	0.07449283957836027,	0.28736185476380643,	0.45193343351728554,	400
1577880000.0,	26.278760261236933,	3.4166693469829585,	0.015275244609815697,	0.07767646248108484,	0.2994323857081264,	0.475877924516902,	400
1593658800.0,	26.278760261236933,	3.4166693469829585,	0.01537945298097764,	0.08105563052353593,	0.31218657148364704,	0.500202746924328,	400
1609437600.0,	26.278760261236933,	3.4166693469829585,	0.015502004742926786,	0.08390874028951567,	0.32153467063193064,	0.5207721423325806,	400
1625216400.0,	26.278760261236933,	3.4166693469829585,	0.015710777305282298,	0.08805401912047892,	0.33867430931414555,	0.5477318937066822,	400
1640995200.0,	26.278760261236933,	3.4166693469829585,	0.015978915787173316,	0.09184045612620438,	0.35246476606202026,	0.5724260290551594,	400
1656774000.0,	26.278760261236933,	3.4166693469829585,	0.01627986124495222,	0.09507884833706329,	0.3631098546538311,	0.5936591721292285,	400
1672552800.0,	26.278760261236933,	3.4166693469829585,	0.01655554221685709,	0.09749363591634434,	0.3701311594596877,	0.6097468527550423,	400
1688331600.0,	26.278760261236933,	3.4166693469829585,	0.016849558024710675,	0.09979867215755818,	0.37700185480636134,	0.625011096695354,	400
1704110400.0,	26.278760261236933,	3.4166693469829585,	0.017165381787282448,	0.10205949349004703,	0.3839893806855324,	0.6399133359045988,	400
1719889200.0,	26.278760261236933,	3.4166693469829585,	0.017446330864909612,	0.10389588564914397,	0.3894482738608209,	0.6521518627570464,	400
1735668000.0,	26.278760261236933,	3.4166693469829585,	0.017679219390078195,	0.10532021220960432,	0.39351532749028195,	0.6617593577813228,	400
1751446800.0,	26.278760261236933,	3.4166693469829585,	0.0179882139447479,	0.1071629147903955,	0.39945104697361755,	0.6740452609306409,	400
1767225600.0,	26.278760261236933,	3.4166693469829585,	0.018321441293207653,	0.10906338632595694,	0.40588294018507204,	0.6867243900367754,	400
1783004400.0,	26.278760261236933,	3.4166693469829585,	0.01859564985842081,	0.11053988583432257,	0.41064750074923506,	0.6967525830285937,	400
1798783200.0,	26.278760261236933,	3.4166693469829585,	0.018831233469406405,	0.11176127767393743,	0.4145189995631549,	0.7051487150225672,	400
1814562000.0,	26.278760261236933,	3.4166693469829585,	0.01910546374405954,	0.11315738984605192,	0.4192458921346357,	0.7147375292687123,	400
1830340800.0,	26.278760261236933,	3.4166693469829585,	0.01933862264653906,	0.11444468677222965,	0.42531257059378524,	0.7227268272139984,	400
1846119600.0,	26.278760261236933,	3.4166693469829585,	0.019481310832333027,	0.11519088910808711,	0.42848252703801687,	0.7275127539405426,	400
1861898400.0,	26.278760261236933,	3.4166693469829585,	0.019862244809675977,	0.11703061959521903,	0.43553339279589515,	0.7401433860122411,	400
1877677200.0,	26.278760261236933,	3.4166693469829585,	0.020182816314966965,	0.11851468033901995,	0.44100460986348994,	0.7505464949881866,	400
1893456000.0,	26.278760261236933,	3.4166693469829585,	0.020570340053367987,	0.12028645356374101,	0.44813705895356964,	0.7629378794913392,	400
1909234800.0,	26.278760261236933,	3.4166693469829585,	0.020853518705821333,	0.12152514234672997,	0.45274949287444416,	0.771843275991365,	400
1925013600.0,	26.278760261236933,	3.4166693469829585,	0.021066133574192746,	0.1224310735234845,	0.45598453449505477,	0.7784701523895315,	400
1940792400.0,	26.278760261236933,	3.4166693469829585,	0.021229877408239183,	0.12311675259796553,	0.45837460975546473,	0.7835457114056145,	400
1956571200.0,	26.278760261236933,	3.4166693469829585,	0.021490447388429115,	0.12421164848897302,	0.46261052234633593,	0.7915876099263012,	400
1972350000.0,	26.278760261236933,	3.4166693469829585,	0.021599699939261932,	0.12465617848099753,	0.46414398576925286,	0.7949376523366593,	400
1988128800.0,	26.278760261236933,	3.4166693469829585,	0.02182038005954982,	0.1255608877468122,	0.46763031632100255,	0.8016865600805474,	400
2003907600.0,	26.278760261236933,	3.4166693469829585,	0.021980181035162402,	0.12620390631375286,	0.47002220584094917,	0.8065491683114832,	400
2019686400.0,	26.278760261236933,	3.4166693469829585,	0.022245868712871705,	0.12727921649996166,	0.47447444145341966,	0.8146034413678683,	400
2035465200.0,	26.278760261236933,	3.4166693469829585,	0.02242880456740096,	0.12800174272601952,	0.4773099004505359,	0.8201148346122024,	400
2051244000.0,	26.278760261236933,	3.4166693469829585,	0.022714204148742995,	0.12913471136957877,	0.48223672290671565,	0.8286780183112951,	400
2067022800.0,	26.278760261236933,	3.4166693469829585,	0.022995676439783744,	0.13023551017655893,	0.4870864245762897,	0.8370660718965919,	400
2082801600.0,	26.278760261236933,	3.4166693469829585,	0.023223641259445187,	0.13110853847494863,	0.49082416983516,	0.843818692980887,	400
2098580400.0,	26.278760261236933,	3.4166693469829585,	0.023398291350026672,	0.13176619888268462,	0.4935600740562493,	0.8489712238299842,	400
2114359200.0,	26.278760261236933,	3.4166693469829585,	0.023479890373218966,	0.13206806919726438,	0.4947391000400674,	0.851372845890262,	400
2130138000.0,	26.278760261236933,	3.4166693469829585,	0.023522354073097024,	0.13222404862022097,	0.49533347884677453,	0.8526215972724857,	400
2145916800.0,	26.278760261236933,	3.4166693469829585,	0.023625485594917214,	0.13260463561842986,	0.49686371446116195,	0.8556521552780953,	400
2161695600.0,	26.278760261236933,	3.4166693469829585,	0.023685989199848784,	0.13282601777172737,	0.4977310442452603,	0.8574279851863794,	400
2177474400.0,	26.278760261236933,	3.4166693469829585,	0.023720344721088273,	0.13295110913825395,	0.4982134636150181,	0.8584357473053653,	400
2193253200.0,	26.278760261236933,	3.4166693469829585,	0.023749441936236182,	0.1330568644501034,	0.4986208946054596,	0.8592889638205393,	400
2209032000.0,	26.278760261236933,	3.4166693469829585,	0.023846324384600628,	0.13341106978708894,	0.5000666274188894,	0.8621280541501412,	400
2224810800.0,	26.278760261236933,	3.4166693469829585,	0.02398688600246312,	0.13392558508915206,	0.5022595887180019,	0.8662410073101935,	400
2240589600.0,	26.278760261236933,	3.4166693469829585,	0.024034023834004836,	0.13409541902238428,	0.5029381264508251,	0.8676180064829396,	400
