time ,	 x ,	 y ,	r_stem,	h_stem,	r_crown,	r_root,	k_geo
2698174800.0,	17.263966271335786,	6.606292878302663,	0.015,	0.05,	0.2,	0.2,	400
2713953600.0,	17.263966271335786,	6.606292878302663,	0.015000199239436398,	0.050083040415237326,	0.200337936194708,	0.20100976777368562,	400
2729732400.0,	17.263966271335786,	6.606292878302663,	0.015000493789560105,	0.05020662701345557,	0.20085564891658939,	0.20249137903308656,	400
2745511200.0,	17.263966271335786,	6.606292878302663,	0.015000931431809177,	0.050392210224955346,	0.2016665660799189,	0.20466855781298277,	400
2761290000.0,	17.263966271335786,	6.606292878302663,	0.015001593813761342,	0.05067829590740523,	0.20299814425883445,	0.2079106705562391,	400
2777068800.0,	17.263966271335786,	6.606292878302663,	0.015002215781086911,	0.050942884893003866,	0.20422750935340622,	0.21088220619013415,	400
2792847600.0,	17.263966271335786,	6.606292878302663,	0.015002913990600747,	0.051239471063077184,	0.20564040773793402,	0.21414404650885724,	400
2808626400.0,	17.263966271335786,	6.606292878302663,	0.015003571438552823,	0.051514246559853975,	0.20694514996676946,	0.2171402349527941,	400
2824405200.0,	17.263966271335786,	6.606292878302663,	0.015004502824576217,	0.05191143509076537,	0.20896052921525815,	0.22128810341982277,	400
2840184000.0,	17.263966271335786,	6.606292878302663,	0.015005318061131166,	0.05224859163153229,	0.2106310415803536,	0.22480415745348994,	400
2855962800.0,	17.263966271335786,	6.606292878302663,	0.01500669514307347,	0.05284910064484337,	0.21398718395466992,	0.230581186206705,	400
2871741600.0,	17.263966271335786,	6.606292878302663,	0.015008180510145557,	0.05348522866759644,	0.21756797052772575,	0.23653451930843158,	400
2887520400.0,	17.263966271335786,	6.606292878302663,	0.015009873173460501,	0.05420296619006551,	0.22169473566640321,	0.242998960589279,	400
